BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2015-09-09,BYRRUB_TOD,BYRRUB_TOD,38.2,38.2,38.2,38.2,2.0,34380.0,38.2
CETS,2015-09-09,CNYRUB_TOD,CNY000000TOD,10.4963,10.455,10.52,10.47,51.0,369674038.8,10.5054
CETS,2015-09-09,CNY_TODTOM,CNYRUBTODTOM,0.002,0.002,0.00235,0.002052,15.0,779976765.8,0.002289
CNGD,2015-09-09,CNY_TODTOM,CNYRUBTODTOM,0.005492,-0.005492,0.005492,0.0052,21.0,15169354.83,
CETS,2015-09-09,CNYRUB_TOM,CNYRUB_TOM,10.4951,10.406,10.597,10.597,460.0,5942034330.6,10.4918
CNGD,2015-09-09,CNYRUB_TOM,CNYRUB_TOM,10.46,10.46,10.54,10.54,4.0,1357302170.0,
CETS,2015-09-09,CNY_TOMSPT,CNYRUB_TOM1D,0.002,0.002,0.0021,0.002,5.0,260689190.0,0.002018
CETS,2015-09-09,EUR_TODTOM,EUR000TODTOM,0.0211,0.02,0.0217,0.0211,415.0,165541369080.0,0.0214
CNGD,2015-09-09,EUR_TODTOM,EUR000TODTOM,0.0,-0.0416,0.048,0.0376,464.0,1040566282.68,
CETS,2015-09-09,EUR_TOM1W,EURRUB_TOM1W,0.1575,0.157,0.1575,0.157,7.0,3816537500.0,0.1571
CETS,2015-09-09,EUR_TOM2W,EURRUB_TOM2W,0.3223,0.32,0.3223,0.32,2.0,650207950.0,0.3214
CETS,2015-09-09,EURUSD_TOD,EURUSD000TOD,1.1167,1.11405,1.12,1.11405,40.0,240865390.38,1.11755
CNGD,2015-09-09,EURUSD_TOD,EURUSD000TOD,1.1186,1.1186,1.1186,1.1186,1.0,846472808.72,
CETS,2015-09-09,EURUSD_TOM,EURUSD000TOM,1.11575,1.11345,1.1205,1.1205,177.0,2086925553.39,1.11645
CNGD,2015-09-09,EURUSD_TOM,EURUSD000TOM,1.1198,1.1198,1.1198,1.1198,1.0,77034625.36,
CETS,2015-09-09,EURUSDTDTM,EURUSDTODTOM,1e-05,7e-06,1.5e-05,1.4e-05,54.0,14163126542.53,1.2e-05
CETS,2015-09-09,EURRUB_TOD,EUR_RUB__TOD,75.458,75.29,75.904,75.899,2227.0,12110945035.0,75.6027
CNGD,2015-09-09,EURRUB_TOD,EUR_RUB__TOD,76.58,75.8,76.58,75.8,2.0,18989000.0,
CETS,2015-09-09,EURRUB_TOM,EUR_RUB__TOM,75.4,75.3,76.76,76.704,5290.0,25648465945.0,75.7994
CNGD,2015-09-09,EURRUB_TOM,EUR_RUB__TOM,75.75,75.49,75.82,75.82,4.0,460454440.0,
CNGD,2015-09-09,GBP_TODTOM,GBPRUBTODTOM,0.0548,-0.0144,0.0548,0.0476,11.0,2088581.18,
CETS,2015-09-09,GBPRUB_TOD,GBPRUB_TOD,103.751,103.751,103.751,103.751,1.0,103751.0,103.751
CETS,2015-09-09,GBPRUB_TOM,GBPRUB_TOM,104.13,103.61,105.13,105.12,22.0,21589070.0,104.295
CETS,2015-09-09,GLD_TODTOM,GLDRUBTODTOM,0.7426,0.7426,0.7426,0.7426,2.0,502870771.2,0.7426
CETS,2015-09-09,GLDRUB_TOM,GLDRUB_TOM,2432.8,2432.8,2432.8,2432.8,1.0,170296.0,2432.8
CETS,2015-09-09,HKDRUB_TOD,HKDRUB_TOD,8.7,8.3,9.4,9.4,4.0,351600.0,9.0154
CETS,2015-09-09,HKDRUB_TOM,HKDRUB_TOM,8.79,8.7795,8.79,8.78,4.0,17566250.0,8.7831
CETS,2015-09-09,SLVRUB_TOM,SLVRUB_TOM,32.25,32.25,32.25,32.25,1.0,48375.0,32.25
CETS,2015-09-09,UAHRUB_TOD,UAH000000TOM,30.712,30.712,30.712,30.712,1.0,2036205.6,30.712
CETS,2015-09-09,USDRUB_TOD,USD000000TOD,67.55,67.322,68.359,68.15,16379.0,83871595703.0,67.7587
CNGD,2015-09-09,USDRUB_TOD,USD000000TOD,67.5,67.4,68.49,68.15,13.0,2501082357.05,
CETS,2015-09-09,USD_TODTOM,USD000TODTOM,0.0196,0.0158,0.0196,0.0158,950.0,754555805100.0,0.0189
CNGD,2015-09-09,USD_TODTOM,USD000TODTOM,0.0193,-0.0372,0.0429,0.0175,2610.0,36576591653.89,
CETS,2015-09-09,USDRUB_TOM,USD000UTSTOM,67.735,67.331,68.57,68.485,61712.0,343549296549.0,67.9059
CNGD,2015-09-09,USDRUB_TOM,USD000UTSTOM,67.99,67.345,68.1516,67.35,36.0,20381145270.0,
CETS,2015-09-09,USDRUB_SPT,USDRUB_SPT,67.838,67.838,67.866,67.854,3.0,29923158.0,67.853
CNGD,2015-09-09,USD_TOMSPT,USDRUB_TOM1D,0.0194,0.0193,0.0194,0.0193,2.0,19277220500.0,
CETS,2015-09-09,USD_TOM1W,USDRUB_TOM1W,0.1404,0.139,0.141,0.139,11.0,3636266300.0,0.1402
CNGD,2015-09-09,USD_TOM1W,USDRUB_TOM1W,0.1406,0.139,0.141,0.139,11.0,27395306450.62,
CETS,2015-09-09,USD_TOM1Y,USDRUB_TOM1Y,7.5,7.2,7.5,7.2,8.0,1812380100.0,7.4334
CNGD,2015-09-09,USD_TOM2W,USDRUB_TOM2W,0.284,0.2825,0.284,0.2825,4.0,14356719000.0,
CETS,2015-09-09,USD_TOM6M,USDRUB_TOM6M,3.72,3.72,3.72,3.72,1.0,359012000.0,3.72
