BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2017-10-16,BYNRUB_TOD,BYNRUB_TOD,29.8,29.8,29.8,29.8,1.0,447000.0,29.8
CNGD,2017-10-16,CHF_TODTOM,CHFRUBTODTOM,0.0266,0.0266,0.0275,0.0275,6.0,1253050.34,
CETS,2017-10-16,CHFRUB_TOD,CHFRUB_TOD,58.62,58.62,58.62,58.62,1.0,1524120.0,58.62
CETS,2017-10-16,CHFRUB_TOM,CHFRUB_TOM,58.65,58.625,58.8875,58.8875,8.0,4812485.0,58.6888
CETS,2017-10-16,CNYRUB_TOD,CNY000000TOD,8.67,8.67,8.6937,8.6937,37.0,78902739.0,8.684
CNGD,2017-10-16,CNYRUB_TOD,CNY000000TOD,8.677,8.677,8.677,8.677,1.0,676806.0,
CETS,2017-10-16,CNY_TODTOM,CNYRUBTODTOM,0.0014,0.001202,0.001547,0.001547,36.0,2013518698.4,0.001325
CNGD,2017-10-16,CNY_TODTOM,CNYRUBTODTOM,0.003952,-0.001197,0.0041,0.003712,27.0,2993728.22,
CETS,2017-10-16,CNYRUB_TOM,CNYRUB_TOM,8.6862,8.67,8.7165,8.7165,108.0,504984023.0,8.6949
CETS,2017-10-16,EUR_TODTOM,EUR000TODTOM,0.0157,0.0145,0.0158,0.0147,394.0,104399475050.0,0.0154
CNGD,2017-10-16,EUR_TODTOM,EUR000TODTOM,0.0287,-0.0297,0.0367,0.0287,1071.0,6078764119.46,
CNGD,2017-10-16,EUR_TOM6M,EURRUB_TOM6M,2.68,2.68,2.68,2.68,1.0,1407370000.0,
CETS,2017-10-16,EURUSD_TOD,EURUSD000TOD,1.17825,1.17805,1.1811,1.1809,69.0,1680904874.09,1.17905
CETS,2017-10-16,EURUSD_TOM,EURUSD000TOM,1.17855,1.178,1.18185,1.17945,441.0,2944752851.82,1.17985
CETS,2017-10-16,EURUSDTDTM,EURUSDTODTOM,6e-05,5e-05,6.4e-05,5.1e-05,115.0,33708230767.66,5.8e-05
CNGD,2017-10-16,EURUSDTDTM,EURUSDTODTOM,5.9e-05,-0.000162,0.000162,0.000162,23.0,6841413209.47,
CETS,2017-10-16,EURRUB_TOD,EUR_RUB__TOD,67.395,67.1575,67.6025,67.49,3241.0,12498870147.5,67.4135
CNGD,2017-10-16,EURRUB_TOD,EUR_RUB__TOD,67.2375,67.165,67.72,67.685,43.0,144084830.32,
CETS,2017-10-16,EURRUB_TOM,EUR_RUB__TOM,67.44,67.1775,67.7425,67.595,3184.0,13372398572.5,67.4835
CNGD,2017-10-16,EURRUB_TOM,EUR_RUB__TOM,67.34,67.21,67.69,67.69,5.0,370453533.92,
CETS,2017-10-16,GBP_TODTOM,GBPRUBTODTOM,0.012,0.012,0.012,0.012,2.0,76101000.0,0.012
CNGD,2017-10-16,GBP_TODTOM,GBPRUBTODTOM,0.014,-0.0104,0.0413,0.0323,43.0,89796216.52,
CETS,2017-10-16,GBPRUB_TOD,GBPRUB_TOD,75.85,75.76,76.1675,76.0875,19.0,14197935.0,75.9248
CETS,2017-10-16,GBPRUB_TOM,GBPRUB_TOM,75.9,75.7675,76.2725,76.0,46.0,14361192.5,75.9851
CETS,2017-10-16,GLDRUB_TOM,GLDRUB_TOM,2398.5,2398.5,2398.5,2398.5,2.0,119925.0,2398.5
CETS,2017-10-16,HKDRUB_TOM,HKDRUB_TOM,7.31,7.31,7.31,7.31,1.0,7310.0,7.31
CETS,2017-10-16,KZTRUB_TOD,KZT000000TOM,17.22,17.22,17.22,17.22,1.0,344400.0,17.22
CETS,2017-10-16,USDRUB_TOD,USD000000TOD,57.16,56.98,57.2975,57.24,11890.0,50876069672.5,57.1705
CNGD,2017-10-16,USDRUB_TOD,USD000000TOD,57.15,56.98,57.6975,57.33,480.0,3073608141.03,
CETS,2017-10-16,USD_TODTOM,USD000TODTOM,0.0106,0.0083,0.0108,0.0095,1024.0,734183808990.0,0.0101
CNGD,2017-10-16,USD_TODTOM,USD000TODTOM,0.0105,-0.0251,0.031,0.0243,6779.0,166846537450.81,
CETS,2017-10-16,USDRUB_TOM,USD000UTSTOM,57.1775,56.9875,57.3875,57.3175,19300.0,120371350752.5,57.1885
CNGD,2017-10-16,USDRUB_TOM,USD000UTSTOM,57.27,57.02,57.6975,57.3,34.0,1649552302.92,
CETS,2017-10-16,USDRUB_SPT,USDRUB_SPT,57.2725,57.2725,57.2775,57.2775,2.0,89977952.5,57.2743
CETS,2017-10-16,USD_TOM1W,USDRUB_TOM1W,0.07,0.07,0.07,0.07,1.0,57237500.0,0.07
CNGD,2017-10-16,USD_TOM1W,USDRUB_TOM1W,0.073,0.071,0.073,0.071,3.0,8585975000.0,
CNGD,2017-10-16,USD_TOM2W,USDRUB_TOM2W,0.1432,0.1432,0.1432,0.1432,1.0,9742819.0,
CETS,2017-10-16,USD_TOM6M,USDRUB_TOM6M,1.645,1.645,1.645,1.645,1.0,294062500.0,1.645
CNGD,2017-10-16,USD_TOM6M,USDRUB_TOM6M,1.65,1.65,1.65,1.65,1.0,1176350000.0,
CETS,2017-10-16,USD_TOM9M,USDRUB_TOM9M,2.38,2.38,2.3946,2.3946,2.0,535942100.0,2.3816
