BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,2003-09-19,Индекс МосБиржи,Индекс МосБиржи,497.37,501.86,504.84,494.02,6876328357.73,,,2,,RUB,
RTSI,MCFTR,2003-09-19,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,497.37,497.37,497.37,497.37,0.0,,,2,0.0,,
RTSI,MCFTRN,2003-09-19,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),497.37,497.37,497.37,497.37,0.0,,,2,0.0,,
RTSI,MCFTRR,2003-09-19,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),497.37,497.37,497.37,497.37,0.0,,,2,0.0,,
SNDX,MICEX10INDEX,2003-09-19,Индекс МосБиржи 10,Индекс МосБиржи 10,985.14,995.64,1001.09,978.73,3871592175.86,,,2,,RUB,
SNDX,MICEXBNDPRCI,2003-09-19,RCBI,RCBI,103.39,103.21,103.39,103.2,116166893.8,,,2,,RUB,
SNDX,MICEXBNDTRTI,2003-09-19,RCBIc,RCBI-c,111.79,,,,116166893.8,,,2,,RUB,
SNDX,MICEXCBICP,2003-09-19,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,103.39,103.21,103.39,103.2,116166893.8,,,2,,RUB,
SNDX,MICEXCBITR,2003-09-19,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,111.79,,,,116166893.8,,,2,,RUB,
SNDX,MICEXINDEXCF,2003-09-19,Индекс МосБиржи (архив),Индекс МосБиржи (архив),497.37,501.86,504.84,494.02,6876328357.73,,,2,,RUB,
SNDX,MOEX10,2003-09-19,Индекс МосБиржи 10,Индекс МосБиржи 10,985.14,995.64,1001.09,978.73,3871592175.86,,,2,,RUB,
RTSI,RTSI,2003-09-19,Индекс РТС,Индекс РТС,546.86,549.4,549.4,545.84,14090714.0,,,2,132074098862.687,USD,
RTSI,RTSog,2003-09-19,Индекс РТС нефти и газа,Индекс РТС нефти и газа,104.67,104.67,104.67,104.67,0.0,,,2,70243995968.0583,USD,
RTSI,RTStl,2003-09-19,Индекс РТС телекоммуникаций,Индекс РТС телекоммуникаций ,81.24,81.24,81.24,81.24,0.0,,,2,4998909035.9579,USD,
RTSI,RTSUSDCUR,2003-09-19,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,30.5877,30.5877,30.5877,30.5877,,,,2,,RUB,
SNDX,RUCBICP,2003-09-19,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,103.39,103.21,103.39,103.2,116166893.8,,,2,,RUB,
SNDX,RUCBITR,2003-09-19,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,111.79,,,,116166893.8,,,2,,RUB,
SNDX,TECHIND,2003-09-19,Технический индекс акций,Технический индекс акций,1040.51,1051.41,0.0,0.0,0.0,,,2,,RUB,
