BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
EQOB,2020-04-17,МГор48-об,RU000A0JNYN1,13.0,47839.4,99.48,99.7,99.68,99.68,21.04,99.67,6.25,99.49,48.0,,99.4,99.68,0.0,504950.5,0.0,2022-06-11,733.0,6.26,,,,30.08,,2020-04-17,1000.0,SUR,,,,,RUB
TQCB,2020-04-17,РЖД-19 обл,RU000A0JQ7Z2,5.0,19877131.0,103.3,105.0,105.0,104.25,20.43,103.72,6.58,103.3,19165.0,103.31,103.31,104.25,33390453.0,33390453.0,33390453.0,2024-07-08,1322.0,6.93,,,,39.14,,2020-04-17,1000.0,SUR,,,,,RUB
EQOB,2020-04-17,Мечел  4об,RU000A0JQ8V9,2.0,500.0,100.0,100.0,100.0,100.0,0.06,100.0,,100.0,2.0,,,100.0,0.0,0.0,0.0,2021-07-15,234.0,0.0,,,,5.77,,2020-04-17,250.0,SUR,,,,,RUB
TQCB,2020-04-17,РЖД-23 обл,RU000A0JQRD9,24.0,82783141.0,102.8,103.5,103.5,103.5,18.28,103.03,7.09,102.8,80269.0,103.13,103.13,103.5,82783141.0,82783141.0,82783141.0,2025-01-16,1461.0,7.21,,,,39.14,,2020-04-17,1000.0,SUR,,,,,RUB
TQCB,2020-04-17,ВЭБ.РФ 08,RU000A0JR3G0,6.0,201593.4,101.11,101.85,101.85,101.47,0.8,101.3,5.9,101.8,199.0,,101.59,101.47,0.0,3795320.2,0.0,2020-10-13,179.0,7.08,,,,48.37,,2020-04-17,1000.0,SUR,,,5.653,,RUB
TQCB,2020-04-17,ВЭБ.РФ 06,RU000A0JR3H8,2.0,602140.0,101.2,101.2,101.2,101.2,0.69,101.2,5.95,101.2,595.0,101.18,101.17,101.2,1191856.5,1090656.5,1191856.5,2020-10-13,179.0,5.95,,,,41.79,,2020-04-17,1000.0,SUR,,,5.7166,,RUB
EQOB,2020-04-17,ФСК ЕЭС-09,RU000A0JR3M8,6.0,5867.0,95.68,101.99,101.99,101.99,0.0,97.78,-3.78,95.68,6.0,,97.65,101.99,0.0,1474508.9,0.0,2020-10-16,182.0,4.71,,,,0.5,,2020-04-17,1000.0,SUR,,,-3.8147,,RUB
EQOB,2020-04-17,ДОМ.РФ17об,RU000A0JR5F7,1.0,722.4,103.2,103.2,103.2,103.2,0.17,103.2,6.83,103.2,2.0,,100.95,103.2,0.0,718056.27,0.0,2022-04-15,492.0,6.83,,,,7.9,,2020-04-17,350.0,SUR,,,,,RUB
EQOB,2020-04-17,ДОМ.РФ20об,RU000A0JR6S8,4.0,3704.04,102.89,102.89,102.89,102.89,3.11,102.89,4.22,102.89,9.0,,103.42,102.89,0.0,692940.64,0.0,2027-12-15,236.0,4.22,,,,8.67,2020-12-15,2020-04-17,400.0,SUR,,4.2201,,2020-12-15,RUB
EQOB,2020-04-17,Мечел 16об,RU000A0JR8P0,26.0,738815.4,99.49,99.97,99.5,99.5,14.47,99.57,8.81,99.75,742.0,99.57,99.57,99.5,738815.4,738815.4,738815.4,2021-02-09,291.0,8.71,,,,39.89,,2020-04-17,1000.0,SUR,,,,,RUB
