BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
TQBR,2014-09-03,АбрауДюрсо,ABRD,4.0,45651.0,114.18,114.0,114.18,114.0,114.13,114.0,400.0,,113.42,,0.0,533088.0,0.0,
TQBR,2014-09-03,АЭССЕЛЬао,AESL,4.0,669000.0,111.0,111.0,112.0,111.5,111.5,112.0,6000.0,112.13,111.76,112.13,2018400.0,1676400.0,2018400.0,
SMAL,2014-09-03,Система ао,AFKS,1.0,846.4,36.8,36.8,36.8,,36.8,36.8,23.0,,,,0.0,0.0,0.0,
TQBR,2014-09-03,Система ао,AFKS,12454.0,609725932.6,37.55,35.685,37.975,36.0,36.69,36.0,16618500.0,36.69,36.69,36.69,609725932.6,609725932.6,609725932.6,
SMAL,2014-09-03,Аэрофлот,AFLT,4.0,1773.44,47.52,47.52,48.0,,47.93,48.0,37.0,,,,0.0,0.0,0.0,
TQBR,2014-09-03,Аэрофлот,AFLT,4648.0,341046489.0,46.94,46.37,48.11,47.82,47.57,47.82,7169000.0,47.57,47.57,47.57,341046489.0,341046489.0,341046489.0,
TQBR,2014-09-03,Акрон,AKRN,542.0,26512180.1,1165.5,1165.0,1214.0,1203.2,1201.9,1203.2,22058.0,1201.9,1201.9,1201.9,26509849.1,26509849.1,26509849.1,
SMAL,2014-09-03,АЛРОСА ао,ALRS,7.0,3270.71,46.998,40.301,46.998,,44.804,40.301,73.0,,,,0.0,0.0,0.0,
TQBR,2014-09-03,АЛРОСА ао,ALRS,8554.0,551167518.8,39.697,39.152,41.56,41.0,40.664,41.0,13554200.0,40.664,40.664,40.664,551167518.8,551167518.8,551167518.8,
TQBR,2014-09-03,АшинскийМЗ,AMEZ,18.0,103531.4,6.109,6.012,6.248,6.1,6.126,6.1,16900.0,,6.072,,0.0,504572.8,0.0,
SMAL,2014-09-03,Аптеки36и6,APTK,2.0,195.67,12.61,11.74,12.61,,12.23,11.74,16.0,,,,0.0,0.0,0.0,
TQBR,2014-09-03,Аптеки36и6,APTK,483.0,2215961.5,12.35,12.22,12.94,12.9,12.65,12.94,175160.0,12.65,12.65,12.65,2215961.5,2215961.5,2215961.5,
TQBR,2014-09-03,Армада,ARMD,230.0,4115783.5,64.93,62.47,68.7,67.0,66.05,67.0,62310.0,66.05,66.05,66.05,4115783.5,4115783.5,4115783.5,
SMAL,2014-09-03,Арсагера,ARSA,3.0,393.9,0.73,0.73,0.86,,0.7649,0.86,515.0,,,,0.0,0.0,0.0,
TQBR,2014-09-03,Арсагера,ARSA,18.0,30837.6,0.7506,0.7506,0.818,0.7881,0.7907,0.7881,39000.0,,0.8296,,0.0,501918.5,0.0,
TQBR,2014-09-03,АстрЭнСб,ASSB,8.0,2025.0,0.2489,0.22,0.2693,0.2526,0.2531,0.269,8000.0,,,,0.0,0.0,0.0,
SMAL,2014-09-03,АВТОВАЗ ао,AVAZ,1.0,570.6,9.51,9.51,9.51,,9.51,9.51,60.0,,,,0.0,0.0,0.0,
TQBR,2014-09-03,АВТОВАЗ ао,AVAZ,181.0,1417747.8,9.505,9.414,9.85,9.787,9.658,9.85,146800.0,9.658,9.658,9.658,1417747.8,1417747.8,1417747.8,
TQBR,2014-09-03,АВТОВАЗ ап,AVAZP,134.0,1124981.0,3.177,3.171,3.25,3.225,3.209,3.249,350600.0,3.209,3.209,3.209,1124981.0,1124981.0,1124981.0,
TQBR,2014-09-03,Башнефт ао,BANE,1381.0,35495123.9,1875.1,1874.4,1928.7,1903.0,1906.2,1903.0,18621.0,1906.2,1906.2,1906.2,35491373.7,35491373.7,35491373.7,
TQBR,2014-09-03,Башнефт ап,BANEP,2188.0,39337505.0,1390.0,1385.0,1409.0,1392.2,1397.7,1392.2,28144.0,1397.7,1397.7,1397.7,39337505.0,39337505.0,39337505.0,
TQBR,2014-09-03,БашИнСв ао,BISV,1.0,2100.0,7.0,7.0,7.0,7.0,7.0,7.0,300.0,,7.093,,0.0,552538.3,0.0,
TQBR,2014-09-03,БашИнСв ап,BISVP,5.0,64496.0,4.3,4.299,4.3,4.299,4.3,4.299,15000.0,,4.275,,0.0,500212.0,0.0,
TQBR,2014-09-03,Белон ао,BLNG,90.0,450523.8,2.781,2.77,2.88,2.88,2.833,2.88,159000.0,,2.83,,0.0,504042.3,0.0,
TQBR,2014-09-03,БурЗолото,BRZL,4.0,22070.0,309.9,309.9,342.1,315.3,315.3,342.1,70.0,,311.1,,0.0,507098.0,0.0,
SMAL,2014-09-03,БСП ао,BSPB,1.0,306.0,34.0,34.0,34.0,,34.0,34.0,9.0,,,,0.0,0.0,0.0,
TQBR,2014-09-03,БСП ао,BSPB,161.0,581021.8,33.39,33.02,34.29,34.0,33.78,34.0,17200.0,33.78,33.78,33.78,581021.8,581021.8,581021.8,
TQBR,2014-09-03,ЧТПЗ ао,CHEP,15.0,152685.0,25.0,25.0,26.8,26.72,26.33,26.8,5800.0,,24.79,,0.0,500678.0,0.0,
TQBR,2014-09-03,РН-ЗапСиб,CHGZ,1.0,28000.0,28.0,28.0,28.0,28.0,28.0,28.0,1000.0,,27.204,,0.0,652900.0,0.0,
