BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2021-02-04,АбрауДюрсо,ABRD,210.0,1747550.0,199.0,198.0,200.5,198.0,199.0,198.0,8790.0,199.0,199.0,198.0,1747550.0,1747550.0,1747550.0,0.0,3
TQBR,2021-02-04,АСКО ао,ACKO,120.0,1566022.0,5.76,5.68,5.98,5.88,5.78,5.78,271000.0,5.78,5.78,5.88,1566022.0,1566022.0,1566022.0,0.0,3
SMAL,2021-02-04,Система ао,AFKS,3.0,304.87,33.5,33.5,34.429,,33.796,33.988,9.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-02-04,Система ао,AFKS,20958.0,1434474949.0,33.65,33.31,34.099,34.037,33.796,33.963,42452000.0,33.778,33.778,34.037,1329603974.4,1329603974.4,1329603974.4,0.0,3
SMAL,2021-02-04,Аэрофлот,AFLT,7.0,1709.34,71.0,70.52,71.98,,70.66,70.84,24.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-02-04,Аэрофлот,AFLT,17943.0,675008321.4,70.7,70.3,71.08,70.48,70.66,70.56,9551450.0,70.68,70.68,70.48,596812042.6,596812042.6,596812042.6,0.0,3
TQBR,2021-02-04,AGRO-гдр,AGRO,4559.0,115374011.2,891.0,888.0,898.8,894.0,892.4,894.0,129296.0,892.4,892.4,894.0,115374011.2,115374011.2,115374011.2,0.0,3
TQTF,2021-02-04,ETF AKCH,AKCH,345.0,82581671.32,117.0,116.19,117.98,116.47,117.34,116.51,703306.0,117.42,117.42,116.47,82581671.32,82581671.32,82581671.32,8182999.44,3
TQTE,2021-02-04,AKEU ETF,AKEU,277.0,313151.43,11.02,10.94,11.07,11.07,10.99,11.07,28483.0,1006.67,1006.67,11.07,28672896.62,28672896.62,28672896.62,161571.75,3
TQTF,2021-02-04,ETF AKMB,AKMB,1828.0,1597156.47,1.0693,1.0686,1.0709,1.0709,1.0702,1.0709,1492240.0,1.0703,1.0703,1.0709,1304775.69,1304775.69,1304775.69,4786015.51,3
TQTF,2021-02-04,ETF AKME,AKME,84.0,87104.54,105.46,104.63,106.18,105.6,105.84,105.6,823.0,,104.57,105.6,0.0,2430553.36,0.0,2072186.6,3
TQTD,2021-02-04,AKNX ETF,AKNX,318.0,257066.99,19.99,19.57,19.99,19.63,19.63,19.64,13090.0,1493.6,1493.6,19.63,21019399.7,21019399.7,21019399.7,335559.61,3
TQTF,2021-02-04,AKNX ETF,AKNX,92.0,1461717.2,1550.0,1480.2,1550.0,1493.6,1493.6,1488.2,983.0,1493.6,1493.6,1493.6,21019399.7,21019399.7,21019399.7,25587326.27,3
TQBR,2021-02-04,Акрон,AKRN,492.0,11894896.0,6096.0,6092.0,6142.0,6122.0,6126.0,6122.0,1942.0,6126.0,6126.0,6122.0,11894896.0,11894896.0,11894896.0,0.0,3
TQTD,2021-02-04,AKSP ETF,AKSP,222.0,109838.99,13.13,13.12,13.25,13.24,13.18,13.19,8332.0,1002.95,1002.95,13.24,8356561.37,8356561.37,8356561.37,466778.0,3
TQBR,2021-02-04,БестЭфБ ао,ALBK,74.0,586815.0,64.0,61.5,64.5,62.0,62.0,61.5,9440.0,62.0,62.0,62.0,586815.0,586815.0,586815.0,0.0,3
TQBR,2021-02-04,АЛРОСА-Нюр,ALNU,24.0,2589000.0,61800.0,61200.0,62200.0,62200.0,61600.0,61800.0,42.0,61600.0,61600.0,62200.0,2589000.0,2589000.0,2589000.0,0.0,3
SMAL,2021-02-04,АЛРОСА ао,ALRS,4.0,1237.15,102.32,102.32,103.96,,102.78,103.0,12.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-02-04,АЛРОСА ао,ALRS,21497.0,1262681693.8,103.45,102.07,104.18,102.44,102.78,102.61,12288120.0,102.77,102.77,102.44,1217917747.9,1217917747.9,1217917747.9,0.0,3
SMAL,2021-02-04,АшинскийМЗ,AMEZ,3.0,73.76,7.48,7.48,9.735,,7.485,9.735,8.0,,,,0.0,0.0,0.0,0.0,3
