BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2021-06-03,АбрауДюрсо,ABRD,535.0,2970540.0,199.5,199.0,202.0,200.5,200.5,200.5,14810.0,200.5,200.5,200.5,2970540.0,2970540.0,2970540.0,0.0,3
SMAL,2021-06-03,АСКО ао,ACKO,2.0,53.56,5.62,5.18,5.62,,6.04,5.18,10.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-06-03,АСКО ао,ACKO,37.0,170620.0,6.02,5.94,6.18,5.96,6.04,5.96,28300.0,,6.06,5.96,0.0,511478.0,0.0,0.0,3
SMAL,2021-06-03,Система ао,AFKS,1.0,1024.55,33.05,33.05,33.05,,32.302,33.05,31.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-06-03,Система ао,AFKS,23586.0,2007299889.5,31.99,31.705,32.548,32.3,32.302,32.247,62140800.0,32.311,32.311,32.3,1880767196.5,1880767196.5,1880767196.5,0.0,3
SMAL,2021-06-03,Аэрофлот,AFLT,2.0,144.14,72.06,72.06,72.08,,71.42,72.08,2.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-06-03,Аэрофлот,AFLT,24160.0,928239349.4,71.36,70.82,71.82,71.5,71.42,71.5,12998110.0,71.4,71.4,71.5,848276215.0,848276215.0,848276215.0,0.0,3
TQBR,2021-06-03,AGRO-гдр,AGRO,3556.0,74651772.0,950.0,940.4,953.2,945.0,948.0,945.0,78750.0,948.0,948.0,945.0,74651772.0,74651772.0,74651772.0,0.0,3
TQTF,2021-06-03,ETF AKCH,AKCH,981.0,12981139.8,101.0,98.4,101.0,98.64,99.42,98.64,130543.0,99.44,99.44,98.64,12981139.8,12981139.8,12981139.8,28858066.84,3
TQTE,2021-06-03,AKEU ETF,AKEU,602.0,118671.07,12.5,12.29,13.04,12.39,12.33,12.38,9621.0,1106.28,1106.28,12.39,10643549.01,10643549.01,10643549.01,244859.57,3
TQTF,2021-06-03,ETF AKMB,AKMB,1489.0,1086246.51,1.0896,1.0891,1.0906,1.0903,1.0901,1.0906,996290.0,1.0903,1.0903,1.0903,793281.85,793281.85,793281.85,1836664.47,3
TQTF,2021-06-03,ETF AKME,AKME,229.0,767059.7,125.0,124.0,125.9,124.85,124.95,124.7,6140.0,124.95,124.95,124.85,767059.7,767059.7,767059.7,880097.83,3
TQTD,2021-06-03,AKNX ETF,AKNX,253.0,123823.9,20.1,19.78,20.1,19.89,19.91,19.89,6218.0,1463.4,1463.4,19.89,9556935.02,9556935.02,9556935.02,227105.01,3
TQTF,2021-06-03,AKNX ETF,AKNX,34.0,456138.4,1499.8,1450.0,1499.8,1462.0,1463.4,1459.8,313.0,1463.4,1463.4,1462.0,9556935.02,9556935.02,9556935.02,16646002.39,3
TQBR,2021-06-03,Акрон,AKRN,626.0,19680360.0,6058.0,5980.0,6082.0,6000.0,6026.0,6000.0,3266.0,6026.0,6026.0,6000.0,19680360.0,19680360.0,19680360.0,0.0,3
TQTD,2021-06-03,AKSP ETF,AKSP,514.0,1114242.28,14.49,14.35,14.49,14.4,14.41,14.4,77298.0,1059.46,1059.46,14.4,81894467.21,81894467.21,81894467.21,549656.45,3
TQBR,2021-06-03,БестЭфБ ао,ALBK,35.0,116105.0,63.5,63.5,66.0,65.5,65.0,65.5,1780.0,,64.5,65.5,0.0,500080.0,0.0,0.0,3
SMAL,2021-06-03,АЛРОСА ао,ALRS,10.0,3104.36,121.17,119.0,121.17,,119.83,119.0,26.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-06-03,АЛРОСА ао,ALRS,26949.0,2070973016.5,121.02,118.84,121.5,119.67,119.83,119.86,17285420.0,119.81,119.81,119.67,1988197375.6,1988197375.6,1988197375.6,0.0,3
TQTD,2021-06-03,AMCC ETF,AMCC,126.0,3284.14,1.28,1.253,1.281,1.263,1.268,1.262,2582.0,93.2,93.2,1.263,521730.7,521730.7,521730.7,10597.08,3
TQTF,2021-06-03,AMCC ETF,AMCC,33.0,280353.3,93.7,92.2,93.8,92.8,93.2,92.6,3014.0,93.2,93.2,92.8,521730.7,521730.7,521730.7,776728.54,3
TQTD,2021-06-03,AMDG ETF,AMDG,105.0,3090.32,1.347,1.338,1.356,1.354,1.35,1.356,2289.0,,99.2,1.354,0.0,501151.65,0.0,5041.88,3
TQTF,2021-06-03,AMDG ETF,AMDG,14.0,38025.9,98.9,98.1,99.3,99.5,99.2,99.3,384.0,,99.2,99.5,0.0,501151.65,0.0,369551.96,3
