BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQTD,2021-01-13,SBCB ETF,SBCB,219.0,9189.0,17.35,17.33,17.41,17.22,17.24,17.39,529.0,1280.4,1280.4,17.22,3843835.28,3843835.28,3843835.28,138383.43,3
TQTF,2021-01-13,SBCB ETF,SBCB,295.0,3161402.4,1286.0,1273.4,1286.0,1278.6,1280.4,1278.0,2473.0,1280.4,1280.4,1278.6,3843835.28,3843835.28,3843835.28,10223172.91,3
SMAL,2021-01-13,Сбербанк,SBER,15.0,11444.2,290.14,284.0,290.14,,286.11,284.0,40.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Сбербанк,SBER,113139.0,19329406068.2,291.01,283.1,292.46,283.66,286.11,283.78,67559080.0,286.25,286.25,283.66,18050976362.3,18050976362.3,18050976362.3,0.0,3
SMAL,2021-01-13,Сбербанк-п,SBERP,14.0,8401.02,257.57,252.01,257.57,,253.82,254.0,33.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-01-13,Сбербанк-п,SBERP,27531.0,2001174565.4,258.97,251.02,259.6,252.71,253.82,252.93,7883450.0,253.88,253.88,252.71,1902290681.1,1902290681.1,1902290681.1,0.0,3
TQTF,2021-01-13,SBGB ETF,SBGB,203.0,9099853.2,1255.8,1255.8,1258.4,1256.0,1255.0,1256.0,7243.0,1256.4,1256.4,1256.0,9099853.2,9099853.2,9099853.2,95805704.84,3
TQTF,2021-01-13,SBMX ETF,SBMX,734.0,92675354.5,1699.5,1681.0,1710.0,1693.0,1695.0,1694.5,54668.0,1695.0,1695.0,1693.0,92675354.5,92675354.5,92675354.5,41342056.47,3
TQTF,2021-01-13,SBRB ETF,SBRB,291.0,5144303.2,1127.6,1121.0,1127.6,1124.4,1121.2,1124.4,4574.0,1124.6,1124.6,1124.4,5144303.2,5144303.2,5144303.2,251454535.14,3
TQTF,2021-01-13,SBRI ETF,SBRI,677.0,19222938.07,12.311,12.311,12.511,12.359,12.358,12.359,1555559.0,12.358,12.358,12.359,19222938.07,19222938.07,19222938.07,16031170.1,3
TQTD,2021-01-13,SBSP ETF,SBSP,89.0,9053.26,20.26,20.13,20.26,20.05,20.06,20.2,448.0,1489.6,1489.6,20.05,19708997.36,19708997.36,19708997.36,319542.05,3
TQTF,2021-01-13,SBSP ETF,SBSP,1292.0,19036645.2,1499.8,1484.0,1499.8,1489.2,1489.6,1486.2,12783.0,1489.6,1489.6,1489.2,19708997.36,19708997.36,19708997.36,23606392.57,3
TQTD,2021-01-13,SCIP ETF,SCIP,8.0,2183.43,20.027,19.823,20.027,19.706,19.83,19.925,110.0,,1477.5,19.706,0.0,503838.1,0.0,19465.87,3
TQTF,2021-01-13,SCIP ETF,SCIP,15.0,51384.5,1461.5,1461.0,1476.5,1463.5,1472.5,1463.5,35.0,,1477.5,1463.5,0.0,503838.1,0.0,1438054.63,3
TQBR,2021-01-13,Селигдар,SELG,325.0,4642981.0,46.0,45.8,46.32,46.08,46.02,46.19,100900.0,46.02,46.02,46.08,4642981.0,4642981.0,4642981.0,0.0,3
