BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,2006-10-16,Индекс МосБиржи,Индекс МосБиржи,1438.13,1439.69,1450.99,1426.53,34804385247.51,,,2,,RUB,
RTSI,MCFTR,2006-10-16,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,1471.26,1471.26,1471.26,1471.26,0.0,,,2,0.0,,
RTSI,MCFTRN,2006-10-16,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),1466.25,1466.25,1466.25,1466.25,0.0,,,2,0.0,,
RTSI,MCFTRR,2006-10-16,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),1468.25,1468.25,1468.25,1468.25,0.0,,,2,0.0,,
SNDX,MICEX10INDEX,2006-10-16,Индекс МосБиржи 10,Индекс МосБиржи 10,2590.46,2600.08,2620.91,2571.43,19103635544.7701,,,2,,RUB,
SNDX,MICEXBNDPRCI,2006-10-16,RCBI,RCBI,101.48,101.56,101.56,101.48,298815235.0,,,2,,RUB,
SNDX,MICEXBNDTRTI,2006-10-16,RCBIc,RCBI-c,144.7,,,,298815235.0,,,2,,RUB,
SNDX,MICEXBORR1W,2006-10-16,MCX BO 1W,ММВБ РЕПО обл 7 дней,4.7,,,,2961771603.65,,,2,,RUB,
SNDX,MICEXBORR2W,2006-10-16,MCX BO 2W,ММВБ РЕПО обл 14 дней,4.43,,,,3426624262.2,,,2,,RUB,
SNDX,MICEXBORRON,2006-10-16,MCX BO ON,ММВБ РЕПО обл 1 день,4.69,,,,3538614439.04,,,2,,RUB,
SNDX,MICEXCBICP,2006-10-16,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,101.48,101.56,101.56,101.48,298815235.0,,,2,,RUB,
SNDX,MICEXCBICP3Y,2006-10-16,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,101.96,101.96,101.96,101.95,1041314420.8,,7.57,2,,RUB,
SNDX,MICEXCBICP5Y,2006-10-16,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,102.91,102.87,102.91,102.87,2778042844.9,,7.35,2,,RUB,
SNDX,MICEXCBIGP3Y,2006-10-16,ММВБ корп обл (вал) 1-3,ММВБ корп обл (вал) 1-3,104.0,103.99,104.0,103.99,1041314420.8,,7.57,2,,RUB,
SNDX,MICEXCBIGP5Y,2006-10-16,ММВБ корп обл (вал) 3-5,ММВБ корп обл (вал) 3-5,104.89,104.9,104.9,104.85,2778042844.9,,7.35,2,,RUB,
SNDX,MICEXCBITR,2006-10-16,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,144.7,,,,298815235.0,,,2,,RUB,
SNDX,MICEXCBITR3Y,2006-10-16,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,143.15,143.14,143.15,143.13,1041314420.8,,7.57,2,,RUB,
SNDX,MICEXCBITR5Y,2006-10-16,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,144.55,144.56,144.56,144.5,2778042844.9,,7.35,2,,RUB,
SNDX,MICEXCGS,2006-10-16,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,2740.29,2748.93,2755.42,2733.46,11458528.8,,,2,,RUB,
SNDX,MICEXEQRR1W,2006-10-16,MCX EQ 1W,ММВБ РЕПО акц 7 дней,5.68,,,,4598174426.82,,,2,,RUB,
SNDX,MICEXEQRR2W,2006-10-16,MCX EQ 2W,ММВБ РЕПО акц 14 дней,5.42,,,,1566117450.27,,,2,,RUB,
SNDX,MICEXEQRRON,2006-10-16,MCX EQ ON,ММВБ РЕПО акц 1 день,5.13,,,,2412898046.46,,,2,,RUB,
SNDX,MICEXFNL,2006-10-16,Индекс финансов,Индекс МосБиржи финансов,4505.57,4570.38,4586.35,4466.8,2624088921.23,,,2,,RUB,
SNDX,MICEXINDEXCF,2006-10-16,Индекс МосБиржи (архив),Индекс МосБиржи (архив),1438.13,1439.69,1450.99,1426.53,34804385247.51,,,2,,RUB,
SNDX,MICEXLC,2006-10-16,MICEX LC,ММВБ высокая кап,2422.7,2425.89,2445.28,2402.87,32005599899.45,,,2,,RUB,
SNDX,MICEXM&M,2006-10-16,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,2466.73,2458.79,2474.54,2432.65,4727436590.16,,,2,,RUB,
SNDX,MICEXMBICP,2006-10-16,Индекс Мосбиржи мун обл MOEX MBICP,Индекс Мосбиржи муниципальных облигаций ценовой,98.64,98.6,98.64,98.6,1106656407.1,,6.92,2,,RUB,
SNDX,MICEXMBIGP,2006-10-16,MICEXMBIGP,ММВБ муни обл (вал),100.66,100.62,100.66,100.62,1106656407.1,,6.92,2,,RUB,
SNDX,MICEXMBITR,2006-10-16,Индекс Мосбиржи мун обл MBITR,Индекс Мосбиржи муниципальных облигаций,104.22,104.18,104.22,104.18,1106656407.1,,6.92,2,,RUB,
SNDX,MICEXMC,2006-10-16,MICEX MC,ММВБ стандарт кап,2263.53,2262.53,2280.96,2257.19,1233380203.9,,,2,,RUB,
SNDX,MICEXMNF,2006-10-16,Машиностроение,Индекс машиностроения Московской Биржи,2067.64,2063.93,2076.17,2048.93,69116991.94,,,2,,RUB,
SNDX,MICEXO&G,2006-10-16,Индекс нефти и газа,Индекс МосБиржи нефти и газа,2607.97,2603.78,2637.18,2588.28,23380056935.0,,,2,,RUB,
SNDX,MICEXPWR,2006-10-16,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,2266.01,2273.94,2285.58,2261.1,4015343627.6,,,2,,RUB,
SNDX,MICEXSC,2006-10-16,Второй эшелон,Индекс второго эшелона Московской Биржи,3170.52,3181.12,3191.29,3166.68,58648770.52,,,2,,RUB,
SNDX,MICEXTLC,2006-10-16,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,1697.81,1704.27,1710.75,1696.91,221845636.39,,,2,,RUB,
SNDX,MOEX10,2006-10-16,Индекс МосБиржи 10,Индекс МосБиржи 10,2590.46,2600.08,2620.91,2571.43,19103635544.7701,,,2,,RUB,
SNDX,MOEXCN,2006-10-16,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,2740.29,2748.93,2755.42,2733.46,11458528.8,,,2,,RUB,
SNDX,MOEXEU,2006-10-16,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,2266.01,2273.94,2285.58,2261.1,4015343627.6,,,2,,RUB,
SNDX,MOEXFN,2006-10-16,Индекс финансов,Индекс МосБиржи финансов,4505.57,4570.38,4586.35,4466.8,2624088921.23,,,2,,RUB,
SNDX,MOEXMM,2006-10-16,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,2466.73,2458.79,2474.54,2432.65,4727436590.16,,,2,,RUB,
SNDX,MOEXOG,2006-10-16,Индекс нефти и газа,Индекс МосБиржи нефти и газа,2607.97,2603.78,2637.18,2588.28,23380056935.0,,,2,,RUB,
SNDX,MOEXTL,2006-10-16,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,1697.81,1704.27,1710.75,1696.91,221845636.39,,,2,,RUB,
RTSI,RTS2,2006-10-16,Второй эшелон в $,Индекс второго эшелона Московской Биржи в долларах,1574.21,1573.3,1574.85,1572.91,4761118.0,,,2,21378218167.1248,USD,
RTSI,RTScr,2006-10-16,Индекс РТС потреб. сектора,Индекс РТС потребительских товаров и розничной торговли,247.81,247.87,248.43,247.81,541798.0,,,2,3073797857.8848,USD,
RTSI,RTSeu,2006-10-16,Индекс РТС электроэнергетики,Индекс РТС электроэнергетики,259.51,259.51,259.51,259.51,0.0,,,2,3163754839.6278,USD,
RTSI,RTSfn,2006-10-16,Индекс РТС финансов,Индекс РТС финансов,461.96,461.96,461.96,461.96,0.0,,,2,20171356808.3523,USD,
RTSI,RTSI,2006-10-16,Индекс РТС,Индекс РТС,1612.01,1610.9,1622.36,1605.72,27349035.0,,,2,135627915471.183,USD,
RTSI,RTSin,2006-10-16,Машиностроение в $,Индекс машиностроения Московской Биржи в долларах,213.66,214.1,214.1,213.52,102840.0,,,2,2017281064.1219,USD,
RTSI,RTSmm,2006-10-16,Индекс РТС металлов и добычи,Индекс РТС металлов и добычи,211.51,211.06,211.88,210.4,7472503.0,,,2,10912921097.0045,USD,
RTSI,RTSog,2006-10-16,Индекс РТС нефти и газа,Индекс РТС нефти и газа,257.2,256.14,259.09,255.86,13444250.0,,,2,73172924529.07,USD,
RTSI,RTStl,2006-10-16,Индекс РТС телекоммуникаций,Индекс РТС телекоммуникаций ,182.55,182.66,182.8,182.32,1186402.0,,,2,6016168724.6753,USD,
RTSI,RTSTR,2006-10-16,RTS Total Return,Индекс РТС полной доходности «брутто»,1657.54,1657.54,1657.54,1657.54,0.0,,,2,135627915471.1828,USD,
RTSI,RTSTRN,2006-10-16,RTS Net-TR-NR,Индекс РТС полной доходности «нетто» (по налоговым ставкам иностранных организаций),1650.64,1650.64,1650.64,1650.64,0.0,,,2,135627915471.1828,USD,
RTSI,RTSTRR,2006-10-16,RTS Net-TR-Res,Индекс РТС полной доходности «нетто» (по налоговым ставкам российских организаций),1653.39,1653.39,1653.39,1653.39,0.0,,,2,135627915471.1828,USD,
RTSI,RTSUSDCUR,2006-10-16,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,26.9314,26.9314,26.9314,26.9314,,,,2,,RUB,
SNDX,RUCBCP3Y,2006-10-16,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,101.96,101.96,101.96,101.95,1041314420.8,,7.57,2,,RUB,
SNDX,RUCBCP5Y,2006-10-16,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,102.91,102.87,102.91,102.87,2778042844.9,,7.35,2,,RUB,
SNDX,RUCBICP,2006-10-16,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,101.48,101.56,101.56,101.48,298815235.0,,,2,,RUB,
SNDX,RUCBITR,2006-10-16,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,144.7,,,,298815235.0,,,2,,RUB,
SNDX,RUCBTR3Y,2006-10-16,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,143.15,143.14,143.15,143.13,1041314420.8,,7.57,2,,RUB,
SNDX,RUCBTR5Y,2006-10-16,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,144.55,144.56,144.56,144.5,2778042844.9,,7.35,2,,RUB,
SNDX,RUMBICP,2006-10-16,Индекс Мосбиржи мун обл MOEX MBICP,Индекс Мосбиржи муниципальных облигаций ценовой,98.64,98.6,98.64,98.6,1106656407.1,,6.92,2,,RUB,
SNDX,RUMBITR,2006-10-16,Индекс Мосбиржи мун обл MBITR,Индекс Мосбиржи муниципальных облигаций,104.22,104.18,104.22,104.18,1106656407.1,,6.92,2,,RUB,
SNDX,TECHIND,2006-10-16,Технический индекс акций,Технический индекс акций,2016.01,2029.59,2029.59,2011.09,0.0,,,2,,RUB,
SNDX,TECHINDBOND,2006-10-16,Технический индекс облигаций,Технический индекс облигаций,100.54,100.56,100.57,100.51,0.0,,,2,,RUB,
