BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
EQOB,2015-08-07,КОМИ 8в об,RU000A0GKKB7,2.0,3430.0,98.0,98.0,98.0,98.0,11.75,98.0,12.39,98.0,7.0,,97.44,,0.0,694288.75,0.0,2015-12-03,116.0,12.39,,,,,,,500.0,SUR,,,,,
EQOB,2015-08-07,ВТБ - 6 об,RU000A0JNGU3,4.0,543163.2,100.32,100.4,100.4,100.4,9.99,100.42,11.6,100.32,541.0,100.38,100.4,100.38,2178318.6,1977803.6,2178318.6,2016-07-06,149.0,0.0,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-08-07,АИЖК 7об,RU000A0JNPJ7,1.0,476.25,95.25,95.25,95.25,95.25,1.21,95.25,13.79,95.25,2.0,,97.24,,0.0,1506295.25,0.0,2016-07-15,332.0,13.79,,,,,,,250.0,SUR,,,,,RUR
EQOB,2015-08-07,МГор48-об,RU000A0JNYN1,5.0,24529.2,76.01,77.0,76.64,76.64,10.93,76.94,11.66,77.0,32.0,76.03,76.01,76.03,2871470.4,2761310.4,2871470.4,2022-06-11,1949.0,11.66,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2015-08-07,РСХБ 3,RU000A0JP2G4,2.0,11307449.0,98.3,98.3,98.3,98.3,39.3,98.3,11.98,98.3,11503.0,98.2,98.2,98.2,20175597.3,20161737.3,20175597.3,2017-02-09,181.0,11.98,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-08-07,ГСС 01,RU000A0JP518,1.0,300810.0,100.27,100.27,100.27,100.27,63.74,100.27,14.02,100.27,300.0,100.26,100.26,100.26,2836325.2,2732049.7,2836325.2,2017-03-26,41.0,14.02,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-08-07,МИА-4об ип,RU000A0JPFF1,2.0,78745.8,99.66,99.7,99.66,99.66,9.62,99.68,12.55,99.7,79.0,,99.65,,0.0,2282092.2,0.0,2015-10-01,55.0,12.4,,,,,,,1000.0,SUR,,,,,
EQOB,2015-08-07,ДОМ.РФ11об,RU000A0JPLU8,3.0,2790.6,93.02,93.02,93.02,93.02,11.91,93.02,12.62,93.02,3.0,,94.0,,0.0,18918498.6,0.0,2020-09-15,576.0,12.62,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2015-08-07,МГор56-об,RU000A0JPZ50,6.0,273824.5,95.74,95.8,95.74,95.74,26.47,95.74,11.41,95.8,286.0,95.6,95.6,95.6,53954210.5,26214914.5,53954210.5,2016-09-22,393.0,11.41,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-08-07,ВТБ ЛизФ03,RU000A0JPZ84,1.0,154.65,100.5,100.5,100.5,100.5,3.16,100.5,11.6,100.5,1.0,,100.32,,0.0,513829.52,0.0,2016-06-07,120.0,11.6,,,,,,,153.88,SUR,,,,,RUR
EQOB,2015-08-07,РЖД-11обл,RU000A0JQ177,3.0,9993440.0,99.14,99.3,99.14,99.14,16.88,99.14,11.18,99.3,10080.0,99.16,99.14,99.16,11048857.1,10029108.4,11048857.1,2015-11-18,103.0,11.18,,,,,,,1000.0,SUR,,,,,
EQOB,2015-08-07,ИКС5Фин 04,RU000A0JQ664,1.0,995.0,99.5,99.5,99.5,99.5,18.41,99.5,11.42,99.5,1.0,,98.68,,0.0,30619570.4,0.0,2016-06-02,291.0,11.42,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-08-07,РЖД-15 обл,RU000A0JQ6S9,11.0,45867000.6,97.54,97.63,97.57,97.57,10.27,97.56,11.44,97.63,47014.0,97.56,97.56,97.56,45867000.6,45867000.6,45867000.6,2016-06-20,311.0,11.45,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-08-07,РЖД-18 обл,RU000A0JQ7X7,1.0,10802.0,98.2,98.2,98.2,98.2,4.56,98.2,11.61,98.2,11.0,,98.04,,0.0,12095879.8,0.0,2019-07-15,338.0,11.61,,,,,,,1000.0,SUR,,,,,RUB
