BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
TQNE,2013-10-25,АбрауДюрсо,ABRD,10.0,1755500.0,88.0,88.0,88.8,88.8,88.22,88.8,19900.0,88.22,88.22,88.22,1755500.0,1755500.0,1755500.0,
SMAL,2013-10-25,Система ао,AFKS,1.0,3060.0,34.0,34.0,34.0,,34.0,34.0,90.0,,,,0.0,0.0,0.0,
TQNL,2013-10-25,Система ао,AFKS,1194.0,71889322.7,35.8,34.3,35.8,35.0,34.758,35.072,2068300.0,34.758,34.758,34.758,71889322.7,71889322.7,71889322.7,
SMAL,2013-10-25,Аэрофлот,AFLT,5.0,6886.27,55.5,55.5,57.78,,55.99,56.01,123.0,,,,0.0,0.0,0.0,
TQBS,2013-10-25,Аэрофлот,AFLT,1611.0,97028220.0,57.1,56.87,57.5,57.3,57.17,57.02,1697200.0,57.17,57.17,57.17,97028220.0,97028220.0,97028220.0,
TQNE,2013-10-25,ПАВА ао,AKHA,37.0,361539.9,3.75,3.509,3.75,3.606,3.573,3.605,101200.0,,3.566,,0.0,588403.8,0.0,
TQNL,2013-10-25,Акрон,AKRN,435.0,7350365.7,929.0,916.0,929.0,927.8,922.8,927.5,7965.0,922.8,922.8,922.8,7342933.7,7342933.7,7342933.7,
TQNE,2013-10-25,АЛРОСА-Нюр,ALNU,1.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,1.0,63906.0,63857.0,63906.0,1405928.0,1340995.0,1405928.0,
SMAL,2013-10-25,АЛРОСА ао,ALRS,5.0,362.06,31.0,31.0,35.3,,32.915,34.88,11.0,,,,0.0,0.0,0.0,
TQBR,2013-10-25,АЛРОСА ао,ALRS,551.0,68929891.2,34.946,34.58,35.0,34.95,34.857,34.95,1977500.0,34.857,34.857,34.857,68929891.2,68929891.2,68929891.2,
SMAL,2013-10-25,Аптеки36и6,APTK,3.0,276.51,17.71,11.55,17.73,,16.27,17.73,17.0,,,,0.0,0.0,0.0,
TQNL,2013-10-25,Аптеки36и6,APTK,879.0,7905667.4,18.55,17.9,18.58,18.04,18.06,18.0,437680.0,18.06,18.06,18.06,7905667.4,7905667.4,7905667.4,
TQNL,2013-10-25,Армада,ARMD,30.0,182284.0,176.92,175.96,178.7,176.01,176.97,176.1,1030.0,,173.81,,0.0,1267091.5,0.0,
SMAL,2013-10-25,Арсагера,ARSA,1.0,76.17,0.5402,0.5402,0.5402,,0.5402,0.5402,141.0,,,,0.0,0.0,0.0,
TQNE,2013-10-25,АстрЭнСб,ASSB,16.0,11740.0,0.378,0.378,0.4,0.4,0.3787,0.4,31000.0,,,,0.0,0.0,0.0,
SMAL,2013-10-25,АВТОВАЗ ао,AVAZ,1.0,66.5,9.5,9.5,9.5,,9.5,9.5,7.0,,,,0.0,0.0,0.0,
TQNL,2013-10-25,АВТОВАЗ ао,AVAZ,178.0,2539766.8,10.319,10.2,10.6,10.313,10.443,10.31,243200.0,10.445,10.445,10.445,2508809.8,2508809.8,2508809.8,
SMAL,2013-10-25,АВТОВАЗ ап,AVAZP,2.0,210.95,3.296,3.296,3.296,,3.296,3.296,64.0,,,,0.0,0.0,0.0,
TQNL,2013-10-25,АВТОВАЗ ап,AVAZP,540.0,3622829.8,3.156,3.11,3.299,3.178,3.211,3.177,1128100.0,3.211,3.211,3.211,3622829.8,3622829.8,3622829.8,
TQNE,2013-10-25,Башнефт ао,BANE,317.0,14725997.3,1906.5,1900.5,1912.0,1904.7,1908.7,1905.0,7715.0,1908.7,1908.7,1908.7,14725997.3,14725997.3,14725997.3,
TQNE,2013-10-25,Башнефт ап,BANEP,331.0,12887002.7,1407.1,1402.1,1419.5,1408.2,1408.3,1414.6,9151.0,1408.3,1408.3,1408.3,12887002.7,12887002.7,12887002.7,
