BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,2002-03-05,Индекс МосБиржи,Индекс МосБиржи,275.47,,,,,,,2,,RUB,
SNDX,MICEX10INDEX,2002-03-05,Индекс МосБиржи 10,Индекс МосБиржи 10,516.72,515.97,523.79,509.79,3642388113.0,,,2,,RUB,
SNDX,MICEXINDEXCF,2002-03-05,Индекс МосБиржи (архив),Индекс МосБиржи (архив),275.47,,,,,,,2,,RUB,
SNDX,MOEX10,2002-03-05,Индекс МосБиржи 10,Индекс МосБиржи 10,516.72,515.97,523.79,509.79,3642388113.0,,,2,,RUB,
RTSI,RTSI,2002-03-05,Индекс РТС,Индекс РТС,319.86,318.69,320.53,315.41,16040014.0,,,2,74500698581.8386,USD,
RTSI,RTSog,2002-03-05,Индекс РТС нефти и газа,Индекс РТС нефти и газа,63.26,63.26,63.26,63.26,0.0,,,2,29172578853.9558,USD,
RTSI,RTStl,2002-03-05,Индекс РТС телекоммуникаций,Индекс РТС телекоммуникаций ,58.94,58.94,58.94,58.94,0.0,,,2,2018783285.7637,USD,
RTSI,RTSUSDCUR,2002-03-05,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,30.9949,30.9949,30.9949,30.9949,,,,2,,RUB,
SNDX,TECHIND,2002-03-05,Технический индекс акций,Технический индекс акций,599.1,602.79,,,,,,2,,RUB,
