BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOD,2021-04-09,UBANK11/22,AMUNIBB2AER2,4.0,514.45,102.89,102.89,102.89,102.89,,102.89,,102.89,5.0,,102.594,102.89,0.0,510134.81,0.0,2022-11-15,,,,,5.25,1.31,,2021-04-09,100.0,USD,,,,,USD,3
TQCB,2021-04-09,МГор48-об,RU000A0JNYN1,16.0,4915254.8,100.22,100.25,100.22,100.23,19.56,100.25,5.88,100.23,4903.0,100.25,100.25,100.23,4915254.8,4915254.8,4915254.8,2022-06-11,412.0,5.85,,,6.0,29.92,,2021-04-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-04-09,РЖД-19 обл,RU000A0JQ7Z2,9.0,175337.5,103.75,103.75,103.75,103.75,18.93,103.75,6.65,103.75,169.0,,103.71,103.75,0.0,501967.5,0.0,2024-07-08,1054.0,6.65,,,7.85,39.14,,2021-04-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-04-09,РЖД-23 обл,RU000A0JQRD9,26.0,237537.4,103.7,103.85,103.85,103.85,16.78,103.73,6.78,103.72,229.0,,103.66,103.85,0.0,502751.2,0.0,2025-01-16,1204.0,6.82,,,7.85,39.14,,2021-04-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-04-09,ДОМ.РФ16об,RU000A0JQXG0,2.0,51201.15,101.15,102.2,102.2,102.2,0.57,102.2,3.09,101.15,501.0,,102.22,102.2,0.0,737000.26,0.0,2021-09-15,157.0,3.09,,,8.25,2.08,,2021-04-09,100.0,SUR,,,,,RUB,3
TQCB,2021-04-09,ГлДорога 3,RU000A0JR4U9,1.0,964.0,96.4,96.4,96.4,96.4,16.55,96.4,10.69,96.4,1.0,,90.85,96.4,0.0,6497288.2,0.0,2028-10-30,213.0,10.69,,,4.0,39.89,2021-11-08,2021-04-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-04-09,Акрон 04,RU000A0JRHF3,1.0,107695.5,100.65,100.65,100.65,100.65,25.47,100.65,-0.09,100.65,107.0,,100.47,100.65,0.0,508353.7,0.0,2021-05-18,39.0,-0.09,,,6.5,32.41,,2021-04-09,1000.0,SUR,,,-0.0816,,RUB,3
TQCB,2021-04-09,Мечел 17об,RU000A0JRJS2,118.0,56861.38,100.03,100.47,100.06,100.07,2.7,100.11,,100.47,1136.0,,100.05,100.07,0.0,500686.52,0.0,2021-05-27,,,,,8.75,3.27,,2021-04-09,50.0,SUR,,,,,RUB,3
TQCB,2021-04-09,Мечел 18об,RU000A0JRJT0,1.0,50.49,100.98,100.98,100.98,100.98,2.7,100.98,,100.98,1.0,,100.09,100.98,0.0,514167.16,0.0,2021-05-27,,,,,8.75,3.27,,2021-04-09,50.0,SUR,,,,,RUB,3
TQCB,2021-04-09,ННК 04,RU000A0JRJV6,33.0,369984.23,98.41,98.97,98.86,98.86,21.03,98.61,17.73,98.97,536.0,,98.57,98.86,0.0,648607.47,0.0,2021-06-01,53.0,19.85,,,8.5,29.67,,2021-04-09,700.0,SUR,,,15.568,,RUB,3
TQCB,2021-04-09,Мечел 19об,RU000A0JRJY0,6.0,15163.62,100.05,100.09,100.08,100.08,2.64,100.09,,100.09,303.0,,100.0,100.08,0.0,545475.06,0.0,2021-06-01,,,,,8.75,3.27,,2021-04-09,50.0,SUR,,,7.3166,,RUB,3
