BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
RTSI,BPSI,2008-05-26,Субиндекс облигаций,Индексы активов пенсионных накоплений - Субиндекс облигаций,1026.4826,1026.4826,1026.4826,1026.4826,0.0,,,2,328510584000.0,RUB,0.001
RTSI,EPSI,2008-05-26,Субиндекс акций,Индексы активов пенсионных накоплений - Субиндекс акций,885.698,885.698,885.698,885.698,0.0,,,2,203809028186.724,RUB,999999.999999
SNDX,IMOEX,2008-05-26,Индекс МосБиржи,Индекс МосБиржи,1894.91,1909.66,1909.67,1879.42,44141740310.35,,,2,,RUB,
RTSI,MCFTR,2008-05-26,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,1969.37,1969.37,1969.37,1969.37,0.0,,,2,0.0,,
RTSI,MCFTRN,2008-05-26,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),1958.04,1958.04,1958.04,1958.04,0.0,,,2,0.0,,
RTSI,MCFTRR,2008-05-26,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),1962.56,1962.56,1962.56,1962.56,0.0,,,2,0.0,,
SNDX,MICEX10INDEX,2008-05-26,Индекс МосБиржи 10,Индекс МосБиржи 10,3393.57,3424.23,3428.77,3364.8,41688141034.86,,,2,,RUB,
SNDX,MICEXBORR1W,2008-05-26,MCX BO 1W,ММВБ РЕПО обл 7 дней,4.96,,,,14723149118.26,,,2,,RUB,
SNDX,MICEXBORR2W,2008-05-26,MCX BO 2W,ММВБ РЕПО обл 14 дней,5.19,,,,317406142.27,,,2,,RUB,
SNDX,MICEXBORRON,2008-05-26,MCX BO ON,ММВБ РЕПО обл 1 день,4.17,,,,30858811009.53,,,2,,RUB,
SNDX,MICEXCBICP,2008-05-26,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,99.86,99.89,99.92,99.84,1742995485.35,937,8.32,2,,RUB,
SNDX,MICEXCBICP3Y,2008-05-26,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,100.33,100.31,100.34,100.31,1335098480.85,591,8.05,2,,RUB,
SNDX,MICEXCBICP5Y,2008-05-26,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,100.91,101.06,101.12,100.82,181468604.5,1158,8.83,2,,RUB,
SNDX,MICEXCBIGP,2008-05-26,ММВБ корп обл (вал),ММВБ корп обл (вал),101.66,101.7,101.72,101.62,1742995485.35,937,8.32,2,,RUB,
SNDX,MICEXCBIGP3Y,2008-05-26,ММВБ корп обл (вал) 1-3,ММВБ корп обл (вал) 1-3,102.26,102.24,102.27,102.17,1335098480.85,591,8.05,2,,RUB,
SNDX,MICEXCBIGP5Y,2008-05-26,ММВБ корп обл (вал) 3-5,ММВБ корп обл (вал) 3-5,102.7,102.86,102.92,102.62,181468604.5,1158,8.83,2,,RUB,
SNDX,MICEXCBITR,2008-05-26,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,161.27,161.32,161.36,161.2,1742995485.35,937,8.32,2,,RUB,
SNDX,MICEXCBITR3Y,2008-05-26,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,159.08,159.04,159.09,158.94,1335098480.85,591,8.05,2,,RUB,
SNDX,MICEXCBITR5Y,2008-05-26,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,159.75,159.99,160.09,159.62,181468604.5,1158,8.83,2,,RUB,
SNDX,MICEXCGS,2008-05-26,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,3181.78,3180.93,3182.73,3165.24,48676012.39,,,2,,RUB,
SNDX,MICEXCHM,2008-05-26,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,8015.08,8081.86,8081.86,7903.64,58314785.55,,,2,,RUB,
SNDX,MICEXEQRR1W,2008-05-26,MCX EQ 1W,ММВБ РЕПО акц 7 дней,5.34,,,,18296682261.23,,,2,,RUB,
SNDX,MICEXEQRR2W,2008-05-26,MCX EQ 2W,ММВБ РЕПО акц 14 дней,5.64,,,,5036537833.15,,,2,,RUB,
SNDX,MICEXEQRRON,2008-05-26,MCX EQ ON,ММВБ РЕПО акц 1 день,4.47,,,,56303418442.8,,,2,,RUB,
SNDX,MICEXFNL,2008-05-26,Индекс финансов,Индекс МосБиржи финансов,6072.15,6166.16,6166.16,6064.74,6464043675.97,,,2,,RUB,
SNDX,MICEXINDEXCF,2008-05-26,Индекс МосБиржи (архив),Индекс МосБиржи (архив),1894.91,1909.66,1909.67,1879.42,44141740310.35,,,2,,RUB,
SNDX,MICEXLC,2008-05-26,MICEX LC,ММВБ высокая кап,3179.61,3207.13,3207.16,3152.7,42046024298.59,,,2,,RUB,
SNDX,MICEXM&M,2008-05-26,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,4277.56,4319.09,4319.14,4262.07,4543287534.03,,,2,,RUB,
SNDX,MICEXMBICP,2008-05-26,Индекс Мосбиржи мун обл MOEX MBICP,Индекс Мосбиржи муниципальных облигаций ценовой,93.98,93.99,93.99,93.97,306836142.0,1289,7.96,2,,RUB,
SNDX,MICEXMBIGP,2008-05-26,MICEXMBIGP,ММВБ муни обл (вал),95.85,95.87,95.87,95.84,306836142.0,1289,7.96,2,,RUB,
SNDX,MICEXMBITR,2008-05-26,Индекс Мосбиржи мун обл MBITR,Индекс Мосбиржи муниципальных облигаций,111.56,111.58,111.58,111.55,306836142.0,1289,7.96,2,,RUB,
SNDX,MICEXMC,2008-05-26,MICEX MC,ММВБ стандарт кап,2877.41,2881.33,2881.7,2871.02,1033733123.37,,,2,,RUB,
SNDX,MICEXMNF,2008-05-26,Машиностроение,Индекс машиностроения Московской Биржи,3442.87,3451.83,3460.1,3432.9,78029952.16,,,2,,RUB,
SNDX,MICEXO&G,2008-05-26,Индекс нефти и газа,Индекс МосБиржи нефти и газа,3006.64,3013.62,3028.19,2962.18,31799679699.64,,,2,,RUB,
SNDX,MICEXPWR,2008-05-26,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,2772.32,2783.89,2786.54,2767.72,138392723.55,,,2,,RUB,
SNDX,MICEXSC,2008-05-26,Второй эшелон,Индекс второго эшелона Московской Биржи,4730.36,4737.29,4737.32,4718.74,253224489.8,,,2,,RUB,
SNDX,MICEXTLC,2008-05-26,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,2133.2,2133.52,2135.67,2123.1,1329803262.44,,,2,,RUB,
SNDX,MICEXTRN,2008-05-26,Индекс транспорта,Индекс МосБиржи транспорта,2301.71,2301.71,2301.71,2301.71,9450606.42,,,2,,RUB,
SNDX,MOEX10,2008-05-26,Индекс МосБиржи 10,Индекс МосБиржи 10,3393.57,3424.23,3428.77,3364.8,41688141034.86,,,2,,RUB,
SNDX,MOEXCH,2008-05-26,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,8015.08,8081.86,8081.86,7903.64,58314785.55,,,2,,RUB,
SNDX,MOEXCN,2008-05-26,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,3181.78,3180.93,3182.73,3165.24,48676012.39,,,2,,RUB,
SNDX,MOEXEU,2008-05-26,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,2772.32,2783.89,2786.54,2767.72,138392723.55,,,2,,RUB,
SNDX,MOEXFN,2008-05-26,Индекс финансов,Индекс МосБиржи финансов,6072.15,6166.16,6166.16,6064.74,6464043675.97,,,2,,RUB,
SNDX,MOEXMM,2008-05-26,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,4277.56,4319.09,4319.14,4262.07,4543287534.03,,,2,,RUB,
SNDX,MOEXOG,2008-05-26,Индекс нефти и газа,Индекс МосБиржи нефти и газа,3006.64,3013.62,3028.19,2962.18,31799679699.64,,,2,,RUB,
SNDX,MOEXTL,2008-05-26,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,2133.2,2133.52,2135.67,2123.1,1329803262.44,,,2,,RUB,
SNDX,MOEXTN,2008-05-26,Индекс транспорта,Индекс МосБиржи транспорта,2301.71,2301.71,2301.71,2301.71,9450606.42,,,2,,RUB,
RTSI,OPSI,2008-05-26,Субиндекс ОФЗ,Индексы активов пенсионных накоплений - Субиндекс ОФЗ,1001.0946,1001.0946,1001.0946,1001.0946,0.0,,,2,0.0,RUB,
RTSI,RTS2,2008-05-26,Второй эшелон в $,Индекс второго эшелона Московской Биржи в долларах,2584.28,2582.27,2586.15,2581.52,3438298.0,,,2,30765675165.1224,USD,
