BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
TQBR,2016-08-17,АбрауДюрсо,ABRD,11.0,90400.0,82.5,82.0,82.5,82.0,82.0,82.0,1100.0,,81.5,82.0,0.0,505150.0,0.0,
SMAL,2016-08-17,Система ао,AFKS,1.0,23.9,23.9,23.9,23.9,,23.195,23.9,1.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,Система ао,AFKS,2241.0,63510825.0,23.27,22.905,23.3,23.185,23.195,23.185,2738000.0,23.195,23.195,23.185,63510825.0,63510825.0,63510825.0,
SMAL,2016-08-17,Аэрофлот,AFLT,3.0,1643.5,82.4,81.8,82.4,,82.16,81.8,20.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,Аэрофлот,AFLT,5107.0,273976676.0,83.59,81.15,84.0,82.37,82.16,82.37,3333700.0,82.18,82.18,82.37,273976676.0,273976676.0,273976676.0,
TQBR,2016-08-17,AGRO-гдр,AGRO,529.0,27657758.0,940.0,931.0,949.0,941.0,941.0,941.0,29377.0,941.0,941.0,941.0,27657758.0,27657758.0,27657758.0,
TQBR,2016-08-17,Акрон,AKRN,835.0,27795665.0,3545.0,3480.0,3620.0,3510.0,3540.0,3510.0,7861.0,3535.0,3535.0,3510.0,27795665.0,27795665.0,27795665.0,
SMAL,2016-08-17,АЛРОСА ао,ALRS,6.0,6005.33,74.92,74.92,75.3,,74.88,75.3,80.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,АЛРОСА ао,ALRS,13878.0,1323392193.0,73.95,73.88,76.0,76.0,74.88,76.0,17672900.0,74.88,74.88,76.0,1323392193.0,1323392193.0,1323392193.0,
TQBR,2016-08-17,АшинскийМЗ,AMEZ,605.0,1273674.0,4.3,4.07,4.42,4.29,4.25,4.29,300000.0,4.25,4.25,4.29,1273674.0,1273674.0,1273674.0,
TQBR,2016-08-17,Аптеки36и6,APTK,768.0,6846370.8,12.04,11.89,12.19,11.91,11.94,11.91,573240.0,11.94,11.94,11.91,6846370.8,6846370.8,6846370.8,
TQBR,2016-08-17,РусАква ао,AQUA,3.0,37990.0,37.9,37.9,38.0,38.0,38.0,38.0,1000.0,,39.9,38.0,0.0,502220.0,0.0,
TQDE,2016-08-17,Армада,ARMD,65.0,194326.0,18.2,17.7,18.2,17.8,17.8,17.9,10900.0,,18.2,17.8,0.0,505893.0,0.0,
SMAL,2016-08-17,Арсагера,ARSA,2.0,2485.0,2.365,2.365,2.605,,2.645,2.605,1000.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,Арсагера,ARSA,26.0,555965.0,2.655,2.625,2.705,2.685,2.645,2.705,210000.0,2.645,2.645,2.685,555965.0,555965.0,555965.0,
TQBR,2016-08-17,АстрЭнСб,ASSB,6.0,5919.0,0.384,0.384,0.397,0.396,0.395,0.397,15000.0,,0.397,0.396,0.0,500531.0,0.0,
TQBR,2016-08-17,АВТОВАЗ ао,AVAZ,91.0,1107496.0,7.94,7.85,7.94,7.9,7.88,7.9,140600.0,7.88,7.88,7.9,1107496.0,1107496.0,1107496.0,
TQBR,2016-08-17,АВТОВАЗ ап,AVAZP,103.0,288193.5,3.5,3.45,3.515,3.485,3.485,3.485,82700.0,,3.49,3.485,0.0,506477.5,0.0,
TQBR,2016-08-17,Башнефт ао,BANE,20527.0,2163341770.5,2819.0,2654.0,2890.0,2876.0,2800.5,2876.0,772146.0,2801.5,2801.5,2876.0,2163341770.5,2163341770.5,2163341770.5,
TQBR,2016-08-17,Башнефт ап,BANEP,3070.0,147643627.0,1900.0,1832.5,1947.0,1920.5,1899.5,1920.5,77737.0,1899.5,1899.5,1920.5,147643627.0,147643627.0,147643627.0,
TQDE,2016-08-17,Деликатесы,BGDE,465.0,2698165.0,0.535,0.485,0.565,0.52,0.5,0.525,5393000.0,0.5,0.5,0.52,2698165.0,2698165.0,2698165.0,
TQBR,2016-08-17,БашИнСв ап,BISVP,16.0,176180.0,4.2,4.18,4.25,4.24,4.19,4.25,42000.0,,4.2,4.24,0.0,500030.0,0.0,
TQBR,2016-08-17,Белон ао,BLNG,85.0,333814.0,4.4,4.31,4.43,4.35,4.39,4.35,76000.0,,4.39,4.35,0.0,509414.0,0.0,
TQBR,2016-08-17,БурЗолото,BRZL,13.0,23610.0,1395.0,1380.0,1400.0,1380.0,1400.0,1380.0,17.0,,1380.0,1380.0,0.0,2847440.0,0.0,
SMAL,2016-08-17,БСП ао,BSPB,1.0,57.45,57.45,57.45,57.45,,57.65,57.45,1.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,БСП ао,BSPB,432.0,4321581.0,58.8,57.5,58.8,57.65,57.65,57.65,74970.0,57.65,57.65,57.65,4321581.0,4321581.0,4321581.0,
TQBR,2016-08-17,МКБ ао,CBOM,548.0,19053973.5,3.915,3.89,3.94,3.91,3.915,3.905,4866600.0,3.915,3.915,3.91,19053973.5,19053973.5,19053973.5,
SMAL,2016-08-17,СевСт-ао,CHMF,5.0,15125.3,796.3,795.3,797.1,,793.3,795.3,19.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,СевСт-ао,CHMF,7087.0,498688667.0,797.4,771.6,802.0,777.0,793.3,777.0,628570.0,793.4,793.4,777.0,498688667.0,498688667.0,498688667.0,
TQBR,2016-08-17,ЧМК ао,CHMK,84.0,585375.0,3190.0,3045.0,3195.0,3155.0,3115.0,3150.0,188.0,3115.0,3115.0,3155.0,585375.0,585375.0,585375.0,
SMAL,2016-08-17,ЧЦЗ ао,CHZN,1.0,1281.0,427.0,427.0,427.0,,430.0,427.0,3.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,ЧЦЗ ао,CHZN,3.0,116110.0,430.0,430.0,431.0,431.0,430.0,431.0,270.0,438.0,439.0,431.0,1464440.0,1223480.0,1464440.0,
TQBR,2016-08-17,ЧелябЭС ао,CLSB,9.0,9800.0,0.1105,0.107,0.1105,0.11,0.109,0.11,90000.0,,0.11,0.11,0.0,500940.0,0.0,
TQBR,2016-08-17,ЧелябЭС ап,CLSBP,110.0,378085.0,0.0975,0.09,0.1,0.0955,0.0935,0.0955,4040000.0,,0.095,0.0955,0.0,506745.0,0.0,
TQBR,2016-08-17,Телеграф,CNTL,5.0,12950.0,21.55,21.55,21.6,21.6,21.6,21.6,600.0,,21.7,21.6,0.0,501155.0,0.0,
TQBR,2016-08-17,Телеграф-п,CNTLP,6.0,6865.0,6.85,6.8,6.9,6.9,6.85,6.9,1000.0,,6.8,6.9,0.0,505725.0,0.0,
TQBR,2016-08-17,ДагСб ао,DASB,1.0,4880.0,0.488,0.488,0.488,0.488,0.488,0.488,10000.0,,0.497,0.488,0.0,556700.0,0.0,
TQBR,2016-08-17,Дорогбж ао,DGBZ,15.0,118930.0,40.6,40.6,41.5,40.6,41.0,40.6,2900.0,,40.6,40.6,0.0,503720.0,0.0,
TQBR,2016-08-17,iЗаводДИОД,DIOD,29.0,472912.0,3.7,3.68,3.7,3.69,3.69,3.69,128000.0,,3.69,3.69,0.0,515434.0,0.0,
TQBR,2016-08-17,ДИКСИ ао,DIXY,254.0,17784413.0,340.0,338.0,340.8,339.9,338.9,339.9,52480.0,338.9,338.9,339.9,17784413.0,17784413.0,17784413.0,
TQBR,2016-08-17,ДЭК ао,DVEC,39.0,148329.0,0.609,0.603,0.618,0.603,0.61,0.603,243000.0,,0.612,0.603,0.0,502444.0,0.0,
TQBR,2016-08-17,iДонскЗР,DZRD,164.0,1405680.0,1980.0,1870.0,2100.0,2000.0,2010.0,2000.0,698.0,2010.0,2010.0,2000.0,1405680.0,1405680.0,1405680.0,
TQBR,2016-08-17,iДонскЗР п,DZRDP,119.0,227450.0,1700.0,1650.0,1860.0,1790.0,1790.0,1790.0,127.0,,1770.0,1790.0,0.0,501320.0,0.0,
TQBR,2016-08-17,Электрцинк,ELTZ,16.0,39727.0,556.0,537.0,556.0,554.0,544.0,554.0,73.0,,567.0,554.0,0.0,505787.0,0.0,
SMAL,2016-08-17,ЭнелРос ао,ENRU,3.0,650.24,0.834,0.834,0.836,,0.84,0.836,779.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,ЭнелРос ао,ENRU,67.0,817712.0,0.849,0.83,0.852,0.839,0.84,0.839,973000.0,0.84,0.84,0.839,817712.0,817712.0,817712.0,
TQBR,2016-08-17,САФМАР ао,EPLN,30.0,10444500.0,633.0,633.0,633.0,633.0,633.0,633.0,16500.0,633.0,633.0,633.0,10444500.0,10444500.0,10444500.0,
SMAL,2016-08-17,ФСК ЕЭС ао,FEES,12.0,3014.09,0.1495,0.14949,0.15173,,0.15068,0.15168,20149.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,ФСК ЕЭС ао,FEES,5344.0,147902769.5,0.15135,0.149,0.153,0.15049,0.15068,0.15049,981240000.0,0.15073,0.15073,0.15049,147902769.5,147902769.5,147902769.5,
TQBR,2016-08-17,ДВМП ао,FESH,1108.0,7460143.5,1.7,1.67,1.85,1.705,1.735,1.705,4302500.0,1.735,1.735,1.705,7460143.5,7460143.5,7460143.5,
TQTF,2016-08-17,FXAU ETF,FXAU,2.0,3242.0,1622.0,1620.0,1622.0,1620.0,1621.0,1620.0,2.0,,1659.0,1620.0,0.0,504319.0,0.0,80768.73
TQTF,2016-08-17,FXCN ETF,FXCN,4.0,42770.0,1950.0,1935.0,1950.0,1935.0,1945.0,1935.0,22.0,,1940.0,1935.0,0.0,564100.0,0.0,140804.77
TQTF,2016-08-17,FXDE ETF,FXDE,7.0,90885.5,1856.0,1854.0,1856.0,1855.0,1855.0,1855.5,49.0,,1853.5,1855.0,0.0,1580849.5,0.0,369181.7
TQTF,2016-08-17,FXGD ETF,FXGD,36.0,865524.0,614.5,614.5,618.5,618.5,616.5,618.5,1404.0,616.5,616.5,618.5,865524.0,865524.0,865524.0,2659608.68
TQTF,2016-08-17,iFXIT ETF,FXIT,3.0,11206.0,2797.0,2797.0,2804.0,2803.0,2802.0,2804.0,4.0,,2831.0,2803.0,0.0,8424528.0,0.0,257537.73
TQTF,2016-08-17,FXJP ETF,FXJP,3.0,19946.0,1975.0,1975.0,2006.0,2006.0,1995.0,2006.0,10.0,,2010.0,2006.0,0.0,647349.0,0.0,76683.73
TQTF,2016-08-17,FXMM ETF,FXMM,101.0,13572191.5,1260.8,1260.6,1260.8,1260.8,1260.8,1260.8,10765.0,1260.8,1260.8,1260.8,13572191.5,13572191.5,13572191.5,9263322.06
TQTF,2016-08-17,FXRB ETF,FXRB,26.0,1653247.0,1201.0,1201.0,1217.0,1216.0,1213.0,1216.0,1363.0,1213.0,1213.0,1216.0,1653247.0,1653247.0,1653247.0,4062880.09
TQTF,2016-08-17,FXRL ETF,FXRL,9.0,394349.5,1692.0,1691.5,1700.0,1695.0,1692.5,1695.0,233.0,,1695.0,1695.0,0.0,503437.5,0.0,527908.45
TQTF,2016-08-17,FXRU ETF,FXRU,24.0,1921050.0,6680.0,6680.0,6710.0,6710.0,6690.0,6710.0,287.0,6690.0,6690.0,6710.0,1921050.0,1921050.0,1921050.0,3740320.45
TQTF,2016-08-17,FXUK ETF,FXUK,1.0,3478.0,1739.0,1739.0,1739.0,1739.0,1739.0,1739.0,2.0,,1734.0,1739.0,0.0,1284728.0,0.0,211474.86
TQTF,2016-08-17,FXUS ETF,FXUS,6.0,310308.0,2449.0,2442.0,2449.0,2443.0,2443.0,2442.0,127.0,2445.0,2444.0,2443.0,826466.0,501044.0,826466.0,399976.23
TQBR,2016-08-17,ГАЗ ао,GAZA,10.0,66700.0,446.0,443.0,447.0,444.0,445.0,443.0,150.0,,443.0,444.0,0.0,500540.0,0.0,
TQBR,2016-08-17,ГАЗ ап,GAZAP,5.0,26420.0,380.0,377.0,380.0,377.0,377.0,377.0,70.0,,380.0,377.0,0.0,502190.0,0.0,
SMAL,2016-08-17,ГАЗПРОМ ао,GAZP,10.0,4516.21,136.56,135.72,138.1,,137.03,137.32,33.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,ГАЗПРОМ ао,GAZP,25067.0,2492234241.7,137.99,136.26,137.99,137.68,137.03,137.68,18190650.0,137.01,137.01,137.68,2492234241.7,2492234241.7,2492234241.7,
TQBR,2016-08-17,ЧеркизГ-ао,GCHE,139.0,1004465.0,844.0,830.0,844.0,839.0,837.0,839.0,1200.0,837.0,837.0,839.0,1004465.0,1004465.0,1004465.0,
TQBR,2016-08-17,ГМКНорНик,GMKN,8700.0,867020751.0,9928.0,9710.0,9947.0,9770.0,9812.0,9770.0,88392.0,9809.0,9809.0,9770.0,867020751.0,867020751.0,867020751.0,
TQBR,2016-08-17,Разгуляй,GRAZ,157.0,555793.0,3.95,3.92,3.98,3.95,3.95,3.95,140800.0,3.95,3.95,3.95,555793.0,555793.0,555793.0,
TQBR,2016-08-17,ГИТ ао,GRNT,1529.0,11928805.0,1.1,1.0,1.145,1.095,1.06,1.095,11237000.0,1.06,1.06,1.095,11928805.0,11928805.0,11928805.0,
TQDE,2016-08-17,GTL ао,GTLC,511.0,9095413.0,0.619,0.612,0.623,0.615,0.616,0.615,14754000.0,0.616,0.616,0.615,9095413.0,9095413.0,9095413.0,
TQBR,2016-08-17,ГлТоргПрод,GTPR,33.0,136424.5,1.76,1.755,1.77,1.77,1.76,1.77,77500.0,,1.765,1.77,0.0,500985.5,0.0,
TQBR,2016-08-17,Галс-Девел,HALS,6.0,17845.0,1415.0,1360.0,1415.0,1400.0,1375.0,1400.0,13.0,,1390.0,1400.0,0.0,509090.0,0.0,
TQBR,2016-08-17,Химпром ап,HIMCP,3.0,6815.0,2.305,2.235,2.305,2.255,2.27,2.275,3000.0,,2.16,2.255,0.0,501440.0,0.0,
SMAL,2016-08-17,РусГидро,HYDR,34.0,4677.53,0.7037,0.688,0.7044,,0.7032,0.6934,6672.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,РусГидро,HYDR,15940.0,331856715.8,0.718,0.69,0.718,0.69,0.7032,0.69,471840000.0,0.7033,0.7033,0.69,331856715.8,331856715.8,331856715.8,
TQBR,2016-08-17,Ижсталь2ао,IGST,56.0,104410.0,765.0,725.0,795.0,760.0,750.0,770.0,139.0,,765.0,760.0,0.0,500255.0,0.0,
TQBR,2016-08-17,Ижсталь ап,IGSTP,7.0,35440.0,401.0,381.0,412.0,385.0,394.0,389.0,90.0,,414.0,385.0,0.0,500370.0,0.0,
SMAL,2016-08-17,ИнтерРАОао,IRAO,6.0,1443.53,2.591,2.591,2.5925,,2.6055,2.592,557.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,ИнтерРАОао,IRAO,5294.0,91724039.5,2.6175,2.561,2.64,2.6125,2.6055,2.6125,35212000.0,2.605,2.605,2.6125,91724039.5,91724039.5,91724039.5,
TQBR,2016-08-17,ИркЭнерго,IRGZ,318.0,8118445.0,13.37,13.11,13.5,13.35,13.32,13.35,609600.0,13.32,13.32,13.35,8118445.0,8118445.0,8118445.0,
TQBR,2016-08-17,ИРКУТ-3,IRKT,77.0,418283.0,9.2,9.13,9.29,9.2,9.19,9.2,45500.0,,9.19,9.2,0.0,501791.0,0.0,
SMAL,2016-08-17,iИСКЧ ао,ISKJ,2.0,579.7,16.5,16.5,17.6,,17.95,17.6,34.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,iИСКЧ ао,ISKJ,31.0,143635.0,18.1,17.8,18.1,17.8,17.95,17.8,8000.0,,18.1,17.8,0.0,507280.0,0.0,
TQBR,2016-08-17,Славн-ЯНОС,JNOS,46.0,686030.0,26.6,26.5,30.1,28.8,29.1,28.8,23600.0,29.1,29.1,28.8,686030.0,686030.0,686030.0,
TQBR,2016-08-17,Слав-ЯНОСп,JNOSP,268.0,2265110.0,19.3,19.3,24.0,22.3,21.7,22.3,104600.0,21.7,21.7,22.3,2265110.0,2265110.0,2265110.0,
SMAL,2016-08-17,Куйбазот,KAZT,2.0,3360.0,80.0,80.0,80.0,,84.1,80.0,42.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,Куйбазот,KAZT,19.0,1892050.0,85.0,84.0,85.0,84.0,84.1,84.0,22500.0,84.1,84.1,84.0,1892050.0,1892050.0,1892050.0,
TQBR,2016-08-17,Куйбазот-п,KAZTP,1.0,108290.0,83.3,83.3,83.3,83.3,83.3,83.3,1300.0,,83.8,83.3,0.0,594850.0,0.0,
TQBR,2016-08-17,ТНСэКубань,KBSB,6.0,70095.0,168.5,168.5,176.0,175.5,171.0,175.5,410.0,,167.0,175.5,0.0,502015.0,0.0,
TQBR,2016-08-17,КузбТК ао,KBTK,7.0,25253.0,63.6,63.1,63.6,63.1,63.1,63.1,400.0,,63.0,63.1,0.0,500110.0,0.0,
TQBR,2016-08-17,КамчатЭ ао,KCHE,33.0,76525.0,0.09,0.081,0.09,0.0845,0.084,0.0845,910000.0,,0.087,0.0845,0.0,500350.0,0.0,
TQBR,2016-08-17,КамчатЭ ап,KCHEP,1.0,2775.0,0.0925,0.0925,0.0925,0.0925,0.0925,0.0925,30000.0,,0.098,0.0925,0.0,515270.0,0.0,
TQBR,2016-08-17,КалужскСК,KLSB,30.0,99580.0,23.9,23.9,26.2,24.9,24.9,25.0,4000.0,,23.5,24.9,0.0,505480.0,0.0,
SMAL,2016-08-17,КАМАЗ,KMAZ,6.0,4326.15,35.35,35.15,35.35,,35.3,35.15,123.0,,,,0.0,0.0,0.0,
TQBR,2016-08-17,КАМАЗ,KMAZ,174.0,2132355.0,36.0,35.0,36.2,35.25,35.3,35.3,60400.0,35.3,35.3,35.25,2132355.0,2132355.0,2132355.0,
