BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
EQOB,2013-07-18,КОМИ 7в об,RU000A0DF2U3,4.0,7543054.0,100.4,100.45,100.45,100.45,6.14,100.41,6.73,100.4,15024.0,,100.4,,0.0,11375321.8,0.0,2013-11-22,127.0,6.85,,,,,,,500.0,SUR,,,,,
EQNB,2013-07-18,ВТБ - 5 об,RU000A0GHL00,1.0,3010.5,100.35,100.35,100.35,100.35,0.0,100.35,6.11,100.35,3.0,,100.12,,0.0,17031331.3,0.0,2013-10-17,91.0,6.11,,,,,,,1000.0,SUR,,,,,
EQOB,2013-07-18,АИЖК 6об,RU000A0GKNF2,1.0,801200.0,100.15,100.15,100.15,100.15,0.24,100.15,7.44,100.15,2000.0,,100.13,,0.0,42675367.84,0.0,2014-07-15,352.0,7.44,,,,,,,400.0,SUR,,,,,
EQOB,2013-07-18,ВТБ - 6 об,RU000A0JNGU3,21.0,150304382.3,100.05,100.2,100.16,100.19,1.66,100.17,7.62,100.16,150055.0,100.17,100.17,100.17,150304382.3,150304382.3,150304382.3,2016-07-06,346.0,7.61,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2013-07-18,МГор49-об,RU000A0JNYP6,3.0,8023935.6,99.23,99.46,99.23,99.23,6.52,99.23,7.36,99.46,8086.0,98.71,98.54,98.71,39270443.9,23799503.1,39270443.9,2017-06-14,1264.0,7.36,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2013-07-18,Лукойл4обл,RU000A0JNYY8,3.0,4641340.2,100.15,100.55,100.42,100.55,8.52,100.55,6.34,100.15,4616.0,100.36,100.38,100.36,34700105.7,20531683.0,34700105.7,2013-12-05,140.0,5.99,,,,,,,1000.0,SUR,,,,,
EQOB,2013-07-18,РСХБ 3,RU000A0JP2G4,9.0,121779333.5,101.04,101.2,101.19,101.17,39.03,101.18,7.21,101.07,120354.0,101.14,101.14,101.14,161381423.5,159654333.5,161381423.5,2017-02-09,202.0,7.23,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2013-07-18,Мос.обл.7в,RU000A0JP6R2,9.0,37021625.5,100.45,100.6,100.45,100.45,20.16,100.53,7.48,100.55,36827.0,100.53,100.53,100.53,37026652.0,37026652.0,37026652.0,2014-04-16,265.0,7.36,,,,,,,1000.0,SUR,,,,,
EQNB,2013-07-18,АВТОВАЗоб4,RU000A0JP8V0,1.0,930.0,93.0,93.0,93.0,93.0,0.16,93.0,9.15,93.0,1.0,,,,0.0,0.0,0.0,2014-05-20,306.0,9.15,,,,,,,1000.0,SUR,,,,,
EQOB,2013-07-18,МДМ Банк 8,RU000A0JPQA9,7.0,21294268.8,100.09,100.1,100.09,100.1,24.16,100.1,9.13,100.09,21273.0,100.06,100.08,100.06,41041600.3,26494563.8,41041600.3,2015-04-09,584.0,9.12,,,,,,,1000.0,SUR,,,,,
EQOB,2013-07-18,МТС 03,RU000A0JPTJ4,1.0,5005000.0,100.1,100.1,100.1,100.1,5.75,100.1,6.85,100.1,5000.0,,100.0,,0.0,47357200.1,0.0,2018-06-12,154.0,6.85,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2013-07-18,МГор56-об,RU000A0JPZ50,9.0,11997.6,99.98,99.98,99.98,99.98,22.63,99.98,7.12,99.98,12.0,,99.31,,0.0,1047753.8,0.0,2016-09-22,1039.0,7.12,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2013-07-18,АК БАРС-04,RU000A0JPZZ7,1.0,330825.0,100.25,100.25,100.25,100.25,22.93,100.25,8.01,100.25,330.0,100.29,100.28,100.29,112899934.0,96595625.0,112899934.0,2013-10-15,89.0,8.01,,,,,,,1000.0,SUR,,,,,
EQOB,2013-07-18,МТС 01,RU000A0JQ0D4,1.0,1994.2,99.71,99.71,99.71,99.71,17.45,99.71,8.29,99.71,2.0,,100.32,,0.0,50873179.9,0.0,2013-10-17,91.0,8.29,,,,,,,1000.0,SUR,,,,,
EQNB,2013-07-18,ИА АИЖК,RU000A0JQ276,3.0,1809.63,101.55,101.55,101.55,101.55,2.02,101.55,9.56,101.55,15.0,101.77,101.77,101.77,147984736.08,147983281.96,147984736.08,2041-02-20,456.0,9.56,,,,,,,118.8,SUR,,,,,
EQNB,2013-07-18,КубНива 01,RU000A0JQ4A2,1.0,12140.4,101.17,101.17,101.17,101.17,62.42,101.17,13.76,101.17,12.0,,100.22,,0.0,1620634.4,0.0,2014-02-20,204.0,13.76,,,,,,,1000.0,SUR,,,,,
EQNO,2013-07-18,Ротор 03,RU000A0JQ4E4,1.0,87325.0,124.75,124.75,124.75,124.75,99.45,124.75,-80.23,124.75,7.0,,124.79,,0.0,586529.0,0.0,2014-03-04,47.0,-80.23,,,,,,,10000.0,SUR,,,,,
