BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2012-05-24,BKTRUB_TOM,BKTRUB000TOM,35.25,35.238,35.36,35.3475,17.0,476452058.0,35.2925
CETS,2012-05-24,CNYRUB_TOD,CNY000000TOD,49.9,49.9,49.95,49.94,3.0,12536900.0,49.9478
CETS,2012-05-24,EUR_TODTOM,EUR000TODTOM,0.0059,0.0058,0.007,0.0062,297.0,48495381350.0,0.006
CNGD,2012-05-24,EUR_TODTOM,EUR000TODTOM,0.006,0.0059,0.0065,0.0065,3.0,2193072984.8,
CETS,2012-05-24,EURUSD_TOD,EURUSD000TOD,1.2573,1.2524,1.2586,1.2576,31.0,367986293.94,1.2563
CETS,2012-05-24,EURUSD_TOM,EURUSD000TOM,1.2571,1.2522,1.2595,1.2585,65.0,1296843130.01,1.2564
CNGD,2012-05-24,EURUSD_TOM,EURUSD000TOM,1.2583,1.2583,1.2583,1.2583,1.0,39485831.49,
CETS,2012-05-24,EURUSDTDTM,EURUSDTODTOM,0.0,-1e-06,3e-06,0.0,20.0,1640430158.08,0.0
CETS,2012-05-24,EURRUB_TOD,EUR_RUB__TOD,40.0887,39.699,40.0887,39.7375,1097.0,11582510839.7,39.7748
CNGD,2012-05-24,EURRUB_TOD,EUR_RUB__TOD,39.8075,39.8075,39.8075,39.8075,1.0,52227440.0,
CETS,2012-05-24,EURRUB_TOM,EUR_RUB__TOM,39.7812,39.7046,39.945,39.94,923.0,10144594297.8,39.7807
CNGD,2012-05-24,EURRUB_TOM,EUR_RUB__TOM,39.825,39.825,39.89,39.89,2.0,597700000.0,
CETS,2012-05-24,USDRUB_TOD,USD000000TOD,31.635,31.5495,31.8247,31.5851,4258.0,59946890349.4,31.6591
CNGD,2012-05-24,USDRUB_TOD,USD000000TOD,31.645,31.5702,31.76,31.6933,27.0,8215683183.2,
CETS,2012-05-24,USD_TODTOM,USD000TODTOM,0.0047,0.0046,0.0052,0.0049,559.0,146390158800.0,0.0048
CNGD,2012-05-24,USD_TODTOM,USD000TODTOM,0.0,0.0,0.0048,0.0045,9.0,2856236987.6,
CETS,2012-05-24,USDRUB_TOM,USD000UTSTOM,31.65,31.53,31.8471,31.755,17518.0,223237984475.0,31.6625
CNGD,2012-05-24,USDRUB_TOM,USD000UTSTOM,31.67,31.5675,31.805,31.68,29.0,3463570300.0,
CETS,2012-05-24,USD_TOMSPT,USDRUB_TOM1D,0.0206,0.02,0.0206,0.02,2.0,4754100000.0,0.0202
