BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2020-09-30,МГор48-об,RU000A0JNYN1,20.0,45660.2,100.61,101.79,101.78,101.66,18.25,101.47,4.95,100.65,45.0,,101.61,101.66,0.0,505999.2,0.0,2022-06-11,588.0,5.14,,,6.0,30.08,,2020-09-30,1000.0,SUR,,,,,RUB,3
TQCB,2020-09-30,РЖД-19 обл,RU000A0JQ7Z2,13.0,764834.9,106.45,106.76,106.76,106.76,16.99,106.52,5.91,106.76,718.0,106.52,106.52,106.76,764834.9,764834.9,764834.9,2024-07-08,1206.0,5.98,,,7.85,39.14,,2020-09-30,1000.0,SUR,,,,,RUB,3
TQCB,2020-09-30,ДОМ.РФ15об,RU000A0JQAM6,6.0,632625.0,115.0,115.25,115.0,115.0,2.77,115.02,-21.5,115.25,550.0,,114.85,115.0,0.0,1745700.0,0.0,2028-09-15,166.0,-21.53,,,6.75,33.47,2021-03-15,2020-09-30,1000.0,SUR,,,,,RUB,3
TQCB,2020-09-30,РЖД-23 обл,RU000A0JQRD9,10.0,195999.5,107.05,107.12,107.12,107.12,14.84,107.1,6.03,107.12,183.0,,106.98,107.12,0.0,529527.5,0.0,2025-01-16,1352.0,6.04,,,7.85,39.14,,2020-09-30,1000.0,SUR,,,,,RUB,3
TQCB,2020-09-30,ДОМ.РФ16об,RU000A0JQXG0,1.0,623.88,103.98,103.98,103.98,103.98,0.34,103.98,4.05,103.98,6.0,,102.2,103.98,0.0,4202610.77,0.0,2021-09-15,339.0,4.05,,,8.25,2.06,,2020-09-30,100.0,SUR,,,,,RUB,3
TQCB,2020-09-30,ВЭБ.РФ 08,RU000A0JR3G0,31.0,30811363.2,100.15,100.23,100.18,100.18,44.91,100.18,4.12,100.18,30756.0,100.18,100.18,100.18,30811363.2,30811363.2,30811363.2,2020-10-13,13.0,4.12,,,9.7,48.37,,2020-09-30,1000.0,SUR,,,3.7276,,RUB,3
TQCB,2020-09-30,ВЭБ.РФ 06,RU000A0JR3H8,4.0,413010.9,100.24,100.25,100.25,100.25,38.8,100.25,0.76,100.25,412.0,100.16,100.16,100.25,2275587.5,1853959.4,2275587.5,2020-10-13,13.0,0.76,,,8.38,41.79,,2020-09-30,1000.0,SUR,,,0.7009,,RUB,3
TQCB,2020-09-30,МТС 08,RU000A0JR4J2,2.0,2031.9,101.59,101.6,101.6,101.6,32.03,101.6,-8.96,101.59,2.0,,101.53,101.6,0.0,574634.8,0.0,2020-11-03,34.0,-8.96,,,7.9,39.39,,2020-09-30,1000.0,SUR,,,-9.0737,,RUB,3
TQCB,2020-09-30,ДОМ.РФ20об,RU000A0JR6S8,1.0,420.0,105.0,105.0,105.0,105.0,1.41,105.0,-14.07,105.0,1.0,,,105.0,0.0,0.0,0.0,2027-12-15,76.0,-14.07,,,8.6,8.58,2020-12-15,2020-09-30,400.0,SUR,,-13.8973,-14.7323,2020-12-15,RUB,3
TQCB,2020-09-30,Газпрнеф10,RU000A0JR878,1.0,5050.5,101.01,101.01,101.01,101.01,13.33,101.01,4.41,101.01,5.0,,101.01,101.01,0.0,1574725.2,0.0,2021-01-26,118.0,4.41,,,7.6,37.9,,2020-09-30,1000.0,SUR,,,4.3121,,RUB,3
