BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2017-07-31,BYNRUB_TOD,BYNRUB_TOD,31.15,30.79,31.15,30.79,2.0,401350.0,30.8731
CNGD,2017-07-31,CHF_TODTOM,CHFRUBTODTOM,0.0126,0.0126,0.0572,0.0572,4.0,6577039.98,
CETS,2017-07-31,CHFRUB_TOD,CHFRUB_TOD,61.96,61.89,61.96,61.94,3.0,3902100.0,61.9381
CETS,2017-07-31,CHFRUB_TOM,CHFRUB_TOM,61.83,61.78,62.2,62.165,13.0,20998545.0,61.9426
CETS,2017-07-31,CNYRUB_TOD,CNY000000TOD,8.875,8.875,8.9442,8.9442,25.0,120731747.3,8.9259
CNGD,2017-07-31,CNYRUB_TOD,CNY000000TOD,8.933,8.933,8.933,8.933,1.0,1027295.0,
CETS,2017-07-31,CNY_TODTOM,CNYRUBTODTOM,0.001693,0.001612,0.00183,0.00165,32.0,1676794358.5,0.001681
CNGD,2017-07-31,CNY_TODTOM,CNYRUBTODTOM,-0.002661,-0.002661,0.004112,0.003749,19.0,1213192.44,
CETS,2017-07-31,CNYRUB_TOM,CNYRUB_TOM,8.88,8.88,8.9611,8.8901,138.0,237374544.0,8.9205
CETS,2017-07-31,EUR_TODTOM,EUR000TODTOM,0.0182,0.0182,0.0188,0.0188,458.0,162895579560.0,0.0185
CNGD,2017-07-31,EUR_TODTOM,EUR000TODTOM,-0.0096,-0.0307,0.038,0.0297,1033.0,11491896531.99,
CETS,2017-07-31,EURUSD_TOD,EURUSD000TOD,1.1732,1.1724,1.17415,1.1729,76.0,1049541546.9,1.1732
CETS,2017-07-31,EURUSD_TOM,EURUSD000TOM,1.1733,1.1724,1.184,1.1839,365.0,2963325937.0,1.17515
CNGD,2017-07-31,EURUSD_TOM,EURUSD000TOM,1.1738,1.1738,1.1738,1.1738,1.0,174730694.2,
CETS,2017-07-31,EURUSDTDTM,EURUSDTODTOM,5.4e-05,5e-05,6e-05,5.5e-05,113.0,33339520747.97,5.7e-05
CNGD,2017-07-31,EURUSDTDTM,EURUSDTODTOM,5.7e-05,-0.000161,5.8e-05,-0.000161,18.0,13124436938.65,
CETS,2017-07-31,EURRUB_TOD,EUR_RUB__TOD,69.9025,69.9,70.7325,70.485,3683.0,18667040015.0,70.4297
CNGD,2017-07-31,EURRUB_TOD,EUR_RUB__TOD,70.345,69.5,70.99,70.83,58.0,224558509.83,
CETS,2017-07-31,EURRUB_TOM,EUR_RUB__TOM,69.975,69.975,71.035,70.75,5082.0,20101479525.0,70.5741
CNGD,2017-07-31,EURRUB_TOM,EUR_RUB__TOM,69.5,69.5,70.75,70.54,6.0,656842315.0,
CETS,2017-07-31,GBP_TODTOM,GBPRUBTODTOM,0.0183,0.018,0.0192,0.0192,7.0,156144170.0,0.0187
CNGD,2017-07-31,GBP_TODTOM,GBPRUBTODTOM,0.0364,-0.0299,0.0423,0.0331,41.0,30237247.17,
CETS,2017-07-31,GBPRUB_TOD,GBPRUB_TOD,78.5475,78.5475,79.0375,78.8725,29.0,102586297.5,78.7308
CETS,2017-07-31,GBPRUB_TOM,GBPRUB_TOM,78.4225,78.4225,79.34,79.0,67.0,153594225.0,78.7663
CETS,2017-07-31,GLDRUB_TOM,GLDRUB_TOM,2430.0,2430.0,2449.5,2440.0,9.0,5883500.0,2441.29
CNGD,2017-07-31,GLD_TOMSPT,GLDRUB_TOM1D,0.3787,0.3787,0.3787,0.3787,1.0,230329373.48,
CETS,2017-07-31,KZTRUB_TOD,KZT000000TOM,18.3,18.3,18.3,18.3,1.0,10980.0,18.3
CETS,2017-07-31,SLVRUB_TOM,SLVRUB_TOM,32.34,32.34,32.59,32.59,2.0,827929.0,32.34
CETS,2017-07-31,USDRUB_TOD,USD000000TOD,59.66,59.58,60.3325,60.16,20743.0,99561276560.0,60.0636
CNGD,2017-07-31,USDRUB_TOD,USD000000TOD,59.765,59.4975,60.345,59.8,459.0,5070679827.89,
CETS,2017-07-31,USD_TODTOM,USD000TODTOM,0.0126,0.0125,0.0131,0.0131,1076.0,616554645370.0,0.0129
CNGD,2017-07-31,USD_TODTOM,USD000TODTOM,0.0253,-0.0261,0.0323,0.0253,5464.0,194512962763.29,
CETS,2017-07-31,USDRUB_TOM,USD000UTSTOM,59.64,59.6,60.3475,59.78,38412.0,223450605320.0,60.0724
CNGD,2017-07-31,USDRUB_TOM,USD000UTSTOM,59.7201,59.4975,60.155,60.14,27.0,2553940900.3,
CNGD,2017-07-31,USDRUB_LTV,USDRUB_FWD,61.15,61.15,61.25,61.25,2.0,18360000.0,
