1517184000000,15.0
1517529600000,15.0
1526342400000,14.165
1526601600000,13.98
1527033600000,12.94
1527206400000,13.06
1527638400000,13.9
1527811200000,13.71
1528243200000,13.5
1528416000000,13.95
1529452800000,13.42
1529625600000,13.42
1529971200000,13.38
1530230400000,13.82
1531872000000,13.135
1532390400000,13.27
1532649600000,13.05
1533081600000,12.74
1533513600000,12.46
1533772800000,12.27
1534291200000,10.93
1534377600000,11.64
1534464000000,11.61
1535500800000,10.82
1535673600000,10.53
1536019200000,10.36
1536105600000,10.31
1536192000000,10.42
1536278400000,10.61
1536537600000,10.9
1536710400000,10.92
1536883200000,11.4
1537228800000,10.8
1537315200000,10.68
1537488000000,10.71
1537920000000,10.85
1538352000000,10.96
1538438400000,11.0
1538524800000,10.92
1538611200000,10.965
1539043200000,10.9275
1539216000000,11.195
1539302400000,11.2225
1539648000000,11.3425
1539734400000,11.53
1539820800000,11.795
1539907200000,11.79
1540252800000,11.375
1540339200000,11.4375
1540425600000,11.53
1540512000000,11.71
1540944000000,11.95
1541030400000,11.82
1541116800000,12.13
1541462400000,12.4075
1541635200000,12.3475
1541721600000,12.3025
1542067200000,12.45
1542153600000,12.505
1542240000000,12.315
1542326400000,12.37
1542585600000,12.405
1542672000000,12.4
1542844800000,12.425
1543190400000,12.65
1543363200000,12.77
1543449600000,12.9325
1543795200000,12.9
1543881600000,12.73
1544140800000,12.595
1544400000000,12.58
1544486400000,12.5675
1544572800000,12.4
1544659200000,12.4175
1545091200000,12.4975
1545264000000,12.79
1545609600000,13.0
1545782400000,13.08
1545868800000,13.04
1545955200000,13.34
1546992000000,12.29
1547078400000,12.25
1547164800000,12.4
1547424000000,12.21
1547596800000,12.41
1547769600000,12.47
1548028800000,12.49
1548115200000,12.51
1548201600000,12.49
1548288000000,12.55
1548374400000,12.55
1548633600000,12.56
1548720000000,12.45
1548806400000,12.5
1548892800000,12.59
1548979200000,12.67
1549238400000,12.59
1549324800000,12.64
1549411200000,12.66
1549584000000,12.63
1549843200000,12.57
1549929600000,12.52
1550016000000,12.59
1550102400000,12.64
1550188800000,12.69
1550534400000,12.52
1550707200000,12.38
1550793600000,12.38
1551052800000,12.33
1551139200000,12.42
1551312000000,12.43
1551657600000,12.28
1551830400000,12.27
1551916800000,12.21
1552435200000,12.07
1552608000000,12.03
1552867200000,11.89
1552953600000,11.82
1553126400000,11.76
1553472000000,11.52
1553558400000,11.68
1553731200000,12.36
1554336000000,11.78
1554422400000,11.81
1554681600000,11.74
1554854400000,11.55
1554940800000,11.46
1555027200000,11.32
1555372800000,11.18
1555459200000,11.3
1555545600000,11.17
1556064000000,10.98
1556236800000,11.0
1556496000000,10.99
1557100800000,10.98
1557187200000,10.66
1557273600000,10.71
1557705600000,10.88
1557878400000,10.81
1557964800000,10.84
1558051200000,10.77
1558396800000,10.73
1558483200000,10.72
1558569600000,10.6
1558656000000,10.7
1559001600000,10.71
1559088000000,10.83
1559174400000,10.97
1559260800000,11.2
1559865600000,11.24
1560211200000,11.27
1560729600000,11.0
1560816000000,11.06
1560902400000,10.84
1560988800000,11.16
1561334400000,11.1
1562198400000,11.4
1562544000000,11.2
1562630400000,11.22
1562716800000,11.23
1562803200000,11.21
1563235200000,11.08
1563321600000,11.14
1563408000000,11.15
1563753600000,11.22
1563840000000,11.2
1563926400000,11.15
1564444800000,11.43
1564531200000,11.57
1564617600000,11.5
1565049600000,11.88
1565136000000,11.94
1565222400000,11.99
1565827200000,11.94
1566259200000,11.9
1566345600000,11.68
1566432000000,11.55
1566777600000,11.47
1566864000000,11.44
1566950400000,11.53
1567036800000,11.59
1567468800000,11.62
1567555200000,11.8
1567641600000,11.75
1567987200000,11.6
1568073600000,11.46
1568160000000,11.4
1568246400000,11.44
1568592000000,11.23
1568678400000,11.31
1568764800000,11.43
1568851200000,11.38
1569283200000,11.28
1569369600000,11.31
1569456000000,11.38
1569974400000,11.475
1570060800000,11.545
1570406400000,11.35
1570492800000,11.24
1570579200000,11.255
1570665600000,11.105
1571011200000,10.955
1571184000000,10.97
1571270400000,10.94
1571616000000,11.04
1571788800000,11.1
1571875200000,11.18
1572393600000,11.155
1572480000000,11.2425
1572998400000,11.1075
1573430400000,11.15
1573516800000,11.125
1573603200000,11.205
1573689600000,11.225
1574121600000,11.21
1574208000000,11.255
1574294400000,11.27
1574640000000,11.255
1574726400000,11.2275
1574812800000,11.17
1574899200000,11.1625
1575244800000,11.2875
1575331200000,11.23
1575417600000,11.24
1575504000000,11.185
1575849600000,11.0675
1575936000000,11.0125
1576022400000,11.03
1576108800000,10.9775
1576454400000,10.82
1576627200000,10.6575
1576713600000,10.6325
1577059200000,10.5775
1577145600000,10.5425
1577318400000,10.48
1578528000000,10.42
1578960000000,10.4925
1579046400000,10.51
1579132800000,10.5275
1579478400000,10.49
1579564800000,10.485
1579651200000,10.4925
1579737600000,10.535
1580083200000,10.56
1580169600000,10.645
1580256000000,10.565
1580342400000,10.615
1580688000000,10.735
1580774400000,10.695
1580860800000,10.63
1580947200000,10.5675
1581292800000,10.715
1581465600000,10.56
1581552000000,10.58
1581897600000,10.5525
1581984000000,10.5925
1582070400000,10.57
1582156800000,10.54
1582588800000,10.705
1582675200000,10.7425
1582761600000,10.71
1583107200000,10.765
1583193600000,10.805
1583798400000,11.8
1583884800000,11.735
1583971200000,11.955
1584057600000,11.7775
1584316800000,11.7325
1584403200000,11.58
1584489600000,12.0025
1584576000000,12.44
1584921600000,12.35
1585094400000,12.275
1585180800000,12.295
1586217600000,11.2925
1586736000000,10.915
