BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,2007-04-20,Индекс МосБиржи,Индекс МосБиржи,1743.34,1692.32,1743.97,1692.05,39298490157.57,,,2,,RUB,
RTSI,MCFTR,2007-04-20,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,1795.0,1795.0,1795.0,1795.0,0.0,,,2,0.0,,
RTSI,MCFTRN,2007-04-20,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),1787.17,1787.17,1787.17,1787.17,0.0,,,2,0.0,,
RTSI,MCFTRR,2007-04-20,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),1790.3,1790.3,1790.3,1790.3,0.0,,,2,0.0,,
SNDX,MICEX10INDEX,2007-04-20,Индекс МосБиржи 10,Индекс МосБиржи 10,3459.57,3341.97,3460.69,3341.97,20771198927.22,,,2,,RUB,
SNDX,MICEXBNDPRCI,2007-04-20,RCBI,RCBI,100.61,100.65,100.65,99.71,369770067.6,,,2,,RUB,
SNDX,MICEXBNDTRTI,2007-04-20,RCBIc,RCBI-c,148.4,,,,369770067.6,,,2,,RUB,
SNDX,MICEXBORR1W,2007-04-20,MCX BO 1W,ММВБ РЕПО обл 7 дней,4.77,,,,4292424685.64,,,2,,RUB,
SNDX,MICEXBORR2W,2007-04-20,MCX BO 2W,ММВБ РЕПО обл 14 дней,5.01,,,,3899222924.01,,,2,,RUB,
SNDX,MICEXBORRON,2007-04-20,MCX BO ON,ММВБ РЕПО обл 1 день,4.59,,,,11215456796.15,,,2,,RUB,
SNDX,MICEXCBICP,2007-04-20,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,100.61,100.65,100.65,99.71,369770067.6,,,2,,RUB,
SNDX,MICEXCBICP3Y,2007-04-20,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,102.11,102.13,102.13,102.1,2542085365.9,653,7.47,2,,RUB,
SNDX,MICEXCBICP5Y,2007-04-20,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,103.39,103.38,103.41,103.37,3309698515.8,1272,7.4,2,,RUB,
SNDX,MICEXCBIGP3Y,2007-04-20,ММВБ корп обл (вал) 1-3,ММВБ корп обл (вал) 1-3,103.77,103.76,103.79,103.76,2542085365.9,653,7.47,2,,RUB,
SNDX,MICEXCBIGP5Y,2007-04-20,ММВБ корп обл (вал) 3-5,ММВБ корп обл (вал) 3-5,105.48,105.47,105.5,105.47,3309698515.8,1272,7.4,2,,RUB,
SNDX,MICEXCBITR,2007-04-20,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,148.4,,,,369770067.6,,,2,,RUB,
SNDX,MICEXCBITR3Y,2007-04-20,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,148.6,148.59,148.62,148.58,2542085365.9,653,7.47,2,,RUB,
SNDX,MICEXCBITR5Y,2007-04-20,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,150.94,150.92,150.97,150.91,3309698515.8,1272,7.4,2,,RUB,
SNDX,MICEXCGS,2007-04-20,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,3431.28,3403.75,3434.0,3388.14,33439742.59,,,2,,RUB,
SNDX,MICEXCHM,2007-04-20,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,2791.15,2775.1,2794.62,2775.1,1638855.7,,,2,,RUB,
SNDX,MICEXEQRR1W,2007-04-20,MCX EQ 1W,ММВБ РЕПО акц 7 дней,5.69,,,,8610724873.6,,,2,,RUB,
SNDX,MICEXEQRR2W,2007-04-20,MCX EQ 2W,ММВБ РЕПО акц 14 дней,6.19,,,,6919869086.03,,,2,,RUB,
SNDX,MICEXEQRRON,2007-04-20,MCX EQ ON,ММВБ РЕПО акц 1 день,5.04,,,,7962921537.95,,,2,,RUB,
SNDX,MICEXFNL,2007-04-20,Индекс финансов,Индекс МосБиржи финансов,7421.84,7244.58,7444.81,7244.58,5781052494.51,,,2,,RUB,
SNDX,MICEXINDEXCF,2007-04-20,Индекс МосБиржи (архив),Индекс МосБиржи (архив),1743.34,1692.32,1743.97,1692.05,39298490157.57,,,2,,RUB,
SNDX,MICEXLC,2007-04-20,MICEX LC,ММВБ высокая кап,2864.02,2775.7,2865.49,2775.7,33102756855.01,,,2,,RUB,
SNDX,MICEXM&M,2007-04-20,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,3036.11,2997.62,3050.18,2997.53,5695190762.11,,,2,,RUB,
SNDX,MICEXMBICP,2007-04-20,Индекс Мосбиржи мун обл MOEX MBICP,Индекс Мосбиржи муниципальных облигаций ценовой,98.28,98.26,98.28,98.26,462191848.75,1103,6.83,2,,RUB,
SNDX,MICEXMBIGP,2007-04-20,MICEXMBIGP,ММВБ муни обл (вал),100.41,100.39,100.41,100.39,462191848.75,1103,6.83,2,,RUB,
SNDX,MICEXMBITR,2007-04-20,Индекс Мосбиржи мун обл MBITR,Индекс Мосбиржи муниципальных облигаций,107.33,107.31,107.33,107.31,462191848.75,1103,6.83,2,,RUB,
SNDX,MICEXMC,2007-04-20,MICEX MC,ММВБ стандарт кап,2938.2,2881.63,2938.68,2881.06,2886205822.25,,,2,,RUB,
SNDX,MICEXMNF,2007-04-20,Машиностроение,Индекс машиностроения Московской Биржи,2377.76,2371.98,2387.19,2367.23,26816190.33,,,2,,RUB,
SNDX,MICEXO&G,2007-04-20,Индекс нефти и газа,Индекс МосБиржи нефти и газа,2539.25,2464.52,2539.68,2464.13,13564589194.89,,,2,,RUB,
SNDX,MICEXPWR,2007-04-20,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,3920.57,3864.52,3926.34,3864.46,12989969813.3,,,2,,RUB,
SNDX,MICEXSC,2007-04-20,Второй эшелон,Индекс второго эшелона Московской Биржи,4843.02,4793.49,4843.99,4793.49,344540560.44,,,2,,RUB,
SNDX,MICEXTLC,2007-04-20,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,2595.43,2520.47,2595.61,2520.47,1569084330.06,,,2,,RUB,
SNDX,MOEX10,2007-04-20,Индекс МосБиржи 10,Индекс МосБиржи 10,3459.57,3341.97,3460.69,3341.97,20771198927.22,,,2,,RUB,
SNDX,MOEXCH,2007-04-20,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,2791.15,2775.1,2794.62,2775.1,1638855.7,,,2,,RUB,
SNDX,MOEXCN,2007-04-20,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,3431.28,3403.75,3434.0,3388.14,33439742.59,,,2,,RUB,
SNDX,MOEXEU,2007-04-20,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,3920.57,3864.52,3926.34,3864.46,12989969813.3,,,2,,RUB,
SNDX,MOEXFN,2007-04-20,Индекс финансов,Индекс МосБиржи финансов,7421.84,7244.58,7444.81,7244.58,5781052494.51,,,2,,RUB,
SNDX,MOEXMM,2007-04-20,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,3036.11,2997.62,3050.18,2997.53,5695190762.11,,,2,,RUB,
SNDX,MOEXOG,2007-04-20,Индекс нефти и газа,Индекс МосБиржи нефти и газа,2539.25,2464.52,2539.68,2464.13,13564589194.89,,,2,,RUB,
SNDX,MOEXTL,2007-04-20,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,2595.43,2520.47,2595.61,2520.47,1569084330.06,,,2,,RUB,
RTSI,RTS2,2007-04-20,Второй эшелон в $,Индекс второго эшелона Московской Биржи в долларах,2079.82,2072.57,2079.98,2072.2,4147608.0,,,2,30143811482.4937,USD,
RTSI,RTSch,2007-04-20,Индекс РТС химии и нефтехимии,Индекс РТС химии и нефтехимии,77.89,77.45,77.99,77.45,63606.1004,,,2,0.0,USD,
RTSI,RTScr,2007-04-20,Индекс РТС потреб. сектора,Индекс РТС потребительских товаров и розничной торговли,326.68,326.63,326.7,326.22,263800.0,,,2,4213617777.3572,USD,
RTSI,RTSeu,2007-04-20,Индекс РТС электроэнергетики,Индекс РТС электроэнергетики,453.92,453.92,453.92,453.92,0.0,,,2,7588723527.2056,USD,
RTSI,RTSfn,2007-04-20,Индекс РТС финансов,Индекс РТС финансов,800.4,800.4,800.4,800.4,0.0,,,2,35484630501.8662,USD,
RTSI,RTSI,2007-04-20,Индекс РТС,Индекс РТС,1971.66,1929.28,1974.31,1929.28,51069931.0,,,2,183550453234.175,USD,
RTSI,RTSin,2007-04-20,Машиностроение в $,Индекс машиностроения Московской Биржи в долларах,271.02,270.8,271.08,270.8,143158.0,,,2,2558860765.0721,USD,
RTSI,RTSmm,2007-04-20,Индекс РТС металлов и добычи,Индекс РТС металлов и добычи,273.8,271.21,273.84,271.21,7683700.0,,,2,14618357880.27,USD,
RTSI,RTSog,2007-04-20,Индекс РТС нефти и газа,Индекс РТС нефти и газа,253.66,247.31,254.28,247.31,18276132.0,,,2,84227249252.4059,USD,
RTSI,RTStl,2007-04-20,Индекс РТС телекоммуникаций,Индекс РТС телекоммуникаций ,284.59,279.42,284.59,279.42,3220468.0,,,2,8050712608.1268,USD,
RTSI,RTSTR,2007-04-20,RTS Total Return,Индекс РТС полной доходности «брутто»,2040.66,2040.66,2040.66,2040.66,0.0,,,2,183550453234.1754,USD,
RTSI,RTSTRN,2007-04-20,RTS Net-TR-NR,Индекс РТС полной доходности «нетто» (по налоговым ставкам иностранных организаций),2030.17,2030.17,2030.17,2030.17,0.0,,,2,183550453234.1754,USD,
RTSI,RTSTRR,2007-04-20,RTS Net-TR-Res,Индекс РТС полной доходности «нетто» (по налоговым ставкам российских организаций),2034.36,2034.36,2034.36,2034.36,0.0,,,2,183550453234.1754,USD,
RTSI,RTSUSDCUR,2007-04-20,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,25.7657,25.7657,25.7657,25.7657,,,,2,,RUB,
SNDX,RUCBCP3Y,2007-04-20,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,102.11,102.13,102.13,102.1,2542085365.9,653,7.47,2,,RUB,
SNDX,RUCBCP5Y,2007-04-20,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,103.39,103.38,103.41,103.37,3309698515.8,1272,7.4,2,,RUB,
SNDX,RUCBICP,2007-04-20,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,100.61,100.65,100.65,99.71,369770067.6,,,2,,RUB,
SNDX,RUCBITR,2007-04-20,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,148.4,,,,369770067.6,,,2,,RUB,
SNDX,RUCBTR3Y,2007-04-20,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,148.6,148.59,148.62,148.58,2542085365.9,653,7.47,2,,RUB,
SNDX,RUCBTR5Y,2007-04-20,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,150.94,150.92,150.97,150.91,3309698515.8,1272,7.4,2,,RUB,
SNDX,RUMBICP,2007-04-20,Индекс Мосбиржи мун обл MOEX MBICP,Индекс Мосбиржи муниципальных облигаций ценовой,98.28,98.26,98.28,98.26,462191848.75,1103,6.83,2,,RUB,
SNDX,RUMBITR,2007-04-20,Индекс Мосбиржи мун обл MBITR,Индекс Мосбиржи муниципальных облигаций,107.33,107.31,107.33,107.31,462191848.75,1103,6.83,2,,RUB,
SNDX,TECHIND,2007-04-20,Технический индекс акций,Технический индекс акций,2562.33,2547.47,2562.33,2508.33,32529075037.0,,,2,,RUB,
SNDX,TECHINDBOND,2007-04-20,Технический индекс облигаций,Технический индекс облигаций,100.06,100.01,100.06,100.01,105910867.0,,,2,,RUB,
