BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
EQOB,2018-07-20,МГор48-об,RU000A0JNYN1,17.0,8177055.2,94.29,95.69,94.9,94.91,6.41,94.91,7.67,94.85,8616.0,94.91,94.91,94.91,8177055.2,8177055.2,8177055.2,2022-06-11,1277.0,7.67,,,,30.08,,2018-07-20,1000.0,SUR,,,,,RUB
EQOB,2018-07-20,Газпрнефт4,RU000A0JQ557,13.0,117922.0,94.49,95.5,95.47,95.46,0.28,95.1,6.75,95.0,124.0,,94.8,95.46,0.0,502445.1,0.0,2019-04-09,263.0,7.33,,,,0.5,,2018-07-20,1000.0,SUR,,,,,RUB
EQOB,2018-07-20,РЖД-12обл,RU000A0JQ5Q5,1.0,961.0,96.1,96.1,96.1,96.1,0.18,96.1,5.06,96.1,1.0,,92.99,96.1,0.0,503099.3,0.0,2019-05-16,300.0,5.06,,,,0.5,,2018-07-20,1000.0,SUR,,,,,RUB
EQOB,2018-07-20,Транснф 03,RU000A0JQCR1,1.0,274300.0,105.5,105.5,105.5,105.5,100.03,105.5,6.92,105.5,260.0,105.5,105.5,105.5,53112159.4,53112159.4,53112159.4,2019-09-18,388.0,6.92,,,,120.17,,2018-07-20,1000.0,SUR,,,,,RUB
EQOB,2018-07-20,РСХБ 8,RU000A0JQK64,3.0,2973.6,99.12,99.12,99.12,99.12,12.27,99.12,7.85,99.12,3.0,,99.08,99.12,0.0,574638.9,0.0,2019-11-14,464.0,7.85,,,,34.9,,2018-07-20,1000.0,SUR,,,,,RUB
EQOB,2018-07-20,РСХБ 11,RU000A0JQS74,1.0,1012.0,101.2,101.2,101.2,101.2,38.43,101.2,7.59,101.2,1.0,,101.09,101.2,0.0,504461.9,0.0,2020-01-30,517.0,7.59,,,,41.39,,2018-07-20,1000.0,SUR,,,,,RUB
EQOB,2018-07-20,СУЭК-Фин01,RU000A0JQXR7,3.0,5053.2,73.01,97.16,82.49,82.49,0.01,84.22,10.46,97.16,6.0,,99.59,82.49,0.0,12348381.8,0.0,2020-06-26,707.0,9.28,,,,0.05,,2018-07-20,1000.0,SUR,,,,,RUB
EQOB,2018-07-20,Мечел 14об,RU000A0JR0J0,28.0,585505.97,99.98,100.24,100.18,100.18,33.6,100.17,12.15,100.05,835.0,100.17,100.17,100.18,585505.97,585505.97,585505.97,2020-02-25,174.0,12.18,,,,42.76,2019-02-26,2018-07-20,700.0,SUR,,,,,RUB
EQOB,2018-07-20,Мечел 13об,RU000A0JR0K8,41.0,842854.81,99.94,100.47,100.16,100.16,33.6,100.26,12.2,100.37,1201.0,100.26,100.26,100.16,842854.81,842854.81,842854.81,2020-02-25,174.0,11.97,,,,42.76,2019-02-26,2018-07-20,700.0,SUR,,,,,RUB
EQOB,2018-07-20,ВЭБ.РФ 06,RU000A0JR3H8,6.0,17764560.0,101.4,101.5,101.5,101.5,21.58,101.49,7.77,101.5,17504.0,,101.63,101.5,0.0,27825162.8,0.0,2020-10-13,747.0,7.78,,,,41.79,,2018-07-20,1000.0,SUR,,,,,RUB
EQOB,2018-07-20,МТС 08,RU000A0JR4J2,3.0,9972.5,99.55,100.48,100.37,100.37,15.0,99.73,6.28,100.48,10.0,,99.8,100.37,0.0,515990.4,0.0,2020-11-03,109.0,8.55,,,,37.4,2018-11-06,2018-07-20,1000.0,SUR,,6.1681,,2018-11-08,RUB
