BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
RTSI,BPSI,2009-11-11,Субиндекс облигаций,Индексы активов пенсионных накоплений - Субиндекс облигаций,1177.0072,1177.0072,1177.0072,1177.0072,0.0,,,2,512826800969.515,RUB,0.001
RTSI,EPSI,2009-11-11,Субиндекс акций,Индексы активов пенсионных накоплений - Субиндекс акций,633.2338,633.2338,633.2338,633.2338,0.0,,,2,183574370397.746,RUB,999999.999999
SNDX,IMOEX,2009-11-11,Индекс МосБиржи,Индекс МосБиржи,1316.19,1322.8,1338.22,1315.39,52868329347.0,,,2,,RUB,
RTSI,MCFTR,2009-11-11,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,1416.13,1416.13,1416.13,1416.13,0.0,,,2,0.0,,
RTSI,MCFTRN,2009-11-11,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),1400.71,1400.71,1400.71,1400.71,0.0,,,2,0.0,,
RTSI,MCFTRR,2009-11-11,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),1406.86,1406.86,1406.86,1406.86,0.0,,,2,0.0,,
RTSI,MEBCTR,2009-11-11,MOEX Blue Chip Total Return,Индекс МосБиржи голубых фишек полной доходности «брутто»,9157.14,9157.14,9157.14,9157.14,0.0,,,2,0.0,RUB,
RTSI,MEBCTRN,2009-11-11,MOEX Blue Chip Net-TR-NR,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам иностр. орг.),9153.71,9153.71,9153.71,9153.71,0.0,,,2,0.0,RUB,
RTSI,MEBCTRR,2009-11-11,MOEX Blue Chip Net-TR-Res,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам росс. орг.),9155.08,9155.08,9155.08,9155.08,0.0,,,2,0.0,RUB,
SNDX,MICEX10INDEX,2009-11-11,Индекс МосБиржи 10,Индекс МосБиржи 10,2870.58,2898.49,2928.13,2866.77,48032358768.0,,,2,,RUB,
SNDX,MICEXBORR1W,2009-11-11,MCX BO 1W,ММВБ РЕПО обл 7 дней,6.42,,,,924278462.58,,,2,,RUB,
SNDX,MICEXBORR2W,2009-11-11,MCX BO 2W,ММВБ РЕПО обл 14 дней,6.05,,,,0.0,,,2,,RUB,
SNDX,MICEXBORRON,2009-11-11,MCX BO ON,ММВБ РЕПО обл 1 день,5.67,,,,44533592841.12,,,2,,RUB,
SNDX,MICEXCBICP,2009-11-11,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,90.96,90.86,90.96,90.84,4737876493.0,692,10.11,2,,RUB,
SNDX,MICEXCBICP3Y,2009-11-11,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,93.9,93.81,93.9,93.78,2709381188.0,513,9.98,2,,RUB,
SNDX,MICEXCBICP5Y,2009-11-11,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,103.4,103.27,103.4,103.27,2027770649.0,977,10.44,2,,RUB,
SNDX,MICEXCBIGP,2009-11-11,ММВБ корп обл (вал),ММВБ корп обл (вал),93.77,93.68,93.77,93.65,4737876493.0,692,10.11,2,,RUB,
SNDX,MICEXCBIGP3Y,2009-11-11,ММВБ корп обл (вал) 1-3,ММВБ корп обл (вал) 1-3,96.88,96.79,96.88,96.76,2709381188.0,513,9.98,2,,RUB,
SNDX,MICEXCBIGP5Y,2009-11-11,ММВБ корп обл (вал) 3-5,ММВБ корп обл (вал) 3-5,106.52,106.36,106.52,106.36,2027770649.0,977,10.44,2,,RUB,
SNDX,MICEXCBITR,2009-11-11,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,167.25,167.08,167.25,167.05,4737876493.0,692,10.11,2,,RUB,
SNDX,MICEXCBITR3Y,2009-11-11,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,169.72,169.57,169.72,169.51,2709381188.0,513,9.98,2,,RUB,
SNDX,MICEXCBITR5Y,2009-11-11,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,186.64,186.35,186.64,186.35,2027770649.0,977,10.44,2,,RUB,
SNDX,MICEXCGS,2009-11-11,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,2966.8,2921.82,2981.58,2921.12,155707712.06,,,2,,RUB,
SNDX,MICEXCHM,2009-11-11,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,4260.21,4272.7,4291.43,4250.71,155884046.39,,,2,,RUB,
SNDX,MICEXEQRR1W,2009-11-11,MCX EQ 1W,ММВБ РЕПО акц 7 дней,4.04,,,,0.0,,,2,,RUB,
SNDX,MICEXEQRR2W,2009-11-11,MCX EQ 2W,ММВБ РЕПО акц 14 дней,9.87,,,,0.0,,,2,,RUB,
SNDX,MICEXEQRRON,2009-11-11,MCX EQ ON,ММВБ РЕПО акц 1 день,5.19,,,,31133312244.08,,,2,,RUB,
SNDX,MICEXFNL,2009-11-11,Индекс финансов,Индекс МосБиржи финансов,4642.5,4701.43,4745.15,4641.66,22662501778.0,,,2,,RUB,
SNDX,MICEXINDEXCF,2009-11-11,Индекс МосБиржи (архив),Индекс МосБиржи (архив),1316.19,1322.8,1338.22,1315.39,52868329347.0,,,2,,RUB,
SNDX,MICEXLC,2009-11-11,MICEX LC,ММВБ высокая кап,2159.03,2173.41,2197.72,2157.65,45965176127.0,,,2,,RUB,
SNDX,MICEXM&M,2009-11-11,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,3505.89,3491.08,3537.09,3482.84,4140992845.0,,,2,,RUB,
SNDX,MICEXMBICP,2009-11-11,Индекс Мосбиржи мун обл MOEX MBICP,Индекс Мосбиржи муниципальных облигаций ценовой,93.34,93.24,93.34,93.23,2426039122.0,786,11.75,2,,RUB,
SNDX,MICEXMBIGP,2009-11-11,MICEXMBIGP,ММВБ муни обл (вал),96.09,95.98,96.09,95.98,2426039122.0,786,11.75,2,,RUB,
SNDX,MICEXMBITR,2009-11-11,Индекс Мосбиржи мун обл MBITR,Индекс Мосбиржи муниципальных облигаций,124.91,124.78,124.91,124.77,2426039122.0,786,11.75,2,,RUB,
SNDX,MICEXMC,2009-11-11,MICEX MC,ММВБ стандарт кап,1908.19,1887.41,1919.31,1886.37,2393728227.0,,,2,,RUB,
SNDX,MICEXMNF,2009-11-11,Машиностроение,Индекс машиностроения Московской Биржи,1597.86,1608.2,1623.98,1593.7,70316773.0,,,2,,RUB,
SNDX,MICEXO&G,2009-11-11,Индекс нефти и газа,Индекс МосБиржи нефти и газа,2446.1,2476.64,2504.36,2445.37,23081153064.0,,,2,,RUB,
SNDX,MICEXPWR,2009-11-11,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,2312.21,2274.02,2337.96,2271.91,2452835331.0,,,2,,RUB,
SNDX,MICEXSC,2009-11-11,Второй эшелон,Индекс второго эшелона Московской Биржи,3287.98,3270.6,3299.4,3267.27,605860497.0,,,2,,RUB,
SNDX,MICEXTLC,2009-11-11,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,1621.7,1576.64,1623.93,1576.37,1962054521.0,,,2,,RUB,
SNDX,MICEXTRN,2009-11-11,Индекс транспорта,Индекс МосБиржи транспорта,1369.15,1369.15,1369.15,1369.15,9741252.4,,,2,,RUB,
SNDX,MOEX10,2009-11-11,Индекс МосБиржи 10,Индекс МосБиржи 10,2870.58,2898.49,2928.13,2866.77,48032358768.0,,,2,,RUB,
RTSI,MOEXBC,2009-11-11,Индекс голубых фишек,Индекс МосБиржи голубых фишек,9134.3,9190.42,9290.42,9134.3,11897328306.03,,,2,3074406802884.18,RUB,999999.999999
SNDX,MOEXCH,2009-11-11,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,4260.21,4272.7,4291.43,4250.71,155884046.39,,,2,,RUB,
SNDX,MOEXCN,2009-11-11,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,2966.8,2921.82,2981.58,2921.12,155707712.06,,,2,,RUB,
SNDX,MOEXEU,2009-11-11,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,2312.21,2274.02,2337.96,2271.91,2452835331.0,,,2,,RUB,
SNDX,MOEXFN,2009-11-11,Индекс финансов,Индекс МосБиржи финансов,4642.5,4701.43,4745.15,4641.66,22662501778.0,,,2,,RUB,
SNDX,MOEXMM,2009-11-11,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,3505.89,3491.08,3537.09,3482.84,4140992845.0,,,2,,RUB,
SNDX,MOEXOG,2009-11-11,Индекс нефти и газа,Индекс МосБиржи нефти и газа,2446.1,2476.64,2504.36,2445.37,23081153064.0,,,2,,RUB,
SNDX,MOEXTL,2009-11-11,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,1621.7,1576.64,1623.93,1576.37,1962054521.0,,,2,,RUB,
SNDX,MOEXTN,2009-11-11,Индекс транспорта,Индекс МосБиржи транспорта,1369.15,1369.15,1369.15,1369.15,9741252.4,,,2,,RUB,
RTSI,OPSI,2009-11-11,Субиндекс ОФЗ,Индексы активов пенсионных накоплений - Субиндекс ОФЗ,1007.6217,1007.6217,1007.6217,1007.6217,0.0,,,2,0.0,RUB,
RTSI,RTS2,2009-11-11,Второй эшелон в $,Индекс второго эшелона Московской Биржи в долларах,1348.81,1331.45,1354.36,1331.45,4921149.4124,,,2,16212326057.6124,USD,999999.999999
RTSI,RTSch,2009-11-11,Индекс РТС химии и нефтехимии,Индекс РТС химии и нефтехимии,132.23,132.62,133.2,131.94,5439535.9831,,,2,0.0,USD,
RTSI,RTScr,2009-11-11,Индекс РТС потреб. сектора,Индекс РТС потребительских товаров и розничной торговли,225.38,220.51,225.65,220.51,2154970.0,,,2,1732521126.2235,USD,999999.999999
RTSI,RTSeu,2009-11-11,Индекс РТС электроэнергетики,Индекс РТС электроэнергетики,210.32,202.92,211.12,202.92,5016210.7765,,,2,10131160951.0629,USD,999999.999999
RTSI,RTSfn,2009-11-11,Индекс РТС финансов,Индекс РТС финансов,363.76,365.8,369.94,363.76,185745177.9876,,,2,2243603835.9751,USD,999999.999999
RTSI,RTSI,2009-11-11,Индекс РТС,Индекс РТС,1434.45,1436.54,1455.0,1430.7,422199232.3672,,,2,127344858216.702,USD,999999.999999
RTSI,RTSin,2009-11-11,Машиностроение в $,Индекс машиностроения Московской Биржи в долларах,133.49,133.49,133.49,133.49,0.0,,,2,851278553.1496,USD,999999.999999
RTSI,RTSmm,2009-11-11,Индекс РТС металлов и добычи,Индекс РТС металлов и добычи,234.74,232.61,236.29,232.51,18265040.1361,,,2,11791411576.5078,USD,999999.999999
RTSI,RTSog,2009-11-11,Индекс РТС нефти и газа,Индекс РТС нефти и газа,191.3,192.55,195.24,190.92,210988831.7191,,,2,64832732025.182,USD,999999.999999
RTSI,RTSSIB,2009-11-11,Индекс ММВБ Сибирь,Индекс ММВБ Сибирь,694.63,694.63,694.63,694.63,480371481.29,,,2,59869107066.0497,RUB,
RTSI,RTSSTD,2009-11-11,Индекс МосБиржи голубых фишек,Индекс МосБиржи голубых фишек,9134.3,9190.42,9290.42,9134.3,11897328306.03,,,2,3074406802884.18,RUB,999999.999999
RTSI,RTSSTDTR,2009-11-11,MOEX Blue Chip Total Return,Индекс МосБиржи голубых фишек полной доходности «брутто»,9157.14,9157.14,9157.14,9157.14,0.0,,,2,0.0,RUB,
RTSI,RTSSTDTRN,2009-11-11,MOEX Blue Chip Net-TR-NR,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам иностр. орг.),9153.71,9153.71,9153.71,9153.71,0.0,,,2,0.0,RUB,
RTSI,RTSSTDTRR,2009-11-11,MOEX Blue Chip Net-TR-Res,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам росс. орг.),9155.08,9155.08,9155.08,9155.08,0.0,,,2,0.0,RUB,
RTSI,RTStl,2009-11-11,Индекс РТС телекоммуникаций,Индекс РТС телекоммуникаций ,171.01,168.64,171.01,168.64,215900.0,,,2,2374215598.9075,USD,999999.999999
RTSI,RTStn,2009-11-11,Индекс РТС транспорта,Индекс РТС транспорта,117.7144,117.7144,117.7144,117.7144,339918.6394,,,2,1373849023.6244,USD,999999.999999
RTSI,RTSTR,2009-11-11,RTS Total Return,Индекс РТС полной доходности «брутто»,1546.27,1546.27,1546.27,1546.27,0.0,,,2,127344858216.7018,USD,
RTSI,RTSTRN,2009-11-11,RTS Net-TR-NR,Индекс РТС полной доходности «нетто» (по налоговым ставкам иностранных организаций),1528.99,1528.99,1528.99,1528.99,0.0,,,2,127344858216.7018,USD,
RTSI,RTSTRR,2009-11-11,RTS Net-TR-Res,Индекс РТС полной доходности «нетто» (по налоговым ставкам российских организаций),1535.88,1535.88,1535.88,1535.88,0.0,,,2,127344858216.7018,USD,
RTSI,RTSUSDCUR,2009-11-11,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,28.6576,28.6576,28.6576,28.6576,,,,2,,RUB,
SNDX,RUCBCP3Y,2009-11-11,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,93.9,93.81,93.9,93.78,2709381188.0,513,9.98,2,,RUB,
