BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
TQBR,2017-09-19,АбрауДюрсо,ABRD,1.0,17700.0,177.0,177.0,177.0,177.0,177.0,177.0,100.0,,171.0,177.0,0.0,547100.0,0.0,
TQBR,2017-09-19,АСКО ао,ACKO,414.0,6837798.0,8.4455,8.1,8.8195,8.3995,8.421,8.3995,812000.0,8.421,8.421,8.3995,6837798.0,6837798.0,6837798.0,
TQBR,2017-09-19,Система ао,AFKS,4022.0,121480279.0,13.755,13.44,13.91,13.51,13.61,13.51,8925300.0,13.61,13.61,13.51,121480279.0,121480279.0,121480279.0,
SMAL,2017-09-19,Аэрофлот,AFLT,16.0,9521.6,190.65,189.8,191.5,,191.8,191.1,50.0,,,,0.0,0.0,0.0,
TQBR,2017-09-19,Аэрофлот,AFLT,8679.0,1206382415.0,195.8,189.3,196.85,190.0,191.8,190.0,6289700.0,191.8,191.8,190.0,1206382415.0,1206382415.0,1206382415.0,
TQBR,2017-09-19,AGRO-гдр,AGRO,338.0,3329510.0,704.0,701.0,711.0,704.0,704.0,704.0,4731.0,704.0,704.0,704.0,3329510.0,3329510.0,3329510.0,
TQBR,2017-09-19,Акрон,AKRN,627.0,25134940.0,3662.0,3620.0,3686.0,3651.0,3658.0,3651.0,6872.0,3658.0,3658.0,3651.0,25134940.0,25134940.0,25134940.0,
TQBR,2017-09-19,БестЭфБ ао,ALBK,4.0,27500.0,22.6,22.6,30.8,27.5,27.5,30.8,1000.0,,,27.5,0.0,0.0,0.0,
TQBR,2017-09-19,АЛРОСА-Нюр,ALNU,5.0,1993000.0,142000.0,142000.0,144000.0,144000.0,142500.0,144000.0,14.0,142000.0,142500.0,144000.0,5254000.0,3557000.0,5254000.0,
SMAL,2017-09-19,АЛРОСА ао,ALRS,4.0,1999.58,81.29,79.72,81.59,,80.81,81.59,25.0,,,,0.0,0.0,0.0,
TQBR,2017-09-19,АЛРОСА ао,ALRS,8613.0,932528689.0,80.8,80.41,81.29,80.43,80.81,80.43,11540400.0,80.81,80.81,80.43,932528689.0,932528689.0,932528689.0,
SMAL,2017-09-19,АшинскийМЗ,AMEZ,1.0,276.04,4.12,4.12,4.12,,4.24,4.12,67.0,,,,0.0,0.0,0.0,
TQBR,2017-09-19,АшинскийМЗ,AMEZ,408.0,734489.0,4.24,4.11,4.3,4.23,4.24,4.23,173200.0,4.24,4.24,4.23,734489.0,734489.0,734489.0,
TQBR,2017-09-19,Аптеки36и6,APTK,243.0,841738.0,9.12,9.01,9.14,9.05,9.05,9.05,93040.0,9.05,9.05,9.05,841738.0,841738.0,841738.0,
TQBR,2017-09-19,РусАква ао,AQUA,33.0,833300.0,173.5,172.5,184.5,180.0,177.5,180.0,4700.0,177.5,177.5,180.0,833300.0,833300.0,833300.0,
TQDE,2017-09-19,Армада,ARMD,91.0,85661.0,12.1,11.7,12.3,11.8,11.8,11.8,7260.0,,12.2,11.8,0.0,519227.0,0.0,
TQBR,2017-09-19,Арсагера,ARSA,10.0,46690.0,3.34,3.3,3.4,3.31,3.34,3.3,14000.0,,3.34,3.31,0.0,594550.0,0.0,
TQBR,2017-09-19,АстрЭнСб,ASSB,3.0,1402.0,0.465,0.465,0.472,0.472,0.467,0.472,3000.0,,0.474,0.472,0.0,711875.0,0.0,
TQBR,2017-09-19,Авангрд-ао,AVAN,1.0,68120.0,524.0,524.0,524.0,524.0,524.0,524.0,130.0,527.0,527.0,524.0,553000.0,547740.0,553000.0,
SMAL,2017-09-19,АВТОВАЗ ао,AVAZ,2.0,206.0,10.3,10.3,10.3,,10.31,10.3,20.0,,,,0.0,0.0,0.0,
TQBR,2017-09-19,АВТОВАЗ ао,AVAZ,470.0,9234122.0,10.15,9.95,10.7,10.54,10.31,10.54,896000.0,10.31,10.31,10.54,9234122.0,9234122.0,9234122.0,
SMAL,2017-09-19,АВТОВАЗ ап,AVAZP,1.0,8.6,8.6,8.6,8.6,,8.63,8.6,1.0,,,,0.0,0.0,0.0,
