BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2020-09-07,АбрауДюрсо,ABRD,477.0,3810910.0,204.5,204.5,212.0,207.0,208.0,207.5,18340.0,208.0,208.0,207.0,3810910.0,3810910.0,3810910.0,0.0,3
TQPI,2020-09-07,АСКО ао,ACKO,49.0,177942.0,4.98,4.98,5.1,5.08,5.06,5.1,35200.0,,5.02,5.08,0.0,508610.0,0.0,0.0,3
SMAL,2020-09-07,Система ао,AFKS,12.0,2528.71,20.74,20.582,22.797,,20.394,21.71,119.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-09-07,Система ао,AFKS,15686.0,766932081.2,20.551,20.073,20.856,20.67,20.394,20.65,37550500.0,20.418,20.418,20.67,748864009.8,748864009.8,748864009.8,0.0,3
SMAL,2020-09-07,Аэрофлот,AFLT,8.0,1902.14,82.08,81.72,87.96,,81.96,81.74,23.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-09-07,Аэрофлот,AFLT,6710.0,153886579.8,81.8,81.32,82.32,81.92,81.96,81.96,1877530.0,81.96,81.96,81.92,140764594.2,140764594.2,140764594.2,0.0,3
TQBR,2020-09-07,AGRO-гдр,AGRO,2194.0,36266568.2,730.6,727.4,740.0,737.2,735.2,737.2,49327.0,735.2,735.2,737.2,36266568.2,36266568.2,36266568.2,0.0,3
TQTE,2020-09-07,AKEU ETF,AKEU,139.0,226211.04,9.9,9.88,10.02,10.0,10.01,10.01,22590.0,891.61,891.61,10.0,20141469.02,20141469.02,20141469.02,66692.97,3
TQTF,2020-09-07,ETF AKMB,AKMB,171.0,290881.49,1.0311,1.028,1.0312,1.0301,1.0307,1.0309,282113.0,,1.0297,1.0301,0.0,1938839.29,0.0,1965944.41,3
TQTD,2020-09-07,AKNX ETF,AKNX,591.0,192717.9,16.42,16.23,16.96,16.93,16.76,16.91,11496.0,1260.35,1260.35,16.93,14488975.02,14488975.02,14488975.02,325670.35,3
TQBR,2020-09-07,Акрон,AKRN,326.0,6562612.0,5950.0,5916.0,5984.0,5974.0,5960.0,5974.0,1101.0,5960.0,5960.0,5974.0,6562612.0,6562612.0,6562612.0,0.0,3
TQTD,2020-09-07,AKSP ETF,AKSP,244.0,52362.65,11.66,11.51,11.88,11.86,11.73,11.88,4465.0,881.69,881.69,11.86,3936744.46,3936744.46,3936744.46,329993.06,3
TQBR,2020-09-07,БестЭфБ ао,ALBK,386.0,2268945.0,62.5,57.0,62.5,59.0,59.5,59.0,38150.0,59.5,59.5,59.0,2268945.0,2268945.0,2268945.0,0.0,3
TQBR,2020-09-07,АЛРОСА-Нюр,ALNU,12.0,1065200.0,56000.0,56000.0,56200.0,56200.0,56000.0,56200.0,19.0,56000.0,56000.0,56200.0,1065200.0,1065200.0,1065200.0,0.0,3
SMAL,2020-09-07,АЛРОСА ао,ALRS,13.0,2775.0,67.33,67.33,68.39,,68.13,67.7,41.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-09-07,АЛРОСА ао,ALRS,16936.0,903358494.9,67.68,66.7,68.47,68.4,68.13,68.39,13260440.0,68.12,68.12,68.4,884490479.1,884490479.1,884490479.1,0.0,3
SMAL,2020-09-07,АшинскийМЗ,AMEZ,1.0,36.54,6.09,6.09,6.09,,4.625,6.09,6.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-09-07,АшинскийМЗ,AMEZ,430.0,3017010.0,4.68,4.54,4.745,4.585,4.625,4.585,652100.0,4.625,4.625,4.585,3017010.0,3017010.0,3017010.0,0.0,3
TQBR,2020-09-07,Аптеки36и6,APTK,1070.0,4252331.56,13.42,13.354,13.484,13.408,13.404,13.414,317260.0,13.404,13.404,13.408,4252331.56,4252331.56,4252331.56,0.0,3
TQBR,2020-09-07,РусАква ао,AQUA,1155.0,22915235.0,225.0,225.0,232.0,229.5,229.5,229.5,99830.0,229.5,229.5,229.5,22915235.0,22915235.0,22915235.0,0.0,3
TQBR,2020-09-07,Арсагера,ARSA,18.0,75260.0,4.15,4.14,4.25,4.17,4.18,4.17,18000.0,,4.14,4.17,0.0,500980.0,0.0,0.0,3
TQBR,2020-09-07,АстрЭнСб,ASSB,58.0,309363.5,0.771,0.765,0.7885,0.765,0.7755,0.765,399000.0,,0.7755,0.765,0.0,587010.5,0.0,0.0,3
TQBR,2020-09-07,Авангрд-ао,AVAN,1259.0,7082645.0,820.0,820.0,975.0,885.0,895.0,880.0,7901.0,895.0,895.0,885.0,7082645.0,7082645.0,7082645.0,0.0,3
TQBR,2020-09-07,Башнефт ао,BANE,374.0,4190576.0,1705.0,1700.0,1716.0,1714.0,1709.5,1714.0,2451.0,1709.5,1709.5,1714.0,4190576.0,4190576.0,4190576.0,0.0,3
TQBR,2020-09-07,Башнефт ап,BANEP,2993.0,45786474.0,1311.0,1300.0,1314.0,1305.5,1304.0,1305.5,35111.0,1304.0,1304.0,1305.5,45786474.0,45786474.0,45786474.0,0.0,3
TQBR,2020-09-07,Белуга ао,BELU,151.0,1011025.0,1320.0,1302.0,1320.0,1307.0,1310.0,1307.0,772.0,1310.0,1310.0,1307.0,1011025.0,1011025.0,1011025.0,0.0,3
TQBR,2020-09-07,БашИнСв ап,BISVP,429.0,2222539.0,10.4,10.13,11.35,10.29,10.76,10.29,206600.0,10.76,10.76,10.29,2222539.0,2222539.0,2222539.0,0.0,3
TQBR,2020-09-07,Белон ао,BLNG,343.0,1231237.0,4.188,4.04,4.226,4.15,4.102,4.15,300200.0,4.102,4.102,4.15,1231237.0,1231237.0,1231237.0,0.0,3
TQBR,2020-09-07,БурЗолото,BRZL,222.0,1151014.0,1096.0,1096.0,1135.0,1119.0,1120.0,1119.0,1028.0,1120.0,1120.0,1119.0,1151014.0,1151014.0,1151014.0,0.0,3
TQBR,2020-09-07,БСП ао,BSPB,1249.0,13009208.8,42.45,42.31,43.18,42.61,42.81,42.61,303900.0,42.81,42.81,42.61,13009208.8,13009208.8,13009208.8,0.0,3
TQBR,2020-09-07,МКБ ао,CBOM,7775.0,319452945.7,5.8,5.8,5.879,5.869,5.847,5.84,54631000.0,5.847,5.847,5.869,291328259.6,291328259.6,291328259.6,0.0,3
TQBR,2020-09-07,ЧТПЗ ао,CHEP,123.0,987890.0,203.5,199.0,206.0,204.5,203.5,204.5,4860.0,203.5,203.5,204.5,987890.0,987890.0,987890.0,0.0,3
TQBR,2020-09-07,РН-ЗапСиб,CHGZ,34.0,360080.0,55.8,53.2,55.8,53.4,53.8,53.2,6700.0,,54.4,53.4,0.0,505080.0,0.0,0.0,3
TQBR,2020-09-07,ЧКПЗ ао,CHKZ,13.0,168700.0,5500.0,5420.0,5500.0,5480.0,5440.0,5480.0,31.0,,5560.0,5480.0,0.0,505140.0,0.0,0.0,3
TQBR,2020-09-07,СевСт-ао,CHMF,16669.0,859804340.8,931.0,925.6,933.0,928.2,930.2,929.6,924283.0,930.2,930.2,928.2,832358212.0,832358212.0,832358212.0,0.0,3
TQBR,2020-09-07,ЧМК ао,CHMK,83.0,740010.0,2695.0,2610.0,2710.0,2640.0,2660.0,2635.0,278.0,2660.0,2660.0,2640.0,740010.0,740010.0,740010.0,0.0,3
TQBR,2020-09-07,Телеграф,CNTL,421.0,4588830.0,16.95,16.8,17.05,16.85,16.9,16.85,271600.0,16.9,16.9,16.85,4588830.0,4588830.0,4588830.0,0.0,3
TQBR,2020-09-07,Телеграф-п,CNTLP,1553.0,17643928.0,14.66,14.06,14.66,14.38,14.24,14.38,1239400.0,14.24,14.24,14.38,17643928.0,17643928.0,17643928.0,0.0,3
TQPI,2020-09-07,ДагСб ао,DASB,476.0,3677025.0,0.0867,0.0831,0.0887,0.0842,0.0855,0.0842,43030000.0,0.0855,0.0855,0.0842,3677025.0,3677025.0,3677025.0,0.0,3
TQBR,2020-09-07,ЗаводДИОД,DIOD,290.0,1104965.0,6.67,6.67,7.14,6.96,6.93,6.96,159400.0,6.93,6.93,6.96,1104965.0,1104965.0,1104965.0,0.0,3
SMAL,2020-09-07,ДетскийМир,DSKY,6.0,996.5,113.0,108.1,114.26,,111.26,114.26,9.0,,,,0.0,0.0,0.0,0.0,3
