BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
EQOB,2015-11-30,ВТБ - 6 об,RU000A0JNGU3,14.0,46161116.8,100.01,100.09,100.07,100.07,17.98,100.05,11.83,100.05,46156.0,100.01,100.01,100.01,46161116.8,46161116.8,46161116.8,2016-07-06,37.0,12.05,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-11-30,МГор49-об,RU000A0JNYP6,2.0,2847.5,94.75,95.0,94.75,94.75,32.41,94.75,11.08,95.0,3.0,94.62,94.6,94.62,39383597.5,23723641.5,39383597.5,2017-06-14,524.0,11.08,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-11-30,ГСС 01,RU000A0JP518,6.0,47769.7,83.0,87.0,87.0,86.48,0.2,85.3,11.24,83.5,56.0,,87.05,,0.0,604144.0,0.0,2017-03-26,482.0,12.91,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-11-30,ДОМ.РФ10об,RU000A0JPJE6,2.0,2407886.25,94.15,94.15,94.15,94.15,1.65,94.15,12.02,94.15,5115.0,,94.32,,0.0,12013079.85,0.0,2018-11-15,643.0,12.02,,,,,,,500.0,SUR,,,,,RUB
EQOB,2015-11-30,ДОМ.РФ11об,RU000A0JPLU8,3.0,3273158.07,93.5,94.0,94.0,94.0,11.95,93.5,10.89,93.51,5001.0,,93.55,,0.0,3486311.5,0.0,2020-09-15,742.0,11.18,,,,,,,700.0,SUR,,,,,RUB
EQOB,2015-11-30,РСХБ 7,RU000A0JPTE5,8.0,2492856.1,99.89,99.92,99.92,99.92,37.42,99.91,11.71,99.92,2495.0,99.91,99.91,99.91,2723556.1,2723556.1,2723556.1,2018-06-05,8.0,12.21,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2015-11-30,МГор56-об,RU000A0JPZ50,3.0,420225.0,97.5,97.5,97.5,97.5,13.23,97.5,10.52,97.5,431.0,97.05,97.33,97.05,18308866.1,680306.9,18308866.1,2016-09-22,291.0,10.52,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-11-30,РЖД-12обл,RU000A0JQ5Q5,2.0,39108977.7,97.77,97.77,97.77,97.77,2.55,97.77,11.23,97.77,40001.0,97.65,97.64,97.65,243438526.9,212011987.6,243438526.9,2019-05-16,346.0,11.23,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2015-11-30,РЖД-15 обл,RU000A0JQ6S9,7.0,28086498.2,98.45,98.58,98.5,98.53,35.95,98.51,11.29,98.45,28510.0,98.48,98.48,98.48,181636860.7,93133828.2,181636860.7,2016-06-20,196.0,11.26,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2015-11-30,РЖД-17 обл,RU000A0JQ7W9,1.0,1013.5,101.35,101.35,101.35,101.35,42.27,101.35,11.15,101.35,1.0,101.37,101.45,101.37,289027000.8,6346694.0,289027000.8,2018-07-16,684.0,11.15,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2015-11-30,РЖД-19 обл,RU000A0JQ7Z2,1.0,942.0,94.2,94.2,94.2,94.2,29.7,94.2,11.02,94.2,1.0,93.8,93.8,93.8,61939199.6,61920431.6,61939199.6,2024-07-08,854.0,11.02,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2015-11-30,ДОМ.РФ13об,RU000A0JQAG8,1.0,990000.0,99.0,99.0,99.0,99.0,13.55,99.0,13.93,99.0,1000.0,,99.07,,0.0,3073265.9,0.0,2018-04-15,137.0,13.93,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2015-11-30,ДОМ.РФ15об,RU000A0JQAM6,7.0,594084.8,96.42,96.98,96.98,96.98,22.38,96.44,22.98,96.42,616.0,96.84,96.47,96.84,1837999.8,625124.8,1837999.8,2028-09-15,106.0,25.31,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2015-11-30,МГор66-об,RU000A0JQHM1,4.0,32901.4,106.0,107.77,106.0,106.0,2.54,106.13,11.32,107.77,31.0,105.53,105.53,105.53,812602.7,799910.7,812602.7,2018-11-23,921.0,11.27,,,,,,,1000.0,SUR,,,,,RUB
