BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,2001-06-06,Индекс МосБиржи,Индекс МосБиржи,216.73,,,,,,,2,,RUB,
SNDX,MICEX10INDEX,2001-06-06,Индекс МосБиржи 10,Индекс МосБиржи 10,316.83,317.08,320.64,314.09,2160652401.0,,,2,,RUB,
SNDX,MICEXINDEXCF,2001-06-06,Индекс МосБиржи (архив),Индекс МосБиржи (архив),216.73,,,,,,,2,,RUB,
SNDX,MOEX10,2001-06-06,Индекс МосБиржи 10,Индекс МосБиржи 10,316.83,317.08,320.64,314.09,2160652401.0,,,2,,RUB,
RTSI,RTSI,2001-06-06,Индекс РТС,Индекс РТС,213.41,214.32,214.32,212.68,20634504.0,,,2,48185151297.9414,USD,
RTSI,RTSog,2001-06-06,Индекс РТС нефти и газа,Индекс РТС нефти и газа,38.23,38.23,38.23,38.23,0.0,,,2,15723375835.297,USD,
RTSI,RTStl,2001-06-06,Индекс РТС телекоммуникаций,Индекс РТС телекоммуникаций ,39.1,39.1,39.1,39.1,0.0,,,2,1306808733.5792,USD,
RTSI,RTSUSDCUR,2001-06-06,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,29.16,29.16,29.16,29.16,,,,2,,RUB,
SNDX,TECHIND,2001-06-06,Технический индекс акций,Технический индекс акций,336.93,338.65,,,,,,2,,RUB,
