BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,2004-05-21,Индекс МосБиржи,Индекс МосБиржи,577.38,576.14,579.05,568.67,8053788557.6,,,2,,RUB,
RTSI,MCFTR,2004-05-21,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,577.38,577.38,577.38,577.38,0.0,,,2,0.0,,
RTSI,MCFTRN,2004-05-21,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),577.38,577.38,577.38,577.38,0.0,,,2,0.0,,
RTSI,MCFTRR,2004-05-21,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),577.38,577.38,577.38,577.38,0.0,,,2,0.0,,
SNDX,MICEX10INDEX,2004-05-21,Индекс МосБиржи 10,Индекс МосБиржи 10,1157.85,1154.98,1161.63,1140.27,4619022304.18,,,2,,RUB,
SNDX,MICEXBNDPRCI,2004-05-21,RCBI,RCBI,104.87,104.76,104.93,104.74,106411742.3,,,2,,RUB,
SNDX,MICEXBNDTRTI,2004-05-21,RCBIc,RCBI-c,122.06,,,,106411742.3,,,2,,RUB,
SNDX,MICEXCBICP,2004-05-21,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,104.87,104.76,104.93,104.74,106411742.3,,,2,,RUB,
SNDX,MICEXCBITR,2004-05-21,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,122.06,,,,106411742.3,,,2,,RUB,
SNDX,MICEXINDEXCF,2004-05-21,Индекс МосБиржи (архив),Индекс МосБиржи (архив),577.38,576.14,579.05,568.67,8053788557.6,,,2,,RUB,
SNDX,MOEX10,2004-05-21,Индекс МосБиржи 10,Индекс МосБиржи 10,1157.85,1154.98,1161.63,1140.27,4619022304.18,,,2,,RUB,
RTSI,RTS2,2004-05-21,Второй эшелон в $,Индекс второго эшелона Московской Биржи в долларах,715.53,715.53,715.53,715.53,1151658.0,,,2,26705755294.6304,USD,
RTSI,RTSI,2004-05-21,Индекс РТС,Индекс РТС,627.12,625.35,629.67,624.89,28923021.0,,,2,160290132425.561,USD,
RTSI,RTSin,2004-05-21,Машиностроение в $,Индекс машиностроения Московской Биржи в долларах,103.27,103.27,103.27,103.27,0.0,,,2,2384700155.4272,USD,
RTSI,RTSmm,2004-05-21,Индекс РТС металлов и добычи,Индекс РТС металлов и добычи,82.95,82.95,82.95,82.95,0.0,,,2,4324012907.1234,USD,
RTSI,RTSog,2004-05-21,Индекс РТС нефти и газа,Индекс РТС нефти и газа,124.81,124.81,124.81,124.81,0.0,,,2,86390375768.5817,USD,
RTSI,RTStl,2004-05-21,Индекс РТС телекоммуникаций,Индекс РТС телекоммуникаций ,105.49,105.49,105.49,105.49,0.0,,,2,6736596600.8414,USD,
RTSI,RTSUSDCUR,2004-05-21,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,28.9904,28.9904,28.9904,28.9904,,,,2,,RUB,
SNDX,RUCBICP,2004-05-21,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,104.87,104.76,104.93,104.74,106411742.3,,,2,,RUB,
SNDX,RUCBITR,2004-05-21,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,122.06,,,,106411742.3,,,2,,RUB,
SNDX,TECHIND,2004-05-21,Технический индекс акций,Технический индекс акций,1070.8,1070.97,0.0,0.0,0.0,,,2,,RUB,
