BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
RTSI,BPSI,2009-07-02,Субиндекс облигаций,Индексы активов пенсионных накоплений - Субиндекс облигаций,1074.697,1074.697,1074.697,1074.697,0.0,,,2,385565789936.265,RUB,0.001
RTSI,EPSI,2009-07-02,Субиндекс акций,Индексы активов пенсионных накоплений - Субиндекс акций,436.1872,436.1872,436.1872,436.1872,0.0,,,2,118015867677.936,RUB,999999.999999
SNDX,IMOEX,2009-07-02,Индекс МосБиржи,Индекс МосБиржи,977.09,1012.48,1012.51,973.1,40971685395.24,,,2,,RUB,
RTSI,MCFTR,2009-07-02,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,1048.82,1048.82,1048.82,1048.82,0.0,,,2,0.0,,
RTSI,MCFTRN,2009-07-02,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),1037.76,1037.76,1037.76,1037.76,0.0,,,2,0.0,,
RTSI,MCFTRR,2009-07-02,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),1042.18,1042.18,1042.18,1042.18,0.0,,,2,0.0,,
RTSI,MEBCTR,2009-07-02,MOEX Blue Chip Total Return,Индекс МосБиржи голубых фишек полной доходности «брутто»,6521.32,6521.32,6521.32,6521.32,0.0,,,2,0.0,RUB,
RTSI,MEBCTRN,2009-07-02,MOEX Blue Chip Net-TR-NR,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам иностр. орг.),6521.32,6521.32,6521.32,6521.32,0.0,,,2,0.0,RUB,
RTSI,MEBCTRR,2009-07-02,MOEX Blue Chip Net-TR-Res,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам росс. орг.),6521.32,6521.32,6521.32,6521.32,0.0,,,2,0.0,RUB,
SNDX,MICEX10INDEX,2009-07-02,Индекс МосБиржи 10,Индекс МосБиржи 10,2067.11,2133.9,2137.01,2047.03,38921421388.75,,,2,,RUB,
SNDX,MICEXBORR1W,2009-07-02,MCX BO 1W,ММВБ РЕПО обл 7 дней,6.96,,,,421713738.44,,,2,,RUB,
SNDX,MICEXBORR2W,2009-07-02,MCX BO 2W,ММВБ РЕПО обл 14 дней,15.0,,,,0.0,,,2,,RUB,
SNDX,MICEXBORRON,2009-07-02,MCX BO ON,ММВБ РЕПО обл 1 день,7.38,,,,22605133587.88,,,2,,RUB,
SNDX,MICEXCBICP,2009-07-02,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,87.2,87.11,87.2,87.1,533684142.3,521,13.5,2,,RUB,
SNDX,MICEXCBICP3Y,2009-07-02,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,90.82,90.73,90.83,90.73,390529175.8,355,13.43,2,,RUB,
SNDX,MICEXCBICP5Y,2009-07-02,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,93.33,93.13,93.33,93.07,133793496.5,935,13.75,2,,RUB,
SNDX,MICEXCBIGP,2009-07-02,ММВБ корп обл (вал),ММВБ корп обл (вал),89.54,89.45,89.55,89.45,533684142.3,521,13.5,2,,RUB,
SNDX,MICEXCBIGP3Y,2009-07-02,ММВБ корп обл (вал) 1-3,ММВБ корп обл (вал) 1-3,93.43,93.34,93.44,93.34,390529175.8,355,13.43,2,,RUB,
SNDX,MICEXCBIGP5Y,2009-07-02,ММВБ корп обл (вал) 3-5,ММВБ корп обл (вал) 3-5,95.49,95.26,95.5,95.24,133793496.5,935,13.75,2,,RUB,
SNDX,MICEXCBITR,2009-07-02,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,154.15,154.0,154.16,153.96,533684142.3,521,13.5,2,,RUB,
SNDX,MICEXCBITR3Y,2009-07-02,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,157.83,157.69,157.85,157.64,390529175.8,355,13.43,2,,RUB,
SNDX,MICEXCBITR5Y,2009-07-02,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,162.68,162.3,162.69,162.25,133793496.5,935,13.75,2,,RUB,
SNDX,MICEXCGS,2009-07-02,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,2217.45,2205.41,2217.67,2200.23,120597564.03,,,2,,RUB,
SNDX,MICEXCHM,2009-07-02,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,2883.98,2900.0,2903.22,2859.89,255399615.17,,,2,,RUB,
SNDX,MICEXEQRR1W,2009-07-02,MCX EQ 1W,ММВБ РЕПО акц 7 дней,5.36,,,,510273302.74,,,2,,RUB,
SNDX,MICEXEQRR2W,2009-07-02,MCX EQ 2W,ММВБ РЕПО акц 14 дней,15.0,,,,0.0,,,2,,RUB,
SNDX,MICEXEQRRON,2009-07-02,MCX EQ ON,ММВБ РЕПО акц 1 день,9.13,,,,42526021186.73,,,2,,RUB,
SNDX,MICEXFNL,2009-07-02,Индекс финансов,Индекс МосБиржи финансов,2939.16,3011.1,3011.1,2909.29,16645937802.21,,,2,,RUB,
SNDX,MICEXINDEXCF,2009-07-02,Индекс МосБиржи (архив),Индекс МосБиржи (архив),977.09,1012.48,1012.51,973.1,40971685395.24,,,2,,RUB,
SNDX,MICEXLC,2009-07-02,MICEX LC,ММВБ высокая кап,1573.88,1631.6,1631.6,1567.47,35686664247.55,,,2,,RUB,
SNDX,MICEXM&M,2009-07-02,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,2376.5,2374.09,2425.17,2352.69,4137844304.26,,,2,,RUB,
SNDX,MICEXMBICP,2009-07-02,Индекс Мосбиржи мун обл MOEX MBICP,Индекс Мосбиржи муниципальных облигаций ценовой,84.03,84.01,84.27,83.99,1242482874.11,905,15.55,2,,RUB,
SNDX,MICEXMBIGP,2009-07-02,MICEXMBIGP,ММВБ муни обл (вал),84.91,84.89,85.14,84.86,1242482874.11,905,15.55,2,,RUB,
SNDX,MICEXMBITR,2009-07-02,Индекс Мосбиржи мун обл MBITR,Индекс Мосбиржи муниципальных облигаций,108.74,108.71,109.04,108.68,1242482874.11,905,15.55,2,,RUB,
SNDX,MICEXMC,2009-07-02,MICEX MC,ММВБ стандарт кап,1457.93,1471.69,1476.16,1451.44,2444449723.2,,,2,,RUB,
SNDX,MICEXMNF,2009-07-02,Машиностроение,Индекс машиностроения Московской Биржи,921.74,937.81,944.79,918.78,24303840.41,,,2,,RUB,
SNDX,MICEXO&G,2009-07-02,Индекс нефти и газа,Индекс МосБиржи нефти и газа,1934.47,2018.08,2018.1,1928.79,17990462559.55,,,2,,RUB,
SNDX,MICEXPWR,2009-07-02,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,1699.26,1759.77,1763.9,1694.48,2027640762.55,,,2,,RUB,
SNDX,MICEXSC,2009-07-02,Второй эшелон,Индекс второго эшелона Московской Биржи,2202.86,2255.66,2255.66,2196.94,411075959.62,,,2,,RUB,
SNDX,MICEXTLC,2009-07-02,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,1041.59,1075.95,1075.97,1040.5,333177937.53,,,2,,RUB,
SNDX,MICEXTRN,2009-07-02,Индекс транспорта,Индекс МосБиржи транспорта,1274.82,1274.82,1274.82,1274.82,9025767.76,,,2,,RUB,
SNDX,MOEX10,2009-07-02,Индекс МосБиржи 10,Индекс МосБиржи 10,2067.11,2133.9,2137.01,2047.03,38921421388.75,,,2,,RUB,
RTSI,MOEXBC,2009-07-02,Индекс голубых фишек,Индекс МосБиржи голубых фишек,6521.32,6677.81,6771.34,6510.35,6901355853.41,,,2,2013620567765.99,RUB,999999.999999
SNDX,MOEXCH,2009-07-02,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,2883.98,2900.0,2903.22,2859.89,255399615.17,,,2,,RUB,
SNDX,MOEXCN,2009-07-02,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,2217.45,2205.41,2217.67,2200.23,120597564.03,,,2,,RUB,
SNDX,MOEXEU,2009-07-02,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,1699.26,1759.77,1763.9,1694.48,2027640762.55,,,2,,RUB,
SNDX,MOEXFN,2009-07-02,Индекс финансов,Индекс МосБиржи финансов,2939.16,3011.1,3011.1,2909.29,16645937802.21,,,2,,RUB,
SNDX,MOEXMM,2009-07-02,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,2376.5,2374.09,2425.17,2352.69,4137844304.26,,,2,,RUB,
SNDX,MOEXOG,2009-07-02,Индекс нефти и газа,Индекс МосБиржи нефти и газа,1934.47,2018.08,2018.1,1928.79,17990462559.55,,,2,,RUB,
SNDX,MOEXTL,2009-07-02,Индекс телекоммуникаций,Индекс МосБиржи телекоммуникаций,1041.59,1075.95,1075.97,1040.5,333177937.53,,,2,,RUB,
SNDX,MOEXTN,2009-07-02,Индекс транспорта,Индекс МосБиржи транспорта,1274.82,1274.82,1274.82,1274.82,9025767.76,,,2,,RUB,
