timestamp,open (RUB),high (RUB),low (RUB),close (RUB),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2014-04-01,18293.22561126,18880.28595550,18127.85141640,18483.99992351,516.06940153,537.01159721,515.90388697,526.22438623,107.97184000,56817.41523445
2014-04-02,18206.76149245,18711.92335387,16534.46264383,16733.59937201,518.33163446,529.59372800,466.73646144,472.28642941,284.59220000,134409.03397699
2014-04-03,16733.61868971,17121.36467144,16014.37512158,16705.62640454,472.28697463,481.41304276,451.01361969,470.34121770,374.97077000,176364.20856524
2014-04-04,16705.62640454,17266.64052792,16099.11577190,16968.36214098,470.34121770,488.35830831,452.47095797,479.94290309,147.56198000,70821.32506670
2014-04-05,16842.57422615,17053.58996277,16639.43779563,17020.33167849,476.38504544,482.54079265,470.82212723,481.59973104,152.46753000,73428.32143977
2014-04-06,17019.41800376,17239.74495382,16526.24734115,17121.81116378,481.57387810,488.40682266,468.19323465,485.44144879,87.19344000,42327.30983879
2014-04-07,17141.08939611,17281.77138088,16665.42330992,16996.65484018,485.98802958,489.87889725,468.84657136,477.89214945,115.96566000,55419.07851947
2014-04-08,16832.97243756,18379.97085406,16584.51566103,16816.60982797,473.28991825,516.83164886,464.73014473,471.12357126,99.25344000,46760.63511307
2014-04-09,16816.65864961,16865.39389480,16569.85088401,16681.01226697,471.12493902,472.51383804,464.49629483,468.64687738,153.66666000,72015.40036630
2014-04-10,16681.01226697,16681.01226697,13465.03550170,13598.56163665,468.64687738,468.64687738,378.31273532,382.06427666,307.23338000,117382.89909474
2014-04-11,13458.46119226,16028.22763631,13209.42580036,15501.20474631,378.12802396,449.92299196,371.24805299,434.93864885,331.41700000,144146.06218657
2014-04-12,15501.30717613,16255.85979778,15363.73975606,15737.67147980,434.94152287,455.90197904,430.88212174,441.36918394,107.22946000,47327.77925460
2014-04-13,15737.43657739,15833.74369350,14673.32520736,15409.51975413,441.36259601,444.06192909,411.50255560,432.32487363,174.62342000,75494.04798375
2014-04-14,15409.20554631,17334.75310663,15132.80065803,17072.45815352,432.31605831,482.97574992,424.32085220,475.33667349,154.60678000,73490.27250382
2014-04-15,16876.03426524,18857.45806456,16261.14182971,18857.45806456,469.86777869,521.58951582,452.15480932,521.02270331,315.36332000,164311.44951145
2014-04-16,18857.45830106,19530.39106129,17817.05160267,19301.96085965,521.02270985,541.14897124,493.92969188,535.59041484,200.14895000,107197.85916014
2014-04-17,18893.85518545,19348.44494232,17720.53280848,18443.45825891,524.26630695,537.00810385,495.76299908,517.38753304,132.71718000,68666.21435267
2014-04-18,18443.61223320,18451.46171445,16928.71385549,17558.87267121,517.39185243,518.82136819,474.89749810,492.43678669,97.92104000,48219.92228738
2014-04-19,17558.87267121,18272.13654194,17194.32362465,18050.53749922,492.43678669,513.36435847,483.08269242,507.13842807,83.67967000,42437.17630522
2014-04-20,18050.53749922,18411.11016109,17644.02286316,18120.35490721,507.13842807,517.09542352,495.55096869,508.89581060,63.03394000,32077.70799164
2014-04-21,18120.35490721,18230.73950778,17451.53064259,17944.86459132,508.89581060,511.52958854,489.18315100,502.83164277,122.98568000,61841.09151218
2014-04-22,17944.86459132,18152.93076507,17469.92147061,17900.86941552,502.83164277,508.46863615,489.09433630,501.38755531,98.68278000,49478.31781554
2014-04-23,17887.46525458,18087.59487464,17403.39912214,17540.51976597,501.01211659,507.17892930,487.27806221,491.23751683,96.07901000,47197.61429196
2014-04-24,17571.15463314,17831.20279956,17259.54796738,17713.75285513,492.09547294,499.36771932,483.70162976,495.45466600,69.55388000,34460.79438415
2014-04-25,17713.64739525,17729.99099856,16240.29054451,16978.82535167,495.45171628,495.89886115,451.50408903,472.03119935,151.06352000,71306.69452403
2014-04-26,16978.82535167,17244.41116671,16482.76627731,16756.33966212,472.03119935,478.94556628,457.79167246,465.38988839,51.01709000,23742.83782126
2014-04-27,16756.34323638,17143.93262337,16420.55477676,16577.29205300,465.38998766,475.85209400,455.77380329,460.12476062,68.60126000,31565.13833543
2014-04-28,16427.29302131,16738.62274922,15732.85351764,16256.20961628,455.96133825,466.21352635,436.64334395,452.84368059,126.65170000,57353.42198042
2014-04-29,16253.66285740,16871.16998780,15836.41416872,16499.93114605,452.77273639,472.95379637,442.81906322,461.84141548,109.65530000,50643.35896704
2014-04-30,16499.00001186,16696.82110534,16181.51497846,16447.55150033,461.81535256,468.26011348,452.69145695,461.23626637,96.60865000,44559.41302529
2014-05-01,16447.55143485,16742.28345955,16383.82493321,16515.44467001,461.23626454,470.10478087,459.65865640,463.95868926,69.46442000,32228.62125371
2014-05-02,16515.43956121,16643.30441675,16065.30445490,16263.26383129,463.95854575,467.31794832,448.73347147,454.59501173,74.20730000,33734.26841404
2014-05-03,16263.25252288,16442.24768965,15880.41455489,16274.65000000,454.59469564,459.26064925,443.56767009,454.57935353,43.35741000,19709.38340833
2014-05-04,16274.65000000,16274.65000000,16001.02000000,16004.01000000,454.57935353,454.57935353,446.73590455,446.73590455,23.56665000,10528.06870490
2014-05-05,16004.01000000,16200.00000000,15627.73900000,15999.98996000,446.73590455,451.88385358,436.21392480,447.57169711,103.15881000,46170.96366402
2014-05-06,15999.98996000,15999.98996000,15700.00000000,15848.11700000,447.57169711,447.96226800,439.45708855,444.87478445,89.36771000,39757.44072292
2014-05-07,15700.03001000,16300.00000000,15550.01000000,15838.39998000,441.77426363,464.84449526,437.73190275,451.62208244,98.16833000,44334.98562472
2014-05-08,15924.01740000,16000.02000000,15661.16001000,15750.01000000,454.06340970,458.30341233,447.24077763,448.68026836,75.28366000,33778.29277228
2014-05-09,15889.97000000,16478.71647459,15750.00000000,16478.71647459,452.66739538,468.43599764,448.44472302,468.43599764,54.69051000,25619.00361306
2014-05-10,16296.39503721,16481.01162135,15783.94187118,16377.57651571,463.25319565,468.47806905,448.27906870,465.13886125,58.89937000,27396.38589013
2014-05-11,16377.57651571,16451.14613372,15604.91607422,15639.99413237,465.13886125,467.22830887,443.19456457,444.12068423,67.45478000,29958.06304812
2014-05-12,15639.99413237,16400.41725773,15515.97162561,16035.76992907,444.12068423,466.20411084,440.10643021,457.16744637,110.67139000,50595.35675226
2014-05-13,16101.27569775,16219.65520079,15485.81666570,15972.30400702,459.03496537,463.44249598,443.82357319,457.46632313,79.58263000,36406.37313151
2014-05-14,15972.31112304,16117.53655319,15805.00010000,15909.98999000,457.46652695,463.22024352,454.75893491,456.80649251,92.28650000,42157.07237135
2014-05-15,15909.98999000,16062.00000000,15806.10000000,16044.98999000,456.80649251,462.31922023,455.29622008,461.53321718,83.09543000,38351.30114090
2014-05-16,16044.98999000,16100.00000000,15850.00010000,15934.00000000,461.53321718,463.31884101,455.68709276,458.44055406,69.24771000,31745.95854010
2014-05-17,15934.00000000,16184.78900000,15932.00000000,16052.00132000,458.44055406,465.63355183,458.36085647,461.81327348,24.31049000,11226.90696672
2014-05-18,15991.00000000,16165.15995000,15901.00000000,16025.45795000,460.05827616,465.15340415,457.55218644,461.20858667,53.65832000,24747.67793013
2014-05-19,16025.45795000,16242.80000000,15902.00000000,16088.99000000,461.20858667,469.08446108,457.08983646,464.05952103,128.22496000,59504.01352146
