BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQOD,2021-05-25,UBANK11/22,AMUNIBB2AER2,4.0,1313.26,101.02,101.0201,101.02,101.0201,,101.02,,101.02,13.0,102.0106,102.0122,101.0201,585739.4,510566.21,585739.4,2022-11-15,,,,,5.25,1.31,,2021-05-25,100.0,USD,,,,,USD,3
TQCB,2021-05-25,МГор48-об,RU000A0JNYN1,27.0,606826.7,100.01,100.14,100.14,100.14,27.13,100.14,5.94,100.1,606.0,100.14,100.14,100.14,606826.7,606826.7,606826.7,2022-06-11,366.0,5.94,,,6.0,29.92,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,РЖД-19 обл,RU000A0JQ7Z2,8.0,21679.5,102.95,103.25,103.25,103.25,28.82,103.24,6.79,102.95,21.0,,103.24,103.25,0.0,505877.5,0.0,2024-07-08,1008.0,6.79,,,7.85,39.14,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,ДОМ.РФ15об,RU000A0JQAM6,1.0,565000.0,113.0,113.0,113.0,113.0,13.13,112.5,-27.92,113.0,500.0,112.37,112.37,113.0,7304100.0,7304100.0,7304100.0,2028-09-15,113.0,-26.89,,,6.75,34.03,2021-09-15,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,РЖД-23 обл,RU000A0JQRD9,69.0,298200.1,103.05,103.2,103.19,103.19,26.67,103.18,6.96,103.19,289.0,,103.2,103.19,0.0,10746146.5,0.0,2025-01-16,1157.0,6.96,,,7.85,39.14,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,ДОМ.РФ16об,RU000A0JQXG0,1.0,915.39,101.71,101.71,101.71,101.71,1.6,101.71,2.65,101.71,9.0,,101.19,101.71,0.0,581212.58,0.0,2021-09-15,111.0,2.65,,,8.25,2.08,,2021-05-25,100.0,SUR,,,,,RUB,3
TQCB,2021-05-25,ННК 04,RU000A0JRJV6,24.0,107839.55,98.54,99.88,99.7,99.7,28.53,99.39,29.35,99.88,155.0,,99.56,99.7,0.0,500394.93,0.0,2021-06-01,7.0,55.16,,,8.5,29.67,,2021-05-25,700.0,SUR,,,22.1032,,RUB,3
TQCB,2021-05-25,ННК 06,RU000A0JRK22,15.0,49426.02,99.01,99.85,99.11,99.11,28.04,99.45,53.76,99.85,71.0,,99.55,99.11,0.0,500362.24,0.0,2021-06-04,10.0,34.55,,,8.5,29.67,,2021-05-25,700.0,SUR,,,38.9282,,RUB,3
TQCB,2021-05-25,СПбТел 01,RU000A0JRKC4,2.0,46047.2,100.1,100.16,100.16,100.16,38.42,100.1,4.75,100.1,46.0,100.23,100.22,100.16,620425.6,520135.6,620425.6,2021-06-11,17.0,6.14,,,8.5,42.38,,2021-05-25,1000.0,SUR,,,4.3756,,RUB,3
TQCB,2021-05-25,СПбТел 02,RU000A0JRKD2,1.0,2000.6,100.03,100.03,100.03,100.03,24.86,100.03,4.8,100.03,2.0,100.04,100.04,100.03,1676670.2,1354541.4,1676670.2,2021-06-11,17.0,4.8,,,5.5,27.42,,2021-05-25,1000.0,SUR,,,4.4185,,RUB,3
TQCB,2021-05-25,СПбТел 03,RU000A0JRKM3,2.0,11003.3,100.03,100.03,100.03,100.03,24.86,100.03,4.8,100.03,11.0,100.04,100.04,100.03,589219.8,589219.8,589219.8,2021-06-11,17.0,4.8,,,5.5,27.42,,2021-05-25,1000.0,SUR,,,4.4185,,RUB,3
TQCB,2021-05-25,ФСК ЕЭС-13,RU000A0JRL96,4.0,74494691.0,100.1,100.2,100.2,100.2,35.86,100.2,5.72,100.1,74346.0,100.2,100.2,100.2,75141159.4,74909107.2,75141159.4,2021-06-22,28.0,5.72,,,8.5,42.38,,2021-05-25,1000.0,SUR,,,5.3745,,RUB,3
TQCB,2021-05-25,ВЭБлизинг9,RU000A0JRV52,1.0,1008.5,100.85,100.85,100.85,100.85,6.75,100.85,5.14,100.85,1.0,100.75,100.77,100.85,685109.1,619708.6,685109.1,2021-10-20,148.0,5.14,,,7.25,36.15,,2021-05-25,1000.0,SUR,,,5.0274,,RUB,3
TQCB,2021-05-25,РСХБ 15,RU000A0JRVN8,1.0,1005.7,100.57,100.57,100.57,100.57,5.37,100.57,5.67,100.57,1.0,,100.56,100.57,0.0,591268.8,0.0,2021-10-26,154.0,5.67,,,7.0,34.9,,2021-05-25,1000.0,SUR,,,5.5406,,RUB,3
TQCB,2021-05-25,СПбТел 07,RU000A0JRVU3,242.0,26951411.0,102.85,103.27,103.03,103.11,13.36,102.95,6.36,102.85,26178.0,102.95,102.95,103.11,26951411.0,26951411.0,26951411.0,2022-04-05,307.0,6.45,,,9.95,49.61,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQRD,2021-05-25,ОткрХОЛ 2,RU000A0JS264,1.0,30.0,3.0,3.0,3.0,3.0,,3.0,,3.0,1.0,,,3.0,0.0,0.0,0.0,2026-12-10,,,,,0.01,0.05,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,СПбТел 04,RU000A0JS3M7,4.0,20800.0,99.0,100.0,99.0,99.0,17.65,99.05,7.33,100.0,21.0,,99.73,99.0,0.0,701114.5,0.0,2022-01-31,246.0,7.26,,,5.7,28.42,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,ВЭБ.РФ 21,RU000A0JS4Z7,4.0,1167332.0,101.95,102.0,101.95,101.95,20.3,101.95,6.24,101.95,1145.0,101.96,101.96,101.95,1205193.1,1182691.6,1205193.1,2032-02-17,272.0,6.24,,,8.82,43.98,2022-03-01,2021-05-25,1000.0,SUR,,6.1756,,2022-03-03,RUB,3
TQCB,2021-05-25,ВымпелКом4,RU000A0JS5F6,2.0,6054.0,100.9,100.9,100.9,100.9,13.08,100.9,5.07,100.9,6.0,,99.65,100.9,0.0,522175.1,0.0,2022-03-08,282.0,5.07,,,6.2,30.92,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,РЖД-32 обл,RU000A0JSGV0,20.0,39168.8,100.35,100.64,100.42,100.42,24.47,100.43,2.99,100.36,39.0,,100.6,100.42,0.0,514081.2,0.0,2032-06-25,45.0,2.91,,,6.52,32.51,2021-07-09,2021-05-25,1000.0,SUR,,6.1214,,2022-07-13,RUB,3
TQCB,2021-05-25,ФСК ЕЭС-22,RU000A0JSQ58,4.0,14108.4,99.64,101.0,101.0,101.0,22.37,100.77,1.1,99.64,14.0,,100.5,101.0,0.0,1798007.4,0.0,2027-07-21,64.0,2.41,,,6.92,34.51,2021-07-28,2021-05-25,1000.0,SUR,,5.9931,,2022-08-03,RUB,3
TQCB,2021-05-25,Роснефть04,RU000A0JT940,18.0,40982.1,102.22,102.64,102.63,102.63,7.79,102.46,5.99,102.22,40.0,,102.63,102.63,0.0,1176118.6,0.0,2022-10-17,490.0,6.12,,,7.9,39.39,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,Роснефть05,RU000A0JT965,14.0,19483.7,102.32,102.6,102.6,102.6,7.79,102.55,6.01,102.6,19.0,,102.73,102.6,0.0,505448.9,0.0,2022-10-17,490.0,6.05,,,7.9,39.39,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,МЕТАЛИНВ 3,RU000A0JTLL9,1.0,7189.0,102.7,102.7,102.7,102.7,24.31,102.7,6.01,102.7,7.0,,102.4,102.7,0.0,30695700.8,0.0,2023-01-27,574.0,6.01,,,7.65,38.15,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,Башнефть06,RU000A0JTM28,5.0,659959.6,101.52,101.69,101.69,101.69,23.63,101.69,6.72,101.69,649.0,101.69,101.69,101.69,693494.0,672143.0,693494.0,2023-01-31,577.0,6.72,,,7.7,38.39,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,Башнефть07,RU000A0JTM36,12.0,56632.5,98.45,99.94,99.4,99.4,16.88,99.36,6.11,99.94,57.0,,99.15,99.4,0.0,541355.6,0.0,2023-01-31,419.0,6.15,,,5.5,27.42,2022-08-02,2021-05-25,1000.0,SUR,,6.0159,,2022-08-08,RUB,3
TQCB,2021-05-25,Башнефть08,RU000A0JTM44,6.0,42660.0,101.3,101.85,101.85,101.85,23.63,101.57,6.62,101.85,42.0,101.6,101.6,101.85,1090131.0,1061734.0,1090131.0,2023-01-31,577.0,6.8,,,7.7,38.39,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,РусГидро07,RU000A0JTMG7,3.0,15504.4,94.44,113.0,94.44,94.44,0.3,103.36,3.55,113.0,15.0,,,94.44,0.0,0.0,0.0,2023-02-02,617.0,-1.84,,,0.1,0.5,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,Роснефть07,RU000A0JTS06,3.0,4067.2,101.68,101.68,101.68,101.68,14.8,101.68,6.38,101.68,4.0,101.68,101.68,101.68,1564855.0,1564855.0,1564855.0,2023-03-10,617.0,6.38,,,7.3,36.4,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,Роснефть08,RU000A0JTS22,9.0,353651.5,100.56,101.65,100.56,100.57,14.8,101.04,7.07,101.65,350.0,,101.11,100.57,0.0,500515.6,0.0,2023-03-10,617.0,6.78,,,7.3,36.4,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,МТС БО-01,RU000A0JTTA5,1.0,30600.0,102.0,102.0,102.0,102.0,11.04,102.0,5.4,102.0,30.0,,100.39,102.0,0.0,723818.6,0.0,2023-03-22,633.0,5.4,,,6.5,32.41,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,РЖД-28 обл,RU000A0JTU85,2.0,10026994.2,100.29,100.29,100.29,100.29,10.43,100.29,6.79,100.29,9998.0,100.3,100.3,100.29,32577440.3,22547440.3,32577440.3,2028-03-21,950.0,6.79,,,6.8,33.91,2024-03-26,2021-05-25,1000.0,SUR,,6.7685,,2024-03-29,RUB,3
TQCB,2021-05-25,РСХБ 20,RU000A0JTVJ2,2.0,4088.4,102.21,102.21,102.21,102.21,9.55,102.21,5.76,102.21,4.0,,101.77,102.21,0.0,513926.5,0.0,2023-04-11,315.0,5.76,,,8.3,41.39,2022-04-12,2021-05-25,1000.0,SUR,,5.7044,,2022-04-14,RUB,3
TQRD,2021-05-25,ОткрХОЛ 5,RU000A0JTX09,9.0,2096.1,1.79,1.8,1.79,1.79,,1.79,,1.8,117.0,,,1.79,0.0,0.0,0.0,2028-04-25,,,,,0.01,0.02,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,Роснефть09,RU000A0JTYM0,3.0,4080.0,102.0,102.0,102.0,102.0,33.56,102.0,6.02,102.0,4.0,,102.27,102.0,0.0,40042210.6,0.0,2023-05-30,676.0,6.02,,,7.0,34.9,,2021-05-25,1000.0,SUR,,,,,RUB,3
TQCB,2021-05-25,Роснефть10,RU000A0JTYN8,1.0,1012.0,101.2,101.2,101.2,101.2,33.56,101.2,6.45,101.2,1.0,,102.85,101.2,0.0,106235945.9,0.0,2023-05-30,676.0,6.45,,,7.0,34.9,,2021-05-25,1000.0,SUR,,,,,RUB,3
