BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
EQOB,2012-01-27,МГор44-об,RU000A0E6TK0,1.0,986.0,98.6,98.6,98.6,98.6,7.45,98.6,7.75,98.6,1.0,100.05,99.39,100.05,6838416.5,1019791.5,6838416.5,2015-06-24,1115.0,7.75,,,,,,,1000.0,SUR,,,,,
EQNB,2012-01-27,РЖД-07обл,RU000A0GJNG2,1.0,108114079.5,100.35,100.35,100.35,100.35,16.34,100.35,7.19,100.35,107737.0,100.35,100.35,100.35,255223017.1,255223017.1,255223017.1,2012-11-07,278.0,7.19,,,,,,,1000.0,SUR,,,,,
EQNO,2012-01-27,Детмир 01,RU000A0GKGF6,14.0,1017590.5,92.5,92.53,92.5,92.5,12.11,92.51,11.57,92.5,1100.0,92.51,92.51,92.51,1017590.5,1017590.5,1017590.5,2015-05-26,1064.0,11.57,,,,,,,1000.0,SUR,,,,,
EQOB,2012-01-27,АИЖК 5об,RU000A0GKM53,1.0,6024.0,100.4,100.4,100.4,100.4,1.45,100.4,6.94,100.4,10.0,100.09,100.11,100.09,14814716.4,4684486.8,14814716.4,2012-10-15,257.0,6.94,,,,,,,600.0,SUR,,,,,
EQOB,2012-01-27,Мосэнерго2,RU000A0GN9B5,6.0,571023.1,100.0,100.1,100.1,100.1,32.49,100.0,6.27,100.01,571.0,100.12,100.12,100.12,70944709.4,70944709.4,70944709.4,2016-02-18,27.0,7.67,,,,,,,1000.0,SUR,,,,,
EQNO,2012-01-27,КОПЕЙКА 02,RU000A0GNYS6,8.0,13233630.4,100.42,100.46,100.43,100.43,32.55,100.44,8.26,100.44,13176.0,100.44,100.44,100.44,19260830.4,15242630.4,19260830.4,2012-02-15,19.0,8.05,,,,,,,1000.0,SUR,,,,,
EQOB,2012-01-27,Саха(Якут),RU000A0GRAN8,8.0,75022848.0,100.5,100.5,100.5,100.5,1.96,100.5,7.4,100.5,124416.0,100.5,100.5,100.5,75342361.8,75102121.8,75342361.8,2013-04-11,251.0,7.4,,,,,,,600.0,SUR,,,,,
EQNB,2012-01-27,ВТБ - 6 об,RU000A0JNGU3,6.0,22133806.4,99.8,99.91,99.91,99.89,3.16,99.81,7.6,99.8,22176.0,99.85,99.84,99.85,48082480.4,46081680.4,48082480.4,2016-07-06,164.0,7.84,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2012-01-27,ДОМ.РФ 8об,RU000A0JNPK5,2.0,39540757.5,99.25,99.8,99.25,99.25,8.99,99.25,8.22,99.8,39839.0,99.25,99.24,99.25,40094173.0,39994223.0,40094173.0,2018-06-15,786.0,8.22,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2012-01-27,МГор48-об,RU000A0JNYN1,4.0,428450.0,90.2,90.2,90.2,90.2,10.3,90.2,8.24,90.2,475.0,90.44,90.44,90.44,2401103.6,2401103.6,2401103.6,2022-06-11,2662.0,8.24,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2012-01-27,Лукойл4обл,RU000A0JNYY8,5.0,128269556.0,99.95,100.0,100.0,100.0,10.14,99.97,7.53,99.95,128305.0,99.92,99.96,99.92,232548058.5,166402385.0,232548058.5,2013-12-05,640.0,7.55,,,,,,,1000.0,SUR,,,,,
EQOB,2012-01-27,АИЖК 9об,RU000A0JP1V5,1.0,79920.0,99.9,99.9,99.9,99.9,14.98,99.9,7.75,99.9,80.0,98.81,98.85,98.81,750972.0,553552.0,750972.0,2017-02-15,906.0,7.75,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2012-01-27,РСХБ 3,RU000A0JP2G4,2.0,112218.5,100.85,101.1,101.1,101.1,41.05,101.1,8.83,100.85,111.0,101.18,101.19,101.18,14688617.5,9566381.5,14688617.5,2017-02-09,672.0,8.83,,,,,,,1000.0,SUR,,,,,RUR
EQNO,2012-01-27,СУ-155 3об,RU000A0JP2J8,18.0,853734.2,99.6,99.77,99.66,99.66,56.72,99.62,19.93,99.7,857.0,99.62,99.62,99.62,853734.2,853734.2,853734.2,2012-02-15,19.0,20.8,,,,,,,1000.0,SUR,,,,,
EQNO,2012-01-27,КОПЕЙКА 03,RU000A0JP2L4,5.0,4934268.0,100.08,100.1,100.08,100.08,19.33,100.09,8.42,100.1,4930.0,100.08,100.08,100.08,8444330.6,8444330.6,8444330.6,2012-02-15,19.0,8.21,,,,,,,1000.0,SUR,,,,,
EQNB,2012-01-27,ОИЖК-01,RU000A0JP328,2.0,280419.3,99.9,99.9,99.9,99.9,27.82,99.9,10.81,99.9,401.0,99.64,99.63,99.64,1010682.68,911483.37,1010682.68,2012-02-21,25.0,10.81,,,,,,,700.0,SUR,,,,,
EQNB,2012-01-27,УГМК-УЭМ01,RU000A0JP3L2,2.0,68000.0,100.0,100.0,100.0,100.0,33.9,100.0,8.28,100.0,68.0,,,,0.0,0.0,0.0,2012-02-28,32.0,8.28,,,,,,,1000.0,SUR,,,,,
EQOS,2012-01-27,ТГК-1 01,RU000A0JP435,4.0,2994000.0,100.0,100.0,100.0,100.0,31.67,100.0,8.54,100.0,2994.0,100.0,100.0,100.0,3100106.0,3050056.0,3100106.0,2014-03-11,46.0,8.54,,,,,,,1000.0,SUR,,,,,
EQDB,2012-01-27,РазгуляйФ3,RU000A0JP4B1,1.0,1000.0,100.0,100.0,100.0,100.0,61.95,100.0,17.16,100.0,1.0,78.64,78.62,78.64,731390.7,730400.6,731390.7,2012-03-16,49.0,17.16,,,,,,,1000.0,SUR,,,,,
EQNB,2012-01-27,Тюменэнрг2,RU000A0JP5N3,3.0,8641142.5,100.0,100.25,100.25,100.25,28.6,100.23,7.22,100.0,8621.0,100.26,100.26,100.26,28452164.0,28427139.0,28452164.0,2012-03-29,62.0,7.34,,,,,,,1000.0,SUR,,,,,
EQNO,2012-01-27,РусСтанд-8,RU000A0JP6F7,10.0,81854891.7,99.93,99.99,99.99,99.99,22.29,99.98,7.86,99.93,81869.0,99.98,99.98,99.98,81854891.7,81854891.7,81854891.7,2012-04-13,77.0,7.91,,,,,,,1000.0,SUR,,,,,
EQOB,2012-01-27,Чувашия-06,RU000A0JP6K7,1.0,400000.0,100.0,100.0,100.0,100.0,1.98,100.0,7.43,100.0,400.0,99.95,99.96,99.95,21778274.0,11869474.0,21778274.0,2012-04-17,81.0,7.43,,,,,,,1000.0,SUR,,,,,
EQNB,2012-01-27,Ленэнерго3,RU000A0JP6L5,1.0,25072.5,100.29,100.29,100.29,100.29,21.97,100.29,6.74,100.29,25.0,100.14,100.15,100.14,139549553.8,117420023.4,139549553.8,2012-04-18,82.0,6.74,,,,,,,1000.0,SUR,,,,,
EQOB,2012-01-27,Мос.обл.7в,RU000A0JP6R2,3.0,323785.6,99.4,99.68,99.42,99.41,21.92,99.63,8.45,99.68,325.0,99.23,99.23,99.23,7536365.4,7440626.4,7536365.4,2014-04-16,743.0,8.34,,,,,,,1000.0,SUR,,,,,
