BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2021-04-16,АбрауДюрсо,ABRD,481.0,4288625.0,208.5,207.0,209.5,209.5,208.5,209.5,20570.0,208.5,208.5,209.5,4288625.0,4288625.0,4288625.0,0.0,3
TQBR,2021-04-16,АСКО ао,ACKO,102.0,1728738.0,6.18,6.1,6.18,6.14,6.12,6.14,282800.0,6.12,6.12,6.14,1728738.0,1728738.0,1728738.0,0.0,3
SMAL,2021-04-16,Система ао,AFKS,5.0,938.61,35.969,35.905,37.818,,36.558,37.78,26.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-04-16,Система ао,AFKS,21067.0,1750879300.8,36.9,36.16,36.919,36.592,36.558,36.71,47897000.0,36.545,36.545,36.592,1668183466.8,1668183466.8,1668183466.8,0.0,3
SMAL,2021-04-16,Аэрофлот,AFLT,9.0,2172.82,66.02,65.06,66.92,,66.22,66.44,33.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-04-16,Аэрофлот,AFLT,37836.0,1296908997.4,65.54,65.4,66.94,65.82,66.22,66.48,19582750.0,66.22,66.22,65.82,1170969062.4,1170969062.4,1170969062.4,0.0,3
TQBR,2021-04-16,AGRO-гдр,AGRO,10356.0,231598724.4,892.0,892.0,913.0,901.0,905.2,901.0,255829.0,905.2,905.2,901.0,231598724.4,231598724.4,231598724.4,0.0,3
TQTF,2021-04-16,ETF AKCH,AKCH,1498.0,32629789.5,100.49,98.8,100.49,99.71,99.81,99.71,327082.0,99.76,99.76,99.71,32629789.5,32629789.5,32629789.5,27644568.68,3
TQTE,2021-04-16,AKEU ETF,AKEU,449.0,202391.67,11.94,11.91,12.04,12.04,12.0,12.04,16868.0,1106.64,1106.64,12.04,18666725.54,18666725.54,18666725.54,202292.62,3
TQTF,2021-04-16,ETF AKMB,AKMB,3981.0,460460.31,1.0675,1.0675,1.0746,1.0693,1.0691,1.0694,430934.0,,1.0683,1.0693,0.0,1031815.04,0.0,3936711.44,3
TQTF,2021-04-16,ETF AKME,AKME,268.0,274240.55,115.3,115.3,117.63,117.32,116.99,117.01,2345.0,,116.0,117.32,0.0,968706.86,0.0,1081918.8,3
TQTD,2021-04-16,AKNX ETF,AKNX,460.0,375039.29,20.33,20.31,20.62,20.4,20.53,20.51,18260.0,1580.4,1580.4,20.4,29537698.23,29537698.23,29537698.23,325894.78,3
TQTF,2021-04-16,AKNX ETF,AKNX,59.0,666873.4,1559.6,1541.8,1649.8,1570.4,1580.4,1552.8,430.0,1580.4,1580.4,1570.4,29537698.23,29537698.23,29537698.23,24649801.12,3
TQBR,2021-04-16,Акрон,AKRN,455.0,6583422.0,6182.0,6168.0,6200.0,6174.0,6182.0,6182.0,1065.0,6182.0,6182.0,6174.0,6583422.0,6583422.0,6583422.0,0.0,3
TQTD,2021-04-16,AKSP ETF,AKSP,519.0,699402.62,14.33,14.26,14.39,14.37,14.37,14.37,48683.0,1105.94,1105.94,14.37,53840572.61,53840572.61,53840572.61,473447.21,3
TQBR,2021-04-16,БестЭфБ ао,ALBK,17.0,23790.0,58.5,57.5,58.5,58.0,58.0,58.5,410.0,,59.0,58.0,0.0,500680.0,0.0,0.0,3
TQBR,2021-04-16,АЛРОСА-Нюр,ALNU,6.0,2852400.0,62200.0,62000.0,62200.0,62000.0,62000.0,62000.0,46.0,62000.0,62000.0,62000.0,4279200.0,3162400.0,4279200.0,0.0,3
SMAL,2021-04-16,АЛРОСА ао,ALRS,7.0,1273.14,108.98,104.9,108.98,,105.88,106.99,12.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-04-16,АЛРОСА ао,ALRS,28019.0,1678801559.4,106.97,104.88,107.47,106.09,105.88,106.13,15855500.0,105.87,105.87,106.09,1618255585.2,1618255585.2,1618255585.2,0.0,3
TQTD,2021-04-16,AMEM ETF,AMEM,512.0,17624.07,1.318,1.318,1.325,1.324,1.322,1.324,13336.0,101.734,101.733,1.324,1356714.56,1356714.56,1356714.56,0.0,3
TQBR,2021-04-16,АшинскийМЗ,AMEZ,1140.0,11501975.5,9.075,9.0,9.295,9.21,9.185,9.195,1252400.0,9.185,9.185,9.21,11501975.5,11501975.5,11501975.5,0.0,3
TQTF,2021-04-16,AMRE ETF,AMRE,546.0,4541037.9,100.7,100.5,101.8,101.4,101.6,101.3,44696.0,101.6,101.6,101.4,4541037.9,4541037.9,4541037.9,0.0,3
TQTD,2021-04-16,AMVF ETF,AMVF,462.0,20691.92,1.312,1.312,1.325,1.321,1.319,1.321,15691.0,101.515,101.516,1.321,1592880.05,1592880.05,1592880.05,0.0,3
SMAL,2021-04-16,Аптеки36и6,APTK,3.0,52.82,13.6,12.73,13.6,,13.856,12.73,4.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-04-16,Аптеки36и6,APTK,6855.0,3745076.4,13.848,13.738,13.942,13.892,13.856,13.866,270280.0,13.856,13.856,13.892,3745076.4,3745076.4,3745076.4,0.0,3
TQBR,2021-04-16,РусАква ао,AQUA,363.0,6391800.0,306.0,301.5,307.0,304.5,304.0,305.0,21030.0,304.0,304.0,304.5,6391800.0,6391800.0,6391800.0,0.0,3
TQBR,2021-04-16,Арсагера,ARSA,400.0,3963890.0,4.21,4.21,4.77,4.43,4.54,4.43,873000.0,4.54,4.54,4.43,3963890.0,3963890.0,3963890.0,0.0,3
TQBR,2021-04-16,АстрЭнСб,ASSB,140.0,881428.5,1.11,1.1,1.139,1.13,1.1155,1.13,790000.0,1.1155,1.1155,1.13,881428.5,881428.5,881428.5,0.0,3
TQBR,2021-04-16,Авангрд-ао,AVAN,134.0,566240.0,1200.0,1145.0,1200.0,1185.0,1180.0,1180.0,479.0,1180.0,1180.0,1185.0,566240.0,566240.0,566240.0,0.0,3
TQBR,2021-04-16,Башнефт ао,BANE,747.0,12287476.5,1617.0,1604.0,1619.0,1606.0,1611.0,1606.0,7627.0,1611.0,1611.0,1606.0,12287476.5,12287476.5,12287476.5,0.0,3
TQBR,2021-04-16,Башнефт ап,BANEP,3064.0,86566917.5,1222.0,1211.0,1225.0,1211.0,1217.0,1211.0,71122.0,1217.0,1217.0,1211.0,86566917.5,86566917.5,86566917.5,0.0,3
TQTF,2021-04-16,BCSB ETF,BCSB,225.0,483700.28,10.109,9.991,10.109,10.109,10.109,10.109,47850.0,,10.109,10.109,0.0,3446255.86,0.0,1495120.16,3
TQBR,2021-04-16,Белуга ао,BELU,1953.0,28628597.0,3500.0,3500.0,3578.0,3520.0,3529.0,3520.0,8112.0,3529.0,3529.0,3520.0,28628597.0,28628597.0,28628597.0,0.0,3
SMAL,2021-04-16,БашИнСв ап,BISVP,1.0,68.94,11.49,11.49,11.49,,9.34,11.49,6.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-04-16,БашИнСв ап,BISVP,64.0,242822.0,9.32,9.3,9.4,9.4,9.34,9.4,26000.0,,9.35,9.4,0.0,505029.0,0.0,0.0,3
TQBR,2021-04-16,Белон ао,BLNG,378.0,2244872.2,7.05,6.91,7.36,7.126,7.082,7.128,317000.0,7.082,7.082,7.126,2244872.2,2244872.2,2244872.2,0.0,3
TQBR,2021-04-16,БурЗолото,BRZL,129.0,666711.0,1108.0,1099.0,1117.0,1113.0,1106.0,1113.0,603.0,1106.0,1106.0,1113.0,666711.0,666711.0,666711.0,0.0,3
SMAL,2021-04-16,БСП ао,BSPB,7.0,1511.6,73.98,60.01,73.98,,64.72,64.5,22.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-04-16,БСП ао,BSPB,3048.0,34943808.4,62.8,62.51,65.55,65.09,64.72,65.09,539920.0,64.72,64.72,65.09,34943808.4,34943808.4,34943808.4,0.0,3
SMAL,2021-04-16,МКБ ао,CBOM,1.0,42.59,7.099,7.099,7.099,,7.137,7.099,6.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-04-16,МКБ ао,CBOM,7007.0,339092535.9,7.108,7.082,7.185,7.177,7.137,7.171,47512500.0,7.137,7.137,7.177,337457539.5,337457539.5,337457539.5,0.0,3
TQBR,2021-04-16,ЧТПЗ ао,CHEP,277.0,12660055.0,310.0,308.5,313.5,311.5,311.5,311.5,40640.0,311.5,311.5,311.5,12660055.0,12660055.0,12660055.0,0.0,3
TQBR,2021-04-16,РН-ЗапСиб,CHGZ,18.0,68604.0,43.4,42.4,43.4,42.6,42.6,42.6,1610.0,,43.0,42.6,0.0,547974.0,0.0,0.0,3
TQBR,2021-04-16,ЧКПЗ ао,CHKZ,29.0,226300.0,5940.0,5880.0,6020.0,5960.0,5960.0,5960.0,38.0,,5920.0,5960.0,0.0,503580.0,0.0,0.0,3
