BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
TQBR,2016-03-16,АбрауДюрсо,ABRD,5.0,405500.0,109.5,109.5,110.0,110.0,109.5,110.0,3700.0,109.5,109.5,110.0,514650.0,503700.0,514650.0,
SMAL,2016-03-16,Система ао,AFKS,2.0,817.65,17.775,17.775,17.775,,18.165,17.775,46.0,,,,0.0,0.0,0.0,
TQBR,2016-03-16,Система ао,AFKS,3098.0,105838074.0,18.265,17.955,18.385,17.995,18.165,17.995,5825700.0,18.165,18.165,17.995,105838074.0,105838074.0,105838074.0,
SMAL,2016-03-16,Аэрофлот,AFLT,20.0,7127.32,69.55,68.68,69.74,,68.8,69.74,103.0,,,,0.0,0.0,0.0,
TQBR,2016-03-16,Аэрофлот,AFLT,11568.0,785462498.0,66.97,66.4,69.98,69.98,68.8,69.98,11406500.0,68.86,68.86,69.98,785462498.0,785462498.0,785462498.0,
TQBR,2016-03-16,AGRO-гдр,AGRO,264.0,7635137.0,1223.0,1205.0,1235.0,1219.0,1220.0,1219.0,6259.0,1220.0,1220.0,1219.0,7635137.0,7635137.0,7635137.0,
TQBR,2016-03-16,Акрон,AKRN,268.0,7677535.0,3725.0,3710.0,3775.0,3745.0,3745.0,3745.0,2051.0,3745.0,3745.0,3745.0,7677535.0,7677535.0,7677535.0,
TQBR,2016-03-16,АЛРОСА-Нюр,ALNU,4.0,637500.0,107000.0,104500.0,107000.0,106000.0,106500.0,104500.0,6.0,104000.0,104500.0,106000.0,1768500.0,1356500.0,1768500.0,
SMAL,2016-03-16,АЛРОСА ао,ALRS,3.0,493.92,73.92,70.0,73.92,,70.11,70.0,7.0,,,,0.0,0.0,0.0,
TQBR,2016-03-16,АЛРОСА ао,ALRS,7391.0,404459524.0,70.39,69.86,70.68,70.0,70.11,70.0,5769400.0,70.1,70.1,70.0,404459524.0,404459524.0,404459524.0,
SMAL,2016-03-16,АшинскийМЗ,AMEZ,1.0,60.6,4.04,4.04,4.04,,3.96,4.04,15.0,,,,0.0,0.0,0.0,
TQBR,2016-03-16,АшинскийМЗ,AMEZ,80.0,229902.0,4.0,3.93,4.0,3.99,3.96,3.99,58000.0,,3.98,3.99,0.0,528153.0,0.0,
TQBR,2016-03-16,Аптеки36и6,APTK,370.0,2545615.5,17.56,17.2,17.57,17.46,17.37,17.46,146590.0,17.37,17.37,17.46,2545615.5,2545615.5,2545615.5,
TQBR,2016-03-16,РусАква ао,AQUA,11.0,77190.0,37.0,36.5,37.0,37.0,36.8,37.0,2100.0,,37.0,37.0,0.0,500110.0,0.0,
TQDE,2016-03-16,Армада,ARMD,86.0,1190440.0,25.0,24.0,25.0,24.5,24.5,25.0,48540.0,24.5,24.5,24.5,1190440.0,1190440.0,1190440.0,
TQBR,2016-03-16,Арсагера,ARSA,10.0,39185.0,1.71,1.66,1.73,1.695,1.705,1.695,23000.0,,1.655,1.695,0.0,504505.0,0.0,
TQBR,2016-03-16,АстрЭнСб,ASSB,680.0,1337118.0,0.559,0.355,0.7,0.397,0.494,0.397,3007000.0,0.445,0.445,0.397,1337118.0,1337118.0,1337118.0,
TQBR,2016-03-16,АВТОВАЗ ао,AVAZ,250.0,1632756.0,9.31,9.18,9.33,9.25,9.27,9.25,176200.0,9.27,9.27,9.25,1632756.0,1632756.0,1632756.0,
TQBR,2016-03-16,АВТОВАЗ ап,AVAZP,415.0,3257402.0,3.285,3.215,3.39,3.275,3.305,3.275,985800.0,3.305,3.305,3.275,3257402.0,3257402.0,3257402.0,
TQBR,2016-03-16,Башнефт ао,BANE,2760.0,135595558.0,2575.0,2561.0,2609.5,2565.0,2576.5,2565.0,52585.0,2578.5,2578.5,2565.0,135595558.0,135595558.0,135595558.0,
TQBR,2016-03-16,Башнефт ап,BANEP,357.0,10066671.0,1900.0,1879.5,1900.0,1881.0,1887.5,1881.0,5336.0,1886.5,1886.5,1881.0,10066671.0,10066671.0,10066671.0,
TQBR,2016-03-16,БашИнСв ап,BISVP,43.0,470690.0,4.34,4.34,4.5,4.43,4.44,4.43,106000.0,,4.43,4.43,0.0,526590.0,0.0,
