BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2021-06-09,ПИК БО-П07,RU000A0ZZBJ7,75.0,13244520.4,100.0,100.12,100.05,100.05,39.57,100.03,7.43,100.12,13240.0,100.03,100.03,100.05,13244520.4,13244520.4,13244520.4,2021-06-25,16.0,7.94,,,8.7,43.38,,2021-06-09,1000.0,SUR,,,6.7321,,RUB,3
TQCB,2021-06-09,СберБ Б12R,RU000A0ZZBN9,215.0,14241607.0,100.6,100.93,100.72,100.72,26.24,100.58,6.54,100.93,14148.0,100.66,100.66,100.72,14241607.0,14241607.0,14241607.0,2022-02-02,231.0,6.76,,,7.6,37.9,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ЕвропланБ8,RU000A0ZZBV2,19.0,45006.8,99.81,100.3,100.13,100.13,32.84,100.02,7.27,100.3,45.0,,100.12,100.13,0.0,500578.4,0.0,2028-06-20,196.0,7.49,,,7.4,36.9,2021-12-28,2021-06-09,1000.0,SUR,,7.1276,,2021-12-31,RUB,3
TQCB,2021-06-09,КрасЯрКр15,RU000A0ZZC48,3.0,3036.0,99.6,102.0,102.0,102.0,10.88,101.2,6.43,99.6,3.0,,101.49,102.0,0.0,739845.9,0.0,2025-06-26,537.0,6.99,,,7.64,18.84,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ЛЕГЕНДА1P1,RU000A0ZZCV0,54.0,686699.67,100.2,100.6,100.55,100.55,4.1,100.32,6.82,100.2,3968.0,100.32,100.32,100.55,686699.67,686699.67,686699.67,2021-07-08,29.0,9.98,,,14.0,6.02,,2021-06-09,172.5,SUR,,,6.3863,,RUB,3
TQIR,2021-06-09,ЧЗПСН-П Б1,RU000A0ZZD39,18.0,213822.3,100.22,100.6,100.32,100.32,65.32,100.39,12.19,100.6,213.0,,100.53,100.32,0.0,511682.0,0.0,2021-07-12,33.0,11.35,,,16.0,79.78,,2021-06-09,1000.0,SUR,,,11.206,,RUB,3
TQCB,2021-06-09,СберИОС14,RU000A0ZZD88,2.0,1435336.0,106.4,106.4,106.4,106.4,,106.4,,106.4,1349.0,106.96,106.96,106.4,7386427.5,7386427.5,7386427.5,2022-01-17,,,,,0.01,0.35,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,СберБ Б16R,RU000A0ZZE20,46.0,2500408.6,100.71,101.2,100.98,100.98,28.77,100.82,6.96,101.17,2480.0,100.82,100.82,100.98,2500408.6,2500408.6,2500408.6,2023-01-18,550.0,7.07,,,7.5,37.4,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQIR,2021-06-09,СолЛизБО01,RU000A0ZZEA0,4.0,6027.8,100.1,100.6,100.6,100.54,18.49,100.46,8.11,100.1,6.0,,100.25,100.54,0.0,578463.6,0.0,2023-07-18,41.0,9.47,,,13.5,33.66,2021-07-20,2021-06-09,1000.0,SUR,,5.8883,,2021-08-03,RUB,3
TQCB,2021-06-09,ГазпромБ22,RU000A0ZZES2,22.0,78798.7,103.0,103.93,103.35,103.53,29.74,103.68,7.27,103.0,76.0,,104.2,103.53,0.0,505358.2,0.0,2048-06-23,1277.0,7.18,,,8.1,40.39,2025-07-22,2021-06-09,1000.0,SUR,,7.236,,2025-07-29,RUB,3
TQCB,2021-06-09,ГазпромБ23,RU000A0ZZET0,9.0,71896.0,103.76,104.34,103.76,103.76,29.74,104.2,7.15,104.34,69.0,,104.0,103.76,0.0,2424301.2,0.0,2048-06-23,1277.0,7.03,,,8.1,40.39,2025-07-22,2021-06-09,1000.0,SUR,,7.1186,,2025-07-29,RUB,3
TQCB,2021-06-09,Альфа-Б2Р1,RU000A0ZZEW4,26.0,23180873.9,100.21,100.53,100.38,100.38,27.92,100.38,5.23,100.21,23093.0,100.38,100.38,100.38,23180873.9,23180873.9,23180873.9,2021-08-02,54.0,5.23,,,7.9,39.61,,2021-06-09,1000.0,SUR,,,5.0239,,RUB,3
TQCB,2021-06-09,СберИОС17,RU000A0ZZFC3,2.0,1549500.0,103.3,103.3,103.3,103.3,,103.3,,103.3,1500.0,103.24,103.3,103.3,2181564.6,1561925.6,2181564.6,2022-02-15,,,,,0.01,0.35,,2021-06-09,1000.0,SUR,,,,,RUB,3
TQCB,2021-06-09,ЦППК 1P-02,RU000A0ZZFH2,71.0,6170147.2,100.21,100.58,100.38,100.38,34.27,100.41,7.23,100.58,6145.0,100.41,100.41,100.38,6170147.2,6170147.2,6170147.2,2021-08-03,55.0,7.02,,,9.85,49.12,,2021-06-09,1000.0,SUR,,,6.8898,,RUB,3
TQCB,2021-06-09,ПР-Лиз 1P1,RU000A0ZZFP5,6.0,109296.2,100.2,100.37,100.37,100.37,8.63,100.27,6.64,100.36,109.0,,100.26,100.37,0.0,528384.0,0.0,2021-08-04,56.0,7.34,,,9.0,22.44,,2021-06-09,1000.0,SUR,,-21.3499,18.7063,2021-06-28,RUB,3
TQOD,2021-06-09,АЛЬФА-Б1P3,RU000A0ZZG36,3.0,50748.71,99.5,99.87,99.87,99.87,0.03,99.5073,0.56,99.5001,51.0,99.4878,99.4878,99.87,5663298.89,5663298.89,5663298.89,2021-09-06,89.0,2.11,,,0.01,0.06,,2021-06-09,1000.0,USD,,,0.5461,,USD,3
TQCB,2021-06-09,СУЭК-Ф1P2R,RU000A0ZZG93,12.0,123358470.9,100.32,100.34,100.33,100.33,27.52,100.33,6.26,100.34,122955.0,100.33,100.33,100.33,123358470.9,123358470.9,123358470.9,2021-08-09,61.0,6.26,,,8.3,41.39,,2021-06-09,1000.0,SUR,,,6.0066,,RUB,3
TQCB,2021-06-09,ФолксвБ1P2,RU000A0ZZGE7,28.0,4848996.3,100.3,100.47,100.45,100.43,26.86,100.43,6.14,100.47,4828.0,100.43,100.43,100.43,4848996.3,4848996.3,4848996.3,2021-08-17,69.0,6.25,,,8.6,43.12,,2021-06-09,1000.0,SUR,,,5.9072,,RUB,3
TQCB,2021-06-09,РЖД 1Р-08R,RU000A0ZZGT5,3.0,3034.8,100.5,101.49,101.49,101.49,21.66,101.16,-1.85,100.5,3.0,,100.75,101.49,0.0,5657972.4,0.0,2028-08-03,64.0,-0.02,,,6.7,33.41,2021-08-12,2021-06-09,1000.0,SUR,,,,,RUB,3
