BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2020-06-22,МГор48-об,RU000A0JNYN1,13.0,98491.5,101.11,101.66,101.66,101.66,1.81,101.54,5.17,101.55,97.0,,101.85,101.66,0.0,1449391.4,0.0,2022-06-11,688.0,5.23,,,6.0,30.08,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,РЖД-19 обл,RU000A0JQ7Z2,1.0,10787000.0,107.87,107.87,107.87,107.87,34.63,107.87,5.72,107.87,10000.0,107.69,107.74,107.87,71563895.3,49039821.8,71563895.3,2024-07-08,1261.0,5.72,,,7.85,39.14,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,Мечел  4об,RU000A0JQ8V9,3.0,2755.0,100.0,102.0,102.0,102.0,4.24,100.18,,100.0,11.0,,,102.0,0.0,0.0,0.0,2021-07-15,,,,,9.25,5.77,,2020-06-22,250.0,RUR,,,,,RUB,3
TQCB,2020-06-22,РЖД-23 обл,RU000A0JQRD9,13.0,51985.7,108.25,108.55,108.48,108.48,32.48,108.3,5.79,108.55,48.0,,108.37,108.48,0.0,11062271.2,0.0,2025-01-16,1403.0,5.84,,,7.85,39.14,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,ДОМ.РФ16об,RU000A0JQXG0,1.0,1023.0,102.3,102.3,102.3,102.3,0.4,102.3,4.57,102.3,4.0,,,102.3,0.0,0.0,0.0,2021-09-15,227.0,4.57,,,8.25,5.2,,2020-06-22,250.0,RUR,,,,,RUB,3
TQCB,2020-06-22,ФСК ЕЭС-06,RU000A0JR1Y7,1.0,149776.0,101.2,101.2,101.2,101.2,21.92,101.2,2.97,101.2,148.0,101.2,101.2,101.2,601116.0,601116.0,601116.0,2020-09-15,85.0,2.97,,,8.25,41.14,,2020-06-22,1000.0,RUR,,,2.9025,,RUB,3
TQCB,2020-06-22,ФСК ЕЭС-08,RU000A0JR209,2.0,119652.0,101.4,101.4,101.4,101.4,21.92,101.4,2.11,101.4,118.0,,101.39,101.4,0.0,509996.7,0.0,2020-09-15,85.0,2.11,,,8.25,41.14,,2020-06-22,1000.0,RUR,,,2.068,,RUB,3
TQCB,2020-06-22,ВЭБ.РФ 08,RU000A0JR3G0,8.0,1736495.8,101.49,101.5,101.5,101.49,18.34,101.49,4.73,101.49,1711.0,101.48,101.49,101.49,2422380.1,1823766.1,2422380.1,2020-10-13,113.0,4.77,,,9.7,48.37,,2020-06-22,1000.0,RUR,,,4.6158,,RUB,3
TQCB,2020-06-22,ВЭБ.РФ 06,RU000A0JR3H8,5.0,593447.0,101.09,101.1,101.1,101.1,15.84,101.1,4.75,101.1,587.0,101.1,101.1,101.1,1138349.0,647023.0,1138349.0,2020-10-13,113.0,4.75,,,8.38,41.79,,2020-06-22,1000.0,RUR,,,4.6294,,RUB,3
TQCB,2020-06-22,ФСК ЕЭС-09,RU000A0JR3M8,3.0,2965.1,98.53,98.99,98.99,98.84,0.18,98.84,3.38,98.53,3.0,,97.7,98.84,0.0,1517230.9,0.0,2020-10-16,116.0,3.88,,,0.1,0.5,,2020-06-22,1000.0,RUR,,,3.3116,,RUB,3
TQCB,2020-06-22,МТС 08,RU000A0JR4J2,1.0,1022.0,102.2,102.2,102.2,102.2,10.39,102.2,1.81,102.2,1.0,,103.9,102.2,0.0,564179.1,0.0,2020-11-03,134.0,1.81,,,7.9,39.39,,2020-06-22,1000.0,RUR,,,1.7885,,RUB,3
TQCB,2020-06-22,ДОМ.РФ17об,RU000A0JR5F7,1.0,1097.78,104.55,104.55,104.55,104.55,5.9,104.55,5.31,104.55,3.0,,103.93,104.55,0.0,615458.14,0.0,2022-04-15,427.0,5.31,,,9.05,7.9,,2020-06-22,350.0,RUR,,,,,RUB,3
TQCB,2020-06-22,Мечел 16об,RU000A0JR8P0,15.0,160195.2,100.44,101.3,100.45,100.51,28.93,100.75,7.37,101.3,159.0,,100.73,100.51,0.0,1003296.5,0.0,2021-02-09,225.0,6.86,,,8.0,39.89,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,ВЭБ.РФ 09,RU000A0JRCX7,17.0,129500.7,102.22,102.9,102.5,102.5,23.16,102.78,5.43,102.9,126.0,,102.82,102.5,0.0,1344828.6,0.0,2021-03-18,261.0,5.04,,,8.9,44.38,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,ВЭБлизинг3,RU000A0JREW5,2.0,9128.5,101.4,101.45,101.45,101.43,15.93,101.43,5.39,101.4,9.0,,101.5,101.43,0.0,2080687.5,0.0,2021-04-02,278.0,5.42,,,7.27,36.25,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,РУСАЛБАл08,RU000A0JRF11,2.0,17082.0,94.9,94.9,94.9,94.9,0.02,94.9,,94.9,18.0,,94.4,94.9,0.0,538071.5,0.0,2021-04-05,,,,,0.01,0.05,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,Акрон 04,RU000A0JRHF3,2.0,30393.8,101.3,101.49,101.3,101.3,6.05,101.31,5.06,101.49,30.0,,101.54,101.3,0.0,513792.4,0.0,2021-05-18,324.0,5.05,,,6.5,32.41,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,Акрон 05,RU000A0JRHG1,3.0,45628.8,101.38,101.4,101.4,101.4,6.05,101.4,4.95,101.38,45.0,,100.5,101.4,0.0,57684740.3,0.0,2021-05-18,324.0,4.95,,,6.5,32.41,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,Мечел 17об,RU000A0JRJS2,26.0,16110.5,100.06,100.85,100.5,100.5,1.2,100.69,,100.85,80.0,,100.51,100.5,0.0,980949.68,0.0,2021-05-27,,,,,8.75,7.64,,2020-06-22,200.0,RUR,,,,,RUB,3
TQCB,2020-06-22,Мечел 18об,RU000A0JRJT0,3.0,26604.62,100.01,100.5,100.5,100.5,1.2,100.02,,100.01,133.0,,100.35,100.5,0.0,871070.82,0.0,2021-05-27,,,,,8.75,7.64,,2020-06-22,200.0,RUR,,,,,RUB,3
TQCB,2020-06-22,НефГазХол4,RU000A0JRJV6,24.0,74186.96,89.0,89.49,89.19,89.19,3.73,89.17,40.65,89.0,104.0,,89.01,89.19,0.0,811057.04,0.0,2021-06-01,162.0,40.72,,,8.5,33.91,2020-12-01,2020-06-22,800.0,RUR,,,,,RUB,3
TQCB,2020-06-22,Мечел 19об,RU000A0JRJY0,4.0,5432.2,100.5,100.6,100.5,100.5,0.96,100.6,,100.6,27.0,100.48,100.49,100.5,1246775.44,556515.24,1246775.44,2021-06-01,,,,,8.75,7.64,,2020-06-22,200.0,RUR,,,,,RUB,3
TQCB,2020-06-22,НефГазХол6,RU000A0JRK22,31.0,180705.12,88.28,89.8,88.99,88.96,3.17,88.93,40.71,89.8,254.0,,88.84,88.96,0.0,568554.96,0.0,2021-06-04,165.0,40.92,,,8.5,33.91,2020-12-04,2020-06-22,800.0,RUR,,,,,RUB,3
TQCB,2020-06-22,СПбТел 01,RU000A0JRKC4,2.0,2045.0,102.25,102.25,102.25,102.25,2.33,102.25,6.16,102.25,2.0,102.41,102.41,102.25,27970630.5,27869624.9,27970630.5,2021-06-11,347.0,6.16,,,8.5,42.38,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,Uranium 02,RU000A0JRTT9,1.0,2038.0,101.9,101.9,101.9,101.9,36.23,101.9,-2.89,101.9,2.0,100.54,100.52,101.9,525799.0,503606.5,525799.0,2023-08-11,53.0,-2.89,,,10.25,51.11,2020-08-14,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,ВЭБлизинг8,RU000A0JRUY7,1.0,20460.0,102.3,102.3,102.3,102.3,12.32,102.3,5.49,102.3,20.0,,102.08,102.3,0.0,563496.6,0.0,2021-10-19,465.0,5.49,,,7.25,36.15,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,ВЭБлизинг9,RU000A0JRV52,2.0,2005.0,100.25,100.25,100.25,100.25,12.12,100.25,7.16,100.25,2.0,,101.92,100.25,0.0,720606.2,0.0,2021-10-20,466.0,7.16,,,7.25,36.15,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,РСХБ 15,RU000A0JRVN8,9.0,157132.6,100.5,102.1,102.1,102.1,10.55,100.73,5.42,101.9,156.0,,101.45,102.1,0.0,3124603.9,0.0,2021-10-26,473.0,6.52,,,7.0,34.9,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,СПбТел 07,RU000A0JRVU3,138.0,773597.5,105.84,107.97,106.41,106.72,20.72,106.4,6.18,106.97,727.0,106.41,106.41,106.72,773597.5,773597.5,773597.5,2022-04-05,604.0,6.19,,,9.95,49.61,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,ОткрФКББ03,RU000A0JRZ74,3.0,5632.9,70.25,71.54,71.54,70.43,0.04,70.41,6.85,70.25,8.0,,68.68,70.43,0.0,3414139.9,0.0,2025-07-16,1849.0,7.18,,,0.01,0.05,,2020-06-22,1000.0,RUR,,,,,RUB,3
TQCB,2020-06-22,Промсвб3,RU000A0JS1F5,3.0,11417.0,102.0,103.97,103.97,103.79,2.44,103.79,3.9,103.97,11.0,,,103.79,0.0,0.0,0.0,2021-12-09,346.0,4.09,,,8.1,40.39,2021-06-10,2020-06-22,1000.0,RUR,,3.8383,,2021-06-15,RUB,3
