BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2020-09-22,BYNRUB_TOM,BYNRUB_TOM,30.18,28.865,30.18,28.865,3.0,824875.0,29.4598
CETS,2020-09-22,CHF_TODTOM,CHFRUBTODTOM,0.0063,0.0063,0.0063,0.0063,2.0,25004850.0,0.0063
CNGD,2020-09-22,CHF_TODTOM,CHFRUBTODTOM,0.028,-0.0159,0.0381,0.0381,44.0,88152620.42,
CETS,2020-09-22,CHFRUB_TOD,CHFRUB_TOD,83.2975,83.27,83.4575,83.3325,4.0,7172545.0,83.4017
CETS,2020-09-22,CHFRUB_TOM,CHFRUB_TOM,83.36,82.695,83.385,82.7325,137.0,173918737.5,83.1352
CNGD,2020-09-22,CHFRUB_TOM,CHFRUB_TOM,83.2639,82.6775,83.4958,82.78,812.0,18719849.9,
CETS,2020-09-22,CNYRUB_TOD,CNY000000TOD,11.2399,11.2175,11.2557,11.236,57.0,238721517.4,11.2292
CETS,2020-09-22,CNY_TODTOM,CNYRUBTODTOM,0.0003,0.0003,0.000614,0.000431,36.0,3572175377.9,0.000495
CNGD,2020-09-22,CNY_TODTOM,CNYRUBTODTOM,0.003768,-0.0021,0.0051,0.0051,54.0,19778334.28,
CETS,2020-09-22,CNYRUB_TOM,CNYRUB_TOM,11.2381,11.1761,11.2489,11.218,330.0,756949490.6,11.2109
CNGD,2020-09-22,CNYRUB_TOM,CNYRUB_TOM,11.2399,11.1741,11.2469,11.226,920.0,2571262.12,
CETS,2020-09-22,EUR_TODTOM,EUR000TODTOM,0.0119,0.01,0.0119,0.0104,284.0,169134459210.0,0.0108
CNGD,2020-09-22,EUR_TODTOM,EUR000TODTOM,0.0393,-0.0393,0.0462,0.0411,1936.0,31799484750.11,
SDBP,2020-09-22,EURRUB_TMB,EURRUB_TMB,89.255,89.045,89.255,89.045,6.0,535217500.0,89.2029
CETS,2020-09-22,EURUSD_TOD,EURUSD000TOD,1.17501,1.17221,1.1766,1.1753,39.0,426042438.46,1.17439
CNGD,2020-09-22,EURUSD_TOD,EURUSD000TOD,1.17939,1.16197,1.19119,1.18706,1433.0,77811784.49,
CETS,2020-09-22,EURUSD_TOM,EURUSD000TOM,1.1748,1.16944,1.1765,1.17135,459.0,4868104212.28,1.17359
CNGD,2020-09-22,EURUSD_TOM,EURUSD000TOM,1.17939,1.16197,1.19119,1.16985,1441.0,508662876.96,
CETS,2020-09-22,EURUSDTDTM,EURUSDTODTOM,2.1e-05,1.8e-05,2.1e-05,1.9e-05,52.0,20389108603.3,2e-05
CNGD,2020-09-22,EURUSDTDTM,EURUSDTODTOM,0.000394,-0.00016,0.000394,-0.00016,77.0,102679074.09,
CETS,2020-09-22,EURRUB_TOD,EUR_RUB__TOD,89.78,89.01,89.78,89.22,3730.0,13794486057.5,89.3396
CNGD,2020-09-22,EURRUB_TOD,EUR_RUB__TOD,89.885,88.3278,90.7839,89.19,2641.0,944578424.42,
CETS,2020-09-22,EURRUB_TOM,EUR_RUB__TOM,89.7625,89.005,89.7625,89.135,5620.0,20946560565.0,89.2433
CNGD,2020-09-22,EURRUB_TOM,EUR_RUB__TOM,89.7247,88.3278,90.7839,89.145,8727.0,1265283864.68,
CETS,2020-09-22,GBP_TODTOM,GBPRUBTODTOM,0.0079,0.0067,0.008,0.0067,13.0,332357840.0,0.0073
