BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,1999-10-08,Индекс МосБиржи,Индекс МосБиржи,95.34,,,,,,,2,,RUB,
SNDX,MICEX10INDEX,1999-10-08,Индекс МосБиржи 10,Индекс МосБиржи 10,114.09,111.1,116.8,111.1,319785806.81,,,2,,RUB,
SNDX,MICEXINDEXCF,1999-10-08,Индекс МосБиржи (архив),Индекс МосБиржи (архив),95.34,,,,,,,2,,RUB,
SNDX,MOEX10,1999-10-08,Индекс МосБиржи 10,Индекс МосБиржи 10,114.09,111.1,116.8,111.1,319785806.81,,,2,,RUB,
RTSI,RTSI,1999-10-08,Индекс РТС,Индекс РТС,93.3123,91.1567,93.841,91.1567,10482778.0,,,2,16776136312.0574,USD,
RTSI,RTSUSDCUR,1999-10-08,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,25.72,25.72,25.72,25.72,,,,2,,RUB,
