BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2012-07-05,BKTRUB_TOM,BKTRUB000TOM,36.148,35.9775,36.155,36.065,13.0,703494588.0,36.0765
CETS,2012-07-05,CNYRUB_TOD,CNY000000TOD,51.12,51.07,51.16,51.14,11.0,14984925.0,51.1256
CNGD,2012-07-05,CNYRUB_TOD,CNY000000TOD,51.14,51.14,51.14,51.14,1.0,7006180.0,
CETS,2012-07-05,EUR_TODTOM,EUR000TODTOM,0.0053,0.0053,0.0059,0.0059,310.0,50669426760.0,0.0056
CNGD,2012-07-05,EUR_TODTOM,EUR000TODTOM,0.0056,0.0056,0.0056,0.0056,2.0,812850825.6,
CETS,2012-07-05,EURUSD_TOD,EURUSD000TOD,1.2528,1.2505,1.2531,1.2507,14.0,97775152.96,1.2524
CETS,2012-07-05,EURUSD_TOM,EURUSD000TOM,1.2535,1.2369,1.2535,1.2392,121.0,3533333281.98,1.2433
CETS,2012-07-05,EURUSDTDTM,EURUSDTODTOM,0.0,-7e-06,5e-06,-7e-06,25.0,1111527430.29,1e-06
CETS,2012-07-05,EURRUB_TOD,EUR_RUB__TOD,40.796,40.535,40.796,40.599,1191.0,8825102244.6,40.655
CNGD,2012-07-05,EURRUB_TOD,EUR_RUB__TOD,40.75,40.6885,40.75,40.6975,7.0,261154077.5,
CETS,2012-07-05,EURRUB_TOM,EUR_RUB__TOM,40.61,40.28,40.7639,40.3048,1221.0,12806220736.1,40.4967
CNGD,2012-07-05,EURRUB_TOM,EUR_RUB__TOM,40.586,40.3475,40.65,40.4015,9.0,352159750.0,
CETS,2012-07-05,USDRUB_TOD,USD000000TOD,32.4299,32.3999,32.5194,32.44,4336.0,50650722642.9,32.4612
CNGD,2012-07-05,USDRUB_TOD,USD000000TOD,32.449,32.3225,32.519,32.48,28.0,1997161728.8,
CETS,2012-07-05,USD_TODTOM,USD000TODTOM,0.0044,0.0043,0.0049,0.0046,758.0,151103157230.0,0.0045
CNGD,2012-07-05,USD_TODTOM,USD000TODTOM,0.0046,0.0,0.0142,0.0142,10.0,2815365881.4,
CETS,2012-07-05,USDRUB_TOM,USD000UTSTOM,32.4199,32.3205,32.697,32.53,16206.0,225983673677.7,32.4821
CNGD,2012-07-05,USDRUB_TOM,USD000UTSTOM,32.4725,32.3475,32.66,32.4755,52.0,19487089500.0,
CETS,2012-07-05,USD_TOM1M,USDRUB_TOM1M,0.1653,0.1653,0.1653,0.1653,1.0,81209250.0,0.1653
CETS,2012-07-05,USD_TOM1W,USDRUB_TOM1W,0.036,0.0348,0.0365,0.0365,7.0,2135412000.0,0.0363
CETS,2012-07-05,USD_TOM2M,USDRUB_TOM2M,0.329,0.329,0.329,0.329,1.0,652948000.0,0.329
CETS,2012-07-05,USD_TOM3M,USDRUB_TOM3M,0.5047,0.5047,0.5073,0.5073,2.0,65648800.0,0.506
CETS,2012-07-05,USD_TOM6M,USDRUB_TOM6M,1.034,1.033,1.034,1.033,2.0,700390400.0,1.0335
