BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2015-09-15,BYRRUB_TOD,BYRRUB_TOD,38.45,38.2,38.45,38.2,2.0,507365.0,38.4367
CETS,2015-09-15,CNYRUB_TOD,CNY000000TOD,10.5715,10.5,10.5721,10.5141,20.0,47183017.9,10.5272
CETS,2015-09-15,CNY_TODTOM,CNYRUBTODTOM,0.002102,0.002102,0.002439,0.002324,12.0,1968945729.2,0.002259
CNGD,2015-09-15,CNY_TODTOM,CNYRUBTODTOM,-0.005503,-0.005503,0.0052,0.0052,14.0,2578849.94,
CETS,2015-09-15,CNYRUB_TOM,CNYRUB_TOM,10.5721,10.41,10.5721,10.475,526.0,5677315461.4,10.5015
CNGD,2015-09-15,CNYRUB_TOM,CNYRUB_TOM,10.475,10.475,10.4975,10.485,6.0,1877602938.5,
CETS,2015-09-15,CNY_TOMSPT,CNYRUB_TOM1D,0.002,0.002,0.0023,0.0023,3.0,251670630.0,0.002296
CETS,2015-09-15,EUR_TODTOM,EUR000TODTOM,0.0235,0.0235,0.0246,0.024,525.0,152450603770.0,0.0244
CNGD,2015-09-15,EUR_TODTOM,EUR000TODTOM,0.0245,-0.0417,0.048,0.0376,490.0,8807217164.51,
CETS,2015-09-15,EUR_TOM1W,EURRUB_TOM1W,0.173,0.1679,0.173,0.1679,2.0,305466120.0,0.1694
CETS,2015-09-15,EURUSD_TOD,EURUSD000TOD,1.1292,1.1292,1.13195,1.1316,63.0,278027568.98,1.1308
CETS,2015-09-15,EURUSD_TOM,EURUSD000TOM,1.12935,1.1265,1.1329,1.1267,277.0,2333616287.67,1.1308
CNGD,2015-09-15,EURUSD_TOM,EURUSD000TOM,1.1302,1.1302,1.1302,1.1302,1.0,1536102288.4,
CETS,2015-09-15,EURUSDTDTM,EURUSDTODTOM,1e-05,0.0,1.1e-05,5e-06,68.0,27501617235.31,5e-06
CNGD,2015-09-15,EURUSDTDTM,EURUSDTODTOM,-0.0001,-0.0001,-0.0001,-0.0001,1.0,76279.13,
CETS,2015-09-15,EURRUB_TOD,EUR_RUB__TOD,76.33,75.55,76.432,75.641,3060.0,16497898982.0,75.8357
CNGD,2015-09-15,EURRUB_TOD,EUR_RUB__TOD,75.8988,75.55,76.89,75.79,7.0,89068492.51,
CETS,2015-09-15,EURRUB_TOM,EUR_RUB__TOM,76.328,75.18,76.42,75.19,5353.0,24772456974.0,75.7037
CNGD,2015-09-15,GBP_TODTOM,GBPRUBTODTOM,0.0541,-0.0142,0.0541,0.047,12.0,3421557.76,
CETS,2015-09-15,GBPRUB_TOD,GBPRUB_TOD,104.899,103.35,104.899,103.35,16.0,2820486.0,104.4624
CETS,2015-09-15,GBPRUB_TOM,GBPRUB_TOM,104.135,102.5,104.135,102.81,29.0,40471055.0,102.9798
CETS,2015-09-15,GLD_TODTOM,GLDRUBTODTOM,0.7295,0.7295,0.7295,0.7295,2.0,503686456.0,0.7295
CETS,2015-09-15,GLDRUB_TOM,GLDRUB_TOM,2364.6,2364.6,2364.6,2364.6,1.0,23646.0,2364.6
CETS,2015-09-15,HKDRUB_TOM,HKDRUB_TOM,8.7273,8.615,8.7273,8.615,6.0,23128868.3,8.6593
CETS,2015-09-15,KZTRUB_TOD,KZT000000TOM,24.0,24.0,24.0,24.0,1.0,38400.0,24.0
CETS,2015-09-15,UAHRUB_TOD,UAH000000TOM,31.031,31.031,31.031,31.031,1.0,558558.0,31.031
CETS,2015-09-15,USDRUB_TOD,USD000000TOD,67.551,66.514,67.65,66.85,19266.0,119218365084.0,67.0062
CNGD,2015-09-15,USDRUB_TOD,USD000000TOD,67.49,66.8,68.12,66.85,16.0,2007977047.0,
CETS,2015-09-15,USD_TODTOM,USD000TODTOM,0.0214,0.0211,0.0222,0.0215,1245.0,934521917050.0,0.0215
CNGD,2015-09-15,USD_TODTOM,USD000TODTOM,0.021,-0.0368,0.0425,0.022,2912.0,63300275003.32,
CETS,2015-09-15,USDRUB_TOM,USD000UTSTOM,67.568,66.531,67.67,66.7,56695.0,338574724936.0,66.9633
CNGD,2015-09-15,USDRUB_TOM,USD000UTSTOM,67.49,66.556,67.67,66.571,32.0,10082425910.0,
CNGD,2015-09-15,USD_TOMSPT,USDRUB_TOM1D,0.0215,0.0215,0.0215,0.0215,3.0,16792875000.0,
CETS,2015-09-15,USD_TOM1M,USDRUB_TOM1M,0.621,0.621,0.6225,0.6225,2.0,3741362000.0,0.6224
CNGD,2015-09-15,USD_TOM1M,USDRUB_TOM1M,0.6225,0.6225,0.625,0.625,2.0,10168740000.0,
CETS,2015-09-15,USD_TOM1W,USDRUB_TOM1W,0.151,0.146,0.151,0.146,3.0,1013286000.0,0.15
CNGD,2015-09-15,USD_TOM1W,USDRUB_TOM1W,0.15,0.1449,0.15,0.1449,9.0,7204455714.0,
CETS,2015-09-15,USD_TOM2M,USDRUB_TOM2M,1.283,1.283,1.283,1.283,1.0,343427000.0,1.283
CNGD,2015-09-15,USD_TOM2M,USDRUB_TOM2M,1.26,1.26,1.26,1.26,1.0,3433120000.0,
CETS,2015-09-15,USD_TOM3M,USDRUB_TOM3M,1.8847,1.8847,1.8847,1.8847,1.0,346435500.0,1.8847
CETS,2015-09-15,USD_TOM6M,USDRUB_TOM6M,3.6967,3.6967,3.75,3.7028,12.0,213358140.0,3.717
CETS,2015-09-15,USD_TOM9M,USDRUB_TOM9M,5.65,5.65,5.65,5.65,1.0,365262000.0,5.65
