BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
EQOB,2020-05-05,МГор48-об,RU000A0JNYN1,18.0,59612.8,100.03,101.49,101.29,101.29,24.0,101.04,5.41,101.48,59.0,,100.03,101.29,0.0,9122325.7,0.0,2022-06-11,716.0,5.54,,,,30.08,,2020-05-05,1000.0,SUR,,,,,RUB
TQCB,2020-05-05,РЖД-23 обл,RU000A0JQRD9,3.0,17988.5,105.4,106.81,105.4,105.4,22.15,105.81,6.6,105.4,17.0,,105.45,105.4,0.0,5118584.2,0.0,2025-01-16,1447.0,6.5,,,,39.14,,2020-05-05,1000.0,SUR,,,,,RUB
TQCB,2020-05-05,ФСК ЕЭС-08,RU000A0JR209,1.0,3036.9,101.23,101.23,101.23,101.23,11.08,101.23,4.84,101.23,3.0,101.29,101.29,101.23,609766.4,609766.4,609766.4,2020-09-15,133.0,4.84,,,,41.14,,2020-05-05,1000.0,SUR,,,4.7026,,RUB
TQCB,2020-05-05,ВЭБ.РФ 08,RU000A0JR3G0,1.0,30480.0,101.6,101.6,101.6,101.6,5.58,101.6,6.04,101.6,30.0,101.84,101.82,101.6,7516856.7,1818514.6,7516856.7,2020-10-13,161.0,6.04,,,,48.37,,2020-05-05,1000.0,SUR,,,5.8837,,RUB
TQCB,2020-05-05,ВЭБ.РФ 06,RU000A0JR3H8,1.0,10122.0,101.22,101.22,101.22,101.22,4.82,101.22,5.61,101.22,10.0,101.08,101.05,101.22,1031060.6,805330.9,1031060.6,2020-10-13,161.0,5.61,,,,41.79,,2020-05-05,1000.0,SUR,,,5.4691,,RUB
EQOB,2020-05-05,ФСК ЕЭС-11,RU000A0JR3L0,1.0,1003.0,100.3,100.3,100.3,100.3,0.05,100.3,-0.56,100.3,1.0,,,100.3,0.0,0.0,0.0,2020-10-16,164.0,-0.56,,,,0.5,,2020-05-05,1000.0,SUR,,,-0.5658,,RUB
TQCB,2020-05-05,Газпрнеф10,RU000A0JR878,8.0,166436.7,101.47,103.0,103.0,102.61,20.41,102.74,3.42,101.47,162.0,,101.42,102.61,0.0,503065.7,0.0,2021-01-26,259.0,3.78,,,,37.9,,2020-05-05,1000.0,SUR,,,,,RUB
EQOB,2020-05-05,Мечел 16об,RU000A0JR8P0,18.0,221491.3,100.07,100.3,100.2,100.2,18.41,100.22,7.85,100.26,221.0,,100.15,100.2,0.0,515795.9,0.0,2021-02-09,273.0,7.82,,,,39.89,,2020-05-05,1000.0,SUR,,,,,RUB
TQCB,2020-05-05,ВЭБ.РФ 09,RU000A0JRCX7,8.0,12310.8,102.51,102.97,102.51,102.56,11.46,102.59,5.97,102.97,12.0,,102.95,102.56,0.0,631078.6,0.0,2021-03-18,309.0,5.87,,,,44.38,,2020-05-05,1000.0,SUR,,,,,RUB
EQOB,2020-05-05,Акрон 04,RU000A0JRHF3,1.0,1003.0,100.3,100.3,100.3,100.3,46.95,100.3,2.28,100.3,1.0,,100.45,100.3,0.0,1163206.0,0.0,2021-05-18,14.0,2.28,,,,50.86,2020-05-19,2020-05-05,1000.0,SUR,,2.0083,,2020-05-21,RUB
EQOB,2020-05-05,Акрон 05,RU000A0JRHG1,1.0,3013.5,100.45,100.45,100.45,100.45,46.95,100.45,-1.45,100.45,3.0,,100.44,100.45,0.0,744297.4,0.0,2021-05-18,14.0,-1.45,,,,50.86,2020-05-19,2020-05-05,1000.0,SUR,,-1.28,,2020-05-21,RUB
EQOB,2020-05-05,Мечел 17об,RU000A0JRJS2,47.0,86301.43,97.52,98.39,98.24,98.24,12.59,98.07,,97.53,352.0,,97.68,98.24,0.0,797588.53,0.0,2021-05-27,193.0,0.0,,,,14.23,,2020-05-05,250.0,SUR,,,,,RUB
EQOB,2020-05-05,Мечел 18об,RU000A0JRJT0,18.0,817669.87,97.51,98.23,98.23,98.23,12.59,98.04,,97.52,3336.0,98.04,98.04,98.23,817669.87,817669.87,817669.87,2021-05-27,193.0,0.0,,,,14.23,,2020-05-05,250.0,SUR,,,,,RUB
EQOB,2020-05-05,НефГазХол4,RU000A0JRJV6,17.0,892288.62,85.0,85.81,85.0,85.15,33.23,85.17,733.94,85.6,1164.0,85.17,85.17,85.15,892288.62,892288.62,892288.62,2021-06-01,28.0,713.38,,,,39.27,2020-06-02,2020-05-05,900.0,SUR,,,,,RUB
EQOB,2020-05-05,Мечел 19об,RU000A0JRJY0,32.0,1211718.68,97.52,98.5,98.5,98.39,12.24,98.08,,97.56,4942.0,98.08,98.08,98.39,1211718.68,1211718.68,1211718.68,2021-06-01,198.0,0.0,,,,14.23,,2020-05-05,250.0,SUR,,,,,RUB
EQOB,2020-05-05,НефГазХол6,RU000A0JRK22,13.0,1756088.73,84.64,85.5,84.64,85.2,32.58,85.02,619.4,85.47,2295.0,85.02,85.02,85.2,1756088.73,1756088.73,1756088.73,2021-06-04,31.0,583.92,,,,39.27,2020-06-05,2020-05-05,900.0,SUR,,,,,RUB
EQOB,2020-05-05,СПбТел 02,RU000A0JRKD2,5.0,42040.1,100.0,100.38,100.01,100.01,33.53,100.1,8.43,100.01,42.0,,100.1,100.01,0.0,500505.5,0.0,2021-06-11,38.0,7.53,,,,42.38,2020-06-12,2020-05-05,1000.0,SUR,,7.4542,,2020-06-17,RUB
