BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2020-12-21,АбрауДюрсо,ABRD,266.0,1654105.0,206.5,201.0,206.5,205.5,203.0,204.0,8140.0,203.0,203.0,205.5,1654105.0,1654105.0,1654105.0,0.0,3
SMAL,2020-12-21,АСКО ао,ACKO,3.0,357.76,5.24,3.68,5.3,,5.32,5.3,83.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-12-21,АСКО ао,ACKO,183.0,759916.0,5.56,5.16,5.56,5.32,5.32,5.3,142900.0,5.32,5.32,5.32,759916.0,759916.0,759916.0,0.0,3
SMAL,2020-12-21,Система ао,AFKS,12.0,2233.56,28.147,27.108,28.25,,27.869,27.55,81.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-12-21,Система ао,AFKS,33743.0,1997759886.9,28.421,27.08,28.864,27.482,27.869,27.912,71683200.0,27.871,27.871,27.482,1886364597.9,1886364597.9,1886364597.9,0.0,3
SMAL,2020-12-21,Аэрофлот,AFLT,12.0,2830.38,69.0,66.84,69.0,,68.24,67.86,42.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-12-21,Аэрофлот,AFLT,84045.0,3780445438.6,70.82,66.54,70.9,68.16,68.24,68.76,55398500.0,68.18,68.18,68.16,3436651600.6,3436651600.6,3436651600.6,0.0,3
TQBR,2020-12-21,AGRO-гдр,AGRO,5388.0,127180141.0,796.4,782.0,816.0,813.4,798.0,813.4,159362.0,798.0,798.0,813.4,127180141.0,127180141.0,127180141.0,0.0,3
TQTF,2020-12-21,ETF AKCH,AKCH,125.0,17757083.65,103.33,102.49,104.43,103.11,103.86,103.11,170971.0,103.86,103.86,103.11,17757083.65,17757083.65,17757083.65,0.0,3
TQTE,2020-12-21,AKEU ETF,AKEU,531.0,226505.87,10.72,10.33,10.8,10.47,10.46,10.47,21650.0,939.78,939.78,10.47,20346161.53,20346161.53,20346161.53,128161.34,3
TQTF,2020-12-21,ETF AKMB,AKMB,1516.0,1289219.15,1.0585,1.056,1.0589,1.0588,1.0564,1.0586,1218415.0,1.058,1.058,1.0588,1128008.13,1128008.13,1128008.13,4660467.94,3
TQTF,2020-12-21,ETF AKME,AKME,44.0,9727023.13,100.85,98.95,100.95,99.12,99.47,99.11,97786.0,99.47,99.47,99.12,9727023.13,9727023.13,9727023.13,0.0,3
TQTD,2020-12-21,AKNX ETF,AKNX,645.0,598746.17,18.55,18.21,18.67,18.27,18.44,18.27,32492.0,1351.8,1351.8,18.27,44706596.07,44706596.07,44706596.07,366283.51,3
TQTF,2020-12-21,AKNX ETF,AKNX,79.0,809221.0,1395.6,1377.2,1504.0,1339.6,1351.8,1377.2,581.0,1351.8,1351.8,1339.6,44706596.07,44706596.07,44706596.07,0.0,3
TQBR,2020-12-21,Акрон,AKRN,860.0,20186282.0,5954.0,5904.0,6024.0,5990.0,5966.0,5990.0,3384.0,5966.0,5966.0,5990.0,20186282.0,20186282.0,20186282.0,0.0,3
TQTD,2020-12-21,AKSP ETF,AKSP,554.0,655662.28,12.8,12.41,12.88,12.57,12.61,12.57,52016.0,924.14,924.14,12.57,48070207.96,48070207.96,48070207.96,406608.22,3
TQBR,2020-12-21,БестЭфБ ао,ALBK,293.0,1283575.0,58.0,55.0,59.5,56.5,56.5,56.5,22640.0,56.5,56.5,56.5,1283575.0,1283575.0,1283575.0,0.0,3
TQBR,2020-12-21,АЛРОСА-Нюр,ALNU,23.0,2355000.0,59200.0,57200.0,59400.0,59200.0,58800.0,59200.0,40.0,58800.0,58800.0,59200.0,2355000.0,2355000.0,2355000.0,0.0,3
SMAL,2020-12-21,АЛРОСА ао,ALRS,16.0,3555.21,98.71,91.81,98.71,,93.87,95.88,38.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-12-21,АЛРОСА ао,ALRS,30954.0,1801636858.6,94.6,92.64,95.28,94.44,93.87,94.85,19193120.0,93.82,93.82,94.44,1715108543.8,1715108543.8,1715108543.8,0.0,3
SMAL,2020-12-21,АшинскийМЗ,AMEZ,37.0,6828.22,11.58,6.195,12.085,,9.17,6.215,973.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-12-21,АшинскийМЗ,AMEZ,9409.0,95392285.0,9.185,8.325,10.0,8.81,9.17,8.81,10404600.0,9.17,9.17,8.81,95392285.0,95392285.0,95392285.0,0.0,3
SMAL,2020-12-21,Аптеки36и6,APTK,2.0,25.47,12.734,12.734,12.742,,13.612,12.742,2.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-12-21,Аптеки36и6,APTK,6037.0,29632426.94,13.406,13.352,13.85,13.55,13.612,13.55,2177050.0,13.612,13.612,13.55,29632426.94,29632426.94,29632426.94,0.0,3
TQBR,2020-12-21,РусАква ао,AQUA,916.0,13053120.0,251.0,241.5,251.0,245.0,245.0,245.5,53280.0,245.0,245.0,245.0,13053120.0,13053120.0,13053120.0,0.0,3
TQBR,2020-12-21,Арсагера,ARSA,15.0,149480.0,3.77,3.73,3.78,3.73,3.74,3.73,40000.0,,3.78,3.73,0.0,529000.0,0.0,0.0,3
TQBR,2020-12-21,АстрЭнСб,ASSB,60.0,101184.5,0.7895,0.7705,0.7895,0.776,0.7785,0.7785,130000.0,,0.7795,0.776,0.0,505883.0,0.0,0.0,3
TQBR,2020-12-21,Авангрд-ао,AVAN,889.0,6559050.0,1140.0,1015.0,1140.0,1020.0,1055.0,1020.0,6223.0,1055.0,1055.0,1020.0,6559050.0,6559050.0,6559050.0,0.0,3
TQBR,2020-12-21,Башнефт ао,BANE,1436.0,29644584.5,1661.5,1598.5,1662.5,1611.5,1617.0,1611.5,18334.0,1617.0,1617.0,1611.5,29644584.5,29644584.5,29644584.5,0.0,3
TQBR,2020-12-21,Башнефт ап,BANEP,6916.0,146945808.0,1195.0,1169.5,1199.5,1170.0,1178.0,1170.0,124739.0,1178.0,1178.0,1170.0,146945808.0,146945808.0,146945808.0,0.0,3
TQBR,2020-12-21,Белуга ао,BELU,425.0,5393459.0,1392.0,1356.0,1392.0,1358.0,1362.0,1358.0,3960.0,1362.0,1362.0,1358.0,5393459.0,5393459.0,5393459.0,0.0,3
TQBR,2020-12-21,БашИнСв ап,BISVP,195.0,798389.0,9.78,9.08,9.8,9.55,9.43,9.51,84700.0,9.43,9.43,9.55,798389.0,798389.0,798389.0,0.0,3
