BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2013-01-17,BKTRUB_TOM,BKTRUB000TOM,34.888,34.808,34.888,34.8585,11.0,466792478.5,34.8355
CETS,2013-01-17,CNYRUB_TOD,CNY000000TOD,49.0,48.942,49.06,49.0519,27.0,127016361.69,49.0013
CETS,2013-01-17,EUR_TODTOM,EUR000TODTOM,0.0058,0.0055,0.0065,0.0065,349.0,55847828270.0,0.0061
CNGD,2013-01-17,EUR_TODTOM,EUR000TODTOM,0.0063,-0.0155,0.0177,0.0058,6.0,968061.58,
CETS,2013-01-17,EURUSD_TOD,EURUSD000TOD,1.3283,1.328,1.3368,1.3368,54.0,2213709902.28,1.3316
CETS,2013-01-17,EURUSD_TOM,EURUSD000TOM,1.3284,1.3284,1.3375,1.3353,97.0,8442514460.94,1.3352
CETS,2013-01-17,EURUSDTDTM,EURUSDTODTOM,3e-06,-3e-06,1.5e-05,-3e-06,37.0,2815739358.96,4e-06
CETS,2013-01-17,EURRUB_TOD,EUR_RUB__TOD,40.437,40.2825,40.4745,40.4225,1204.0,14350869115.0,40.3695
CNGD,2013-01-17,EURRUB_TOD,EUR_RUB__TOD,40.32,40.32,40.3845,40.35,8.0,165447372.0,
CETS,2013-01-17,EURRUB_TOM,EUR_RUB__TOM,40.33,40.29,40.48,40.3825,1048.0,11143754573.0,40.4029
CNGD,2013-01-17,EURRUB_TOM,EUR_RUB__TOM,40.32,40.32,40.3225,40.32,3.0,52417250.0,
CETS,2013-01-17,USDRUB_TOD,USD000000TOD,30.3505,30.2015,30.3815,30.24,5830.0,49072386311.5,30.3122
CNGD,2013-01-17,USDRUB_TOD,USD000000TOD,30.3515,30.2775,30.393,30.2775,22.0,2763463557.0,
CETS,2013-01-17,USD_TODTOM,USD000TODTOM,0.0046,0.0043,0.005,0.005,544.0,180279062630.0,0.0046
CNGD,2013-01-17,USD_TODTOM,USD000TODTOM,0.0044,-0.0117,0.0133,0.0049,71.0,5337423520.29,
CETS,2013-01-17,USDRUB_TOM,USD000UTSTOM,30.2625,30.175,30.387,30.1945,15590.0,164205643233.0,30.2898
CNGD,2013-01-17,USDRUB_TOM,USD000UTSTOM,30.35,30.05,30.385,30.2823,28.0,12186593630.0,
CNGD,2013-01-17,USDRUB_LTV,USDRUB_FWD,30.417,30.4075,30.417,30.4075,2.0,4561600000.0,
CETS,2013-01-17,USD_TOMSPT,USDRUB_TOM1D,0.0055,0.0055,0.0185,0.0185,3.0,164043440.0,0.0064
CETS,2013-01-17,USD_TOM3M,USDRUB_TOM3M,0.4375,0.4375,0.4375,0.4375,1.0,616190000.0,0.4375
