BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2021-05-27,АбрауДюрсо,ABRD,362.0,3517845.0,197.0,196.0,199.0,197.5,197.5,197.5,17800.0,197.5,197.5,197.5,3517845.0,3517845.0,3517845.0,0.0,3
TQBR,2021-05-27,АСКО ао,ACKO,90.0,895674.0,5.88,5.8,6.02,5.8,5.9,5.8,151700.0,5.9,5.9,5.8,895674.0,895674.0,895674.0,0.0,3
SMAL,2021-05-27,Система ао,AFKS,22.0,3585.59,31.98,30.88,32.539,,30.993,31.88,113.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-05-27,Система ао,AFKS,34485.0,1947726742.3,31.783,30.32,31.783,30.786,30.993,30.913,62844100.0,31.011,31.011,30.786,1790240486.0,1790240486.0,1790240486.0,0.0,3
SMAL,2021-05-27,Аэрофлот,AFLT,3.0,496.44,70.92,70.92,70.92,,70.9,70.92,7.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-05-27,Аэрофлот,AFLT,29958.0,1532439473.6,70.72,70.0,71.72,71.72,70.9,71.12,21616910.0,70.88,70.88,71.72,1274634490.4,1274634490.4,1274634490.4,0.0,3
TQBR,2021-05-27,AGRO-гдр,AGRO,3356.0,94974218.6,935.4,928.4,940.4,940.4,935.2,940.4,101550.0,935.2,935.2,940.4,94974218.6,94974218.6,94974218.6,0.0,3
TQTF,2021-05-27,ETF AKCH,AKCH,551.0,6056925.66,100.8,99.52,100.8,100.34,100.02,100.42,60465.0,100.18,100.18,100.34,6056925.66,6056925.66,6056925.66,35931278.04,3
TQTE,2021-05-27,AKEU ETF,AKEU,364.0,499161.49,12.15,12.14,12.29,12.23,12.25,12.26,40731.0,1102.21,1102.21,12.23,44894185.29,44894185.29,44894185.29,220960.4,3
TQTF,2021-05-27,ETF AKMB,AKMB,1289.0,1151390.08,1.089,1.086,1.0896,1.0886,1.0888,1.0894,1057079.0,1.0892,1.0892,1.0886,1025831.55,1025831.55,1025831.55,2980099.66,3
TQTF,2021-05-27,ETF AKME,AKME,196.0,1769640.0,121.15,120.6,122.0,121.2,121.15,120.9,14591.0,121.3,121.3,121.2,1769640.0,1769640.0,1769640.0,851021.02,3
TQTD,2021-05-27,AKNX ETF,AKNX,150.0,18841.02,20.05,19.98,20.19,20.05,20.02,20.08,940.0,1472.6,1472.6,20.05,1656720.81,1656720.81,1656720.81,320867.38,3
TQTF,2021-05-27,AKNX ETF,AKNX,27.0,272401.4,1474.8,1468.8,1474.8,1473.2,1471.0,1473.0,185.0,1472.6,1472.6,1473.2,1656720.81,1656720.81,1656720.81,24015350.9,3
TQBR,2021-05-27,Акрон,AKRN,1403.0,20009208.0,5998.0,5930.0,6002.0,5950.0,5966.0,5950.0,3354.0,5966.0,5966.0,5950.0,20009208.0,20009208.0,20009208.0,0.0,3
TQTD,2021-05-27,AKSP ETF,AKSP,353.0,477528.82,14.5,14.34,14.5,14.47,14.44,14.47,33052.0,1061.53,1061.53,14.47,35085809.21,35085809.21,35085809.21,529371.13,3
TQBR,2021-05-27,БестЭфБ ао,ALBK,20.0,39115.0,63.0,63.0,63.5,63.5,63.0,63.5,620.0,,65.0,63.5,0.0,502270.0,0.0,0.0,3
SMAL,2021-05-27,АЛРОСА ао,ALRS,16.0,5479.38,113.6,112.56,119.99,,113.03,112.56,48.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2021-05-27,АЛРОСА ао,ALRS,29655.0,2824339043.7,113.9,112.5,114.39,112.92,113.03,113.23,24986750.0,113.03,113.03,112.92,2710821690.6,2710821690.6,2710821690.6,0.0,3
TQTD,2021-05-27,AMCC ETF,AMCC,119.0,5827.52,1.273,1.262,1.276,1.275,1.271,1.276,4586.0,,93.4,1.275,0.0,506400.22,0.0,15542.61,3
TQTF,2021-05-27,AMCC ETF,AMCC,24.0,24556.4,93.6,92.8,93.6,93.7,93.4,93.5,263.0,,93.4,93.7,0.0,506400.22,0.0,1163288.3,3
TQTD,2021-05-27,AMDG ETF,AMDG,64.0,1401.65,1.352,1.343,1.362,1.36,1.354,1.36,1036.0,,99.8,1.36,0.0,1560887.89,0.0,7654.59,3
TQTF,2021-05-27,AMDG ETF,AMDG,19.0,42188.1,99.3,98.8,99.9,99.9,99.5,99.8,423.0,,99.8,99.9,0.0,1560887.89,0.0,572908.62,3
TQTD,2021-05-27,AMEM ETF,AMEM,124.0,7012.93,1.325,1.325,1.34,1.337,1.332,1.337,5275.0,97.9,97.9,1.337,2036797.14,2036797.14,2036797.14,19863.3,3
TQTF,2021-05-27,AMEM ETF,AMEM,14.0,1521531.3,97.6,97.5,98.3,98.2,97.9,98.2,15540.0,97.9,97.9,98.2,2036797.14,2036797.14,2036797.14,1486670.64,3
TQBR,2021-05-27,АшинскийМЗ,AMEZ,449.0,2092909.5,12.5,12.205,12.5,12.31,12.335,12.31,169700.0,12.335,12.335,12.31,2092909.5,2092909.5,2092909.5,0.0,3
TQTD,2021-05-27,AMGF ETF,AMGF,66.0,2075.59,1.296,1.287,1.302,1.298,1.295,1.299,1602.0,,95.1,1.298,0.0,513359.81,0.0,6551.05,3
TQTF,2021-05-27,AMGF ETF,AMGF,8.0,44221.2,95.1,94.8,95.1,95.4,95.2,94.8,465.0,,95.1,95.4,0.0,513359.81,0.0,490313.77,3
TQTD,2021-05-27,AMGM ETF,AMGM,233.0,10274.92,1.51,1.487,1.51,1.49,1.496,1.49,6868.0,109.9,109.9,1.49,849248.63,849248.63,849248.63,19782.32,3
TQTF,2021-05-27,AMGM ETF,AMGM,42.0,94312.1,110.3,109.3,110.5,109.5,109.9,109.8,860.0,109.9,109.9,109.5,849248.63,849248.63,849248.63,1480609.74,3
TQTD,2021-05-27,AMGR ETF,AMGR,131.0,11423.33,1.168,1.155,1.177,1.175,1.172,1.175,9746.0,86.1,86.1,1.175,862666.36,862666.36,862666.36,16449.68,3
TQTF,2021-05-27,AMGR ETF,AMGR,42.0,23352.2,85.7,85.3,86.3,86.3,86.1,85.3,272.0,86.1,86.1,86.3,862666.36,862666.36,862666.36,1231177.92,3
TQTD,2021-05-27,AMHC ETF,AMHC,64.0,2943.41,1.365,1.356,1.372,1.366,1.363,1.367,2159.0,,100.5,1.366,0.0,508835.54,0.0,9841.67,3
TQTF,2021-05-27,AMHC ETF,AMHC,16.0,7319.9,100.3,99.9,100.5,100.4,100.2,100.3,73.0,,100.5,100.4,0.0,508835.54,0.0,736601.1,3
