BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2015-07-28,BYRRUB_TOD,BYRRUB_TOD,38.5,38.5,39.8,39.8,4.0,1133160.0,39.4829
CETS,2015-07-28,CNYRUB_TOD,CNY000000TOD,9.6438,9.63,9.72,9.7065,23.0,39088558.5,9.6898
CETS,2015-07-28,CNY_TODTOM,CNYRUBTODTOM,0.0025,0.0025,0.00288,0.002505,13.0,461939267.5,0.002802
CNGD,2015-07-28,CNY_TODTOM,CNYRUBTODTOM,0.005118,-0.0037,0.005118,-0.001312,12.0,4946497.05,
CETS,2015-07-28,CNYRUB_TOM,CNYRUB_TOM,9.6376,9.6245,9.7555,9.6469,341.0,2296772369.6,9.6956
CETS,2015-07-28,CNY_TOMSPT,CNYRUB_TOM1D,0.00265,0.0026,0.00265,0.0026,2.0,186880425.0,0.002612
CETS,2015-07-28,EUR_TODTOM,EUR000TODTOM,0.0217,0.02,0.0217,0.0202,428.0,116127752970.0,0.0207
CNGD,2015-07-28,EUR_TODTOM,EUR000TODTOM,0.0,-0.0353,0.0416,0.0353,400.0,1248183712.86,
CETS,2015-07-28,EUR_TOM1M,EURRUB_TOM1M,0.7097,0.7097,0.7097,0.7097,1.0,173431440.0,0.7097
CETS,2015-07-28,EUR_TOM1W,EURRUB_TOM1W,0.153,0.153,0.153,0.153,1.0,152139710.0,0.153
CNGD,2015-07-28,EUR_TOM1W,EURRUB_TOM1W,0.149,0.149,0.149,0.149,1.0,2315029500.0,
CETS,2015-07-28,EURUSD_TOD,EURUSD000TOD,1.1058,1.1024,1.10755,1.1024,28.0,277471556.61,1.10445
CNGD,2015-07-28,EURUSD_TOD,EURUSD000TOD,1.10705,1.10705,1.10705,1.10705,1.0,58566753.25,
CETS,2015-07-28,EURUSD_TOM,EURUSD000TOM,1.1058,1.1024,1.10735,1.1049,124.0,1050341235.67,1.1049
CETS,2015-07-28,EURUSDTDTM,EURUSDTODTOM,1.1e-05,0.0,1.2e-05,9e-06,40.0,8348464175.87,8e-06
CNGD,2015-07-28,EURUSDTDTM,EURUSDTODTOM,1.2e-05,1.2e-05,1.2e-05,1.2e-05,3.0,48340276119.81,
CETS,2015-07-28,EURRUB_TOD,EUR_RUB__TOD,66.292,66.109,66.868,66.4,3832.0,23016690032.0,66.5074
CNGD,2015-07-28,EURRUB_TOD,EUR_RUB__TOD,66.69,66.173,66.69,66.29,5.0,47838240.32,
CETS,2015-07-28,EURRUB_TOM,EUR_RUB__TOM,66.283,66.109,67.271,66.389,5513.0,30947852829.0,66.5721
CNGD,2015-07-28,EURRUB_TOM,EUR_RUB__TOM,66.173,66.1,66.35,66.1,3.0,137129941.0,
CNGD,2015-07-28,GBP_TODTOM,GBPRUBTODTOM,0.0417,-0.0126,0.0417,0.0417,9.0,1490379.1,
CETS,2015-07-28,GBPRUB_TOD,GBPRUB_TOD,92.501,92.102,94.7,94.3,11.0,1219355.0,93.7965
CETS,2015-07-28,GBPRUB_TOM,GBPRUB_TOM,93.89,93.56,94.52,94.111,25.0,56043825.0,93.8758
CETS,2015-07-28,GLD_TODTOM,GLDRUBTODTOM,0.6573,0.6573,0.6573,0.6573,2.0,500887992.0,0.6573
CETS,2015-07-28,GLDRUB_TOM,GLDRUB_TOM,2114.0,2114.0,2117.6,2117.6,2.0,63492.0,2116.4
CETS,2015-07-28,HKDRUB_TOM,HKDRUB_TOM,7.73,7.73,7.785,7.7738,4.0,11697190.4,7.7568
CETS,2015-07-28,KZTRUB_TOD,KZT000000TOM,32.1,32.1,32.1,32.1,1.0,102720.0,32.1
CETS,2015-07-28,USDRUB_TOD,USD000000TOD,59.716,59.716,60.559,60.559,24560.0,137953058753.0,60.1382
CNGD,2015-07-28,USDRUB_TOD,USD000000TOD,59.3,59.3,60.395,59.75,30.0,10244749243.0,
CETS,2015-07-28,USD_TODTOM,USD000TODTOM,0.0193,0.0175,0.0193,0.0177,1207.0,664929013330.0,0.0185
CNGD,2015-07-28,USD_TODTOM,USD000TODTOM,0.0,-0.0324,0.0374,0.015,2162.0,19215896837.49,
CETS,2015-07-28,USDRUB_TOM,USD000UTSTOM,59.916,59.813,60.937,60.02,64285.0,373297834174.0,60.2314
CNGD,2015-07-28,USDRUB_TOM,USD000UTSTOM,59.82,59.645,60.77,60.0,53.0,12108812264.1,
CETS,2015-07-28,USDRUB_SPT,USDRUB_SPT,59.914,59.85,60.807,60.26,114.0,1002822309.0,60.2332
CNGD,2015-07-28,USD_TOMSPT,USDRUB_TOM1D,0.0191,0.019,0.0191,0.019,2.0,12045810000.0,
CETS,2015-07-28,USD_TOM1M,USDRUB_TOM1M,0.62,0.615,0.625,0.625,7.0,342050730.0,0.62
CNGD,2015-07-28,USD_TOM1M,USDRUB_TOM1M,0.63,0.618,0.63,0.618,2.0,3024672500.0,
CETS,2015-07-28,USD_TOM1W,USDRUB_TOM1W,0.1338,0.1328,0.1353,0.1328,5.0,1077365520.0,0.1341
