BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
EQOB,2017-01-18,МГор48-об,RU000A0JNYN1,4.0,395427.5,89.05,89.5,89.49,89.49,7.29,89.46,8.74,89.5,442.0,89.45,89.45,89.49,523291.8,514348.8,523291.8,2022-06-11,1674.0,8.75,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,РСХБ 4,RU000A0JPF47,3.0,33191.0,100.3,100.6,100.3,100.37,37.9,100.58,10.8,100.6,33.0,,100.85,100.37,0.0,611147.5,0.0,2017-09-27,70.0,9.26,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2017-01-18,РСХБ 5,RU000A0JQ1H3,3.0,4548335.0,100.85,100.85,100.85,100.85,14.73,100.85,9.9,100.85,4510.0,,100.88,100.85,0.0,5738950.8,0.0,2018-11-27,305.0,9.9,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,РЖД-16 обл,RU000A0JQ656,3.0,19970.9,98.99,99.95,99.95,99.85,0.12,99.85,0.23,98.99,20.0,,95.88,99.85,0.0,7714434.2,0.0,2017-06-05,138.0,0.5,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2017-01-18,РЖД-17 обл,RU000A0JQ7W9,2.0,218019.5,102.35,102.55,102.35,102.35,0.64,102.36,9.27,102.55,213.0,,102.38,102.35,0.0,502697.7,0.0,2018-07-16,352.0,9.26,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,ДОМ.РФ13об,RU000A0JQAG8,1.0,4930896.0,103.2,103.2,103.2,103.2,32.53,103.2,-0.86,103.2,4778.0,,103.31,103.2,0.0,6963899.5,0.0,2018-04-15,87.0,-0.86,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,ДОМ.РФ14об,RU000A0JQAL8,1.0,214000.0,107.0,107.0,107.0,107.0,21.92,107.0,-8.31,107.0,200.0,106.69,106.72,107.0,3129177.0,2684971.5,3129177.0,2023-05-15,117.0,-8.31,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,РСХБ 8,RU000A0JQK64,3.0,51000.0,102.0,102.0,102.0,102.0,18.52,102.0,9.45,102.0,50.0,,102.13,102.0,0.0,587230.0,0.0,2019-11-14,457.0,9.45,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,РБК 04,RU000A0JQVD1,10.0,30493.9,86.55,89.9,89.8,89.78,0.0,88.79,,89.9,34344.0,,86.36,89.78,0.0,632139.5,0.0,2018-04-19,456.0,0.0,,,,,,,1.0,SUR,,,,,RUB
EQOB,2017-01-18,ДОМ.РФ16об,RU000A0JQXG0,3.0,83224.0,97.9,98.0,97.9,97.9,7.68,97.91,9.68,98.0,85.0,,98.33,97.9,0.0,220824367.0,0.0,2021-09-15,708.0,9.68,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,ВТБ ЛизФ08,RU000A0JQZ67,1.0,31080.68,100.99,100.99,100.99,100.99,3.54,100.99,7.33,100.99,200.0,,100.43,100.99,0.0,2488018.09,0.0,2017-08-01,101.0,7.33,,,,,,,153.88,SUR,,,,,RUR
EQOB,2017-01-18,ОткрФКБ12,RU000A0JQZT8,1.0,5020.0,100.4,100.4,100.4,100.4,42.21,100.4,10.22,100.4,5.0,,100.47,100.4,0.0,500358.9,0.0,2017-08-28,213.0,10.22,,,,,,,1000.0,SUR,,,,,RUR
EQOB,2017-01-18,Мечел 14об,RU000A0JR0J0,77.0,1962646.1,88.4,89.5,88.4,88.4,57.95,88.49,223.65,89.49,2218.0,88.49,88.49,88.4,1962646.1,1962646.1,1962646.1,2020-02-25,41.0,220.91,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,Мечел 13об,RU000A0JR0K8,97.0,3105016.1,88.1,89.5,88.79,88.79,57.95,88.69,211.96,88.6,3501.0,88.69,88.69,88.79,3105016.1,3105016.1,3105016.1,2020-02-25,41.0,214.91,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,ФСК ЕЭС-06,RU000A0JR1Y7,3.0,147600985.0,97.5,98.5,97.75,97.75,27.12,97.63,9.18,97.5,151001.0,97.62,97.62,97.75,288456082.0,288455112.0,288456082.0,2020-09-15,1147.0,9.22,,,,,,,1000.0,SUR,,,,,RUB
EQOB,2017-01-18,ФСК ЕЭС-08,RU000A0JR209,1.0,53625000.0,97.5,97.5,97.5,97.5,27.12,97.5,9.27,97.5,55000.0,97.52,97.52,97.5,428353663.6,428350740.8,428353663.6,2020-09-15,1147.0,9.27,,,,,,,1000.0,SUR,,,,,RUB
