BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2014-07-30,CNYRUB_TOD,CNY000000TOD,5.81,5.785,5.81,5.785,9.0,10537425.0,5.8025
CETS,2014-07-30,CNY_TODTOM,CNYRUBTODTOM,0.00085,0.00078,0.000878,0.000808,9.0,427679184.7,0.000849
CNGD,2014-07-30,CNY_TODTOM,CNYRUBTODTOM,0.000867,-0.000791,0.001739,0.001739,4.0,1035922.27,
CETS,2014-07-30,CNYRUB_TOM,CNYRUB_TOM,5.797,5.7557,5.797,5.7577,1079.0,569705944.1,5.7738
CETS,2014-07-30,CNY_TOMSPT,CNYRUB_TOM1D,0.00083,0.000829,0.00083,0.000829,3.0,149485207.0,0.00083
CETS,2014-07-30,EUR_TODTOM,EUR000TODTOM,0.0118,0.0115,0.0118,0.0118,435.0,172811638910.0,0.0117
CNGD,2014-07-30,EUR_TODTOM,EUR000TODTOM,0.0118,-0.0184,0.021,0.0116,64.0,9558619343.96,
CNGD,2014-07-30,EUR_TOMSPT,EURRUB_TOM1D,0.0119,0.0119,0.0119,0.0119,2.0,7189785000.0,
CETS,2014-07-30,EUR_TOM2W,EURRUB_TOM2W,0.163,0.163,0.163,0.163,1.0,480627000.0,0.163
CETS,2014-07-30,EURUSD_TOD,EURUSD000TOD,1.34095,1.3398,1.34095,1.3401,30.0,217853802.07,1.3404
CETS,2014-07-30,EURUSD_TOM,EURUSD000TOM,1.3408,1.3367,1.34085,1.33905,584.0,10680757005.99,1.3392
CNGD,2014-07-30,EURUSD_TOM,EURUSD000TOM,1.3401,1.3401,1.347,1.347,2.0,10335455214.54,
CETS,2014-07-30,EURUSDTDTM,EURUSDTODTOM,5e-06,-4e-06,8e-06,-4e-06,57.0,18702553547.57,5e-06
CETS,2014-07-30,EURRUB_TOD,EUR_RUB__TOD,48.1585,47.667,48.389,47.7165,1990.0,19197564595.0,47.8277
CNGD,2014-07-30,EURRUB_TOD,EUR_RUB__TOD,47.86,47.8115,47.86,47.8115,3.0,52616900.0,
CETS,2014-07-30,EURRUB_TOM,EUR_RUB__TOM,48.1775,47.485,48.1795,47.66,1774.0,18083391874.5,47.7418
CNGD,2014-07-30,EURRUB_TOM,EUR_RUB__TOM,48.17,47.8,48.17,47.8,3.0,172189500.0,
CETS,2014-07-30,GLD_TODTOM,GLDRUBTODTOM,0.31,0.31,0.31,0.31,2.0,34438380.7,0.31
CETS,2014-07-30,GLDRUB_TOM,GLDRUB_TOM,1490.0,1476.0,1490.0,1476.0,6.0,192863.2,1483.56
CETS,2014-07-30,UAHRUB_TOD,UAH000000TOM,29.3288,29.3288,29.3288,29.3288,2.0,1525097.6,29.3288
CETS,2014-07-30,USDRUB_TOD,USD000000TOD,35.9,35.5325,35.9375,35.5595,9470.0,66514949772.0,35.6756
CNGD,2014-07-30,USDRUB_TOD,USD000000TOD,35.62,35.5925,35.75,35.68,11.0,4731220000.0,
CETS,2014-07-30,USD_TODTOM,USD000TODTOM,0.0086,0.0076,0.0087,0.0082,953.0,456474882220.0,0.0084
CNGD,2014-07-30,USD_TODTOM,USD000TODTOM,0.0086,-0.0157,0.0157,0.008,214.0,20409776489.77,
CETS,2014-07-30,USDRUB_TOM,USD000UTSTOM,35.87,35.494,35.941,35.586,15614.0,176212789879.5,35.65
CNGD,2014-07-30,USDRUB_TOM,USD000UTSTOM,35.94,35.545,35.94,35.61,32.0,10367959587.5,
CNGD,2014-07-30,USDRUB_LTV,USDRUB_FWD,35.61,35.61,35.61,35.61,2.0,1367822867.61,
CETS,2014-07-30,USDRUB_SPT,USDRUB_SPT,35.855,35.512,35.877,35.6115,307.0,1509215496.0,35.6898
CNGD,2014-07-30,USDRUB_SPT,USDRUB_SPT,35.625,35.625,35.8497,35.8497,2.0,28589880.0,
CETS,2014-07-30,USD_TOMSPT,USDRUB_TOM1D,0.0084,0.0084,0.009,0.0088,6.0,35718160.0,0.0087
CNGD,2014-07-30,USD_TOMSPT,USDRUB_TOM1D,0.009,0.0081,0.009,0.0081,7.0,12361594350.0,
CETS,2014-07-30,USD_TOM1M,USDRUB_TOM1M,0.2613,0.2613,0.2613,0.2613,1.0,179854000.0,0.2613
CNGD,2014-07-30,USD_TOM1M,USDRUB_TOM1M,0.258,0.258,0.258,0.258,1.0,1794400000.0,
CETS,2014-07-30,USD_TOM1W,USDRUB_TOM1W,0.0595,0.0595,0.0595,0.0595,3.0,2003064000.0,0.0595
CETS,2014-07-30,USD_TOM1Y,USDRUB_TOM1Y,3.28,3.248,3.287,3.248,4.0,467846000.0,3.2777
