BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,1999-03-24,Индекс МосБиржи,Индекс МосБиржи,79.47,,,,,,,2,,RUB,
SNDX,MICEX10INDEX,1999-03-24,Индекс МосБиржи 10,Индекс МосБиржи 10,83.22,87.6,87.6,70.14,128262804.1,,,2,,RUB,
SNDX,MICEXINDEXCF,1999-03-24,Индекс МосБиржи (архив),Индекс МосБиржи (архив),79.47,,,,,,,2,,RUB,
SNDX,MOEX10,1999-03-24,Индекс МосБиржи 10,Индекс МосБиржи 10,83.22,87.6,87.6,70.14,128262804.1,,,2,,RUB,
RTSI,RTSI,1999-03-24,Индекс РТС,Индекс РТС,76.8244,74.8639,76.8244,74.8639,12820045.0,,,2,14411106508.19,USD,
RTSI,RTSUSDCUR,1999-03-24,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,24.29,24.29,24.29,24.29,,,,2,,RUB,
