BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2020-11-16,АбрауДюрсо,ABRD,408.0,2419595.0,198.0,196.5,203.0,201.0,200.0,200.5,12110.0,200.0,200.0,201.0,2419595.0,2419595.0,2419595.0,0.0,3
TQPI,2020-11-16,АСКО ао,ACKO,96.0,431950.0,4.7,4.5,4.76,4.66,4.62,4.66,93500.0,,4.62,4.66,0.0,500712.0,0.0,0.0,3
SMAL,2020-11-16,Система ао,AFKS,23.0,7680.18,32.564,30.913,35.285,,32.122,35.283,243.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-11-16,Система ао,AFKS,66634.0,4670359638.6,32.747,31.105,33.35,31.784,32.122,32.098,145396300.0,32.132,32.132,31.784,4360022219.5,4360022219.5,4360022219.5,0.0,3
SMAL,2020-11-16,Аэрофлот,AFLT,16.0,3988.86,64.22,64.22,71.78,,69.2,65.9,58.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-11-16,Аэрофлот,AFLT,76984.0,4385147741.6,67.7,67.7,70.2,68.9,69.2,69.44,63371930.0,69.2,69.2,68.9,4101731935.4,4101731935.4,4101731935.4,0.0,3
TQBR,2020-11-16,AGRO-гдр,AGRO,8882.0,193226224.6,826.0,825.6,850.0,850.0,844.2,850.0,228860.0,844.2,844.2,850.0,193226224.6,193226224.6,193226224.6,0.0,3
TQTE,2020-11-16,AKEU ETF,AKEU,279.0,197944.62,10.54,10.47,10.63,10.61,10.61,10.61,18655.0,969.0,969.0,10.61,18076738.35,18076738.35,18076738.35,101850.66,3
TQTF,2020-11-16,ETF AKMB,AKMB,1496.0,1799464.42,1.05,1.045,1.0512,1.0496,1.0494,1.0507,1713296.0,1.0503,1.0503,1.0496,1633269.65,1633269.65,1633269.65,3215471.48,3
TQTD,2020-11-16,AKNX ETF,AKNX,506.0,418447.48,17.3,17.3,17.6,17.49,17.52,17.47,23885.0,1354.7,1354.7,17.49,32356953.82,32356953.82,32356953.82,330500.38,3
TQBR,2020-11-16,Акрон,AKRN,1128.0,24167710.0,6218.0,6170.0,6286.0,6204.0,6232.0,6204.0,3878.0,6232.0,6232.0,6204.0,24167710.0,24167710.0,24167710.0,0.0,3
TQTD,2020-11-16,AKSP ETF,AKSP,592.0,761958.87,12.36,12.3,12.52,12.5,12.49,12.52,61013.0,965.69,965.69,12.5,58919383.71,58919383.71,58919383.71,333726.28,3
TQBR,2020-11-16,БестЭфБ ао,ALBK,356.0,2154245.0,56.0,53.5,56.5,54.5,54.5,54.5,39640.0,54.5,54.5,54.5,2154245.0,2154245.0,2154245.0,0.0,3
TQBR,2020-11-16,АЛРОСА-Нюр,ALNU,11.0,619600.0,56400.0,56200.0,56600.0,56200.0,56400.0,56200.0,11.0,56400.0,56400.0,56200.0,619600.0,619600.0,619600.0,0.0,3
SMAL,2020-11-16,АЛРОСА ао,ALRS,15.0,4289.03,81.98,81.98,86.0,,83.99,86.0,51.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-11-16,АЛРОСА ао,ALRS,52336.0,3127415349.5,81.85,81.75,86.51,86.11,83.99,86.4,37234980.0,83.79,83.79,86.11,2853169796.5,2853169796.5,2853169796.5,0.0,3
SMAL,2020-11-16,АшинскийМЗ,AMEZ,1.0,39.55,3.955,3.955,3.955,,4.655,3.955,10.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-11-16,АшинскийМЗ,AMEZ,1451.0,2560913.0,4.535,4.535,4.75,4.65,4.655,4.64,550100.0,4.655,4.655,4.65,2560913.0,2560913.0,2560913.0,0.0,3
SMAL,2020-11-16,Аптеки36и6,APTK,20.0,1481.4,17.77,12.742,17.804,,13.7,12.742,87.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-11-16,Аптеки36и6,APTK,7921.0,8765240.64,13.8,13.566,13.904,13.656,13.7,13.632,639780.0,13.7,13.7,13.656,8765240.64,8765240.64,8765240.64,0.0,3
TQBR,2020-11-16,РусАква ао,AQUA,851.0,13982760.0,237.5,236.5,247.0,243.5,242.5,243.5,57640.0,242.5,242.5,243.5,13982760.0,13982760.0,13982760.0,0.0,3
TQBR,2020-11-16,Арсагера,ARSA,23.0,357500.0,3.71,3.7,3.9,3.85,3.84,3.9,93000.0,,3.83,3.85,0.0,597620.0,0.0,0.0,3
TQBR,2020-11-16,АстрЭнСб,ASSB,212.0,1039362.5,0.839,0.818,0.865,0.8235,0.829,0.8235,1254000.0,0.829,0.829,0.8235,1039362.5,1039362.5,1039362.5,0.0,3
TQBR,2020-11-16,Авангрд-ао,AVAN,135.0,964865.0,940.0,935.0,970.0,945.0,960.0,945.0,1005.0,960.0,960.0,945.0,964865.0,964865.0,964865.0,0.0,3
TQBR,2020-11-16,Башнефт ао,BANE,1439.0,21587809.0,1697.0,1686.0,1734.0,1717.0,1713.0,1715.5,12601.0,1713.0,1713.0,1717.0,21587809.0,21587809.0,21587809.0,0.0,3
TQBR,2020-11-16,Башнефт ап,BANEP,3105.0,72563032.5,1251.0,1251.0,1275.0,1266.0,1263.0,1266.0,57448.0,1263.0,1263.0,1266.0,72563032.5,72563032.5,72563032.5,0.0,3
TQBR,2020-11-16,Белуга ао,BELU,473.0,1695810.0,1338.0,1331.0,1351.0,1342.0,1345.0,1343.0,1261.0,1345.0,1345.0,1342.0,1695810.0,1695810.0,1695810.0,0.0,3
SMAL,2020-11-16,БашИнСв ап,BISVP,4.0,481.29,12.0,8.52,12.13,,9.19,11.97,43.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-11-16,БашИнСв ап,BISVP,107.0,330009.0,9.06,9.06,9.26,9.26,9.19,9.26,35900.0,,9.17,9.26,0.0,501525.0,0.0,0.0,3
TQBR,2020-11-16,Белон ао,BLNG,584.0,2845510.4,4.546,4.546,5.084,4.814,4.872,4.824,584100.0,4.872,4.872,4.814,2845510.4,2845510.4,2845510.4,0.0,3
TQBR,2020-11-16,БурЗолото,BRZL,244.0,1321929.0,993.0,992.0,1005.0,996.0,994.0,996.0,1330.0,994.0,994.0,996.0,1321929.0,1321929.0,1321929.0,0.0,3
SMAL,2020-11-16,БСП ао,BSPB,2.0,382.02,47.01,47.01,49.98,,49.51,49.98,8.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-11-16,БСП ао,BSPB,5737.0,75844053.9,49.2,49.01,50.73,49.55,49.51,49.55,1531960.0,49.51,49.51,49.55,75844053.9,75844053.9,75844053.9,0.0,3
TQBR,2020-11-16,МКБ ао,CBOM,6942.0,264172829.5,5.659,5.658,5.727,5.7,5.692,5.702,46411300.0,5.692,5.692,5.7,260550837.5,260550837.5,260550837.5,0.0,3
TQBR,2020-11-16,ЧТПЗ ао,CHEP,325.0,5955340.0,220.0,218.0,225.0,225.0,221.5,225.0,26900.0,221.5,221.5,225.0,5955340.0,5955340.0,5955340.0,0.0,3
TQBR,2020-11-16,РН-ЗапСиб,CHGZ,9.0,762880.0,52.2,52.2,54.6,53.0,53.0,54.6,14400.0,52.8,53.0,53.0,1321420.0,768100.0,1321420.0,0.0,3
TQBR,2020-11-16,ЧКПЗ ао,CHKZ,78.0,630720.0,5400.0,5380.0,5840.0,5700.0,5680.0,5700.0,111.0,5680.0,5680.0,5700.0,630720.0,630720.0,630720.0,0.0,3
TQBR,2020-11-16,СевСт-ао,CHMF,26670.0,1474007090.6,1114.8,1111.4,1134.8,1131.2,1122.6,1132.0,1313000.0,1122.4,1122.4,1131.2,1400439968.6,1400439968.6,1400439968.6,0.0,3
TQBR,2020-11-16,ЧМК ао,CHMK,108.0,399225.0,2500.0,2500.0,2550.0,2525.0,2525.0,2525.0,158.0,,2525.0,2525.0,0.0,537795.0,0.0,0.0,3
TQBR,2020-11-16,Телеграф,CNTL,278.0,2360585.0,16.45,16.2,16.5,16.3,16.35,16.45,144300.0,16.35,16.35,16.3,2360585.0,2360585.0,2360585.0,0.0,3
TQBR,2020-11-16,Телеграф-п,CNTLP,541.0,6189584.0,13.92,13.7,14.28,13.82,13.92,13.82,444600.0,13.92,13.92,13.82,6189584.0,6189584.0,6189584.0,0.0,3
SMAL,2020-11-16,ДагСб ао,DASB,12.0,548.55,0.0849,0.0694,0.0849,,0.0874,0.0694,7904.0,,,,0.0,0.0,0.0,0.0,3
TQPI,2020-11-16,ДагСб ао,DASB,398.0,1078863.0,0.0872,0.086,0.0898,0.087,0.0874,0.087,12340000.0,0.0874,0.0874,0.087,1078863.0,1078863.0,1078863.0,0.0,3
TQBR,2020-11-16,ЗаводДИОД,DIOD,94.0,477025.0,7.06,7.01,7.18,7.11,7.08,7.09,67400.0,,7.08,7.11,0.0,501894.0,0.0,0.0,3
SMAL,2020-11-16,ДетскийМир,DSKY,4.0,1236.78,120.0,120.0,127.36,,119.82,127.34,10.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-11-16,ДетскийМир,DSKY,19020.0,489404301.8,118.58,118.56,121.0,120.0,119.82,120.78,4084590.0,119.72,119.72,120.0,446362063.4,446362063.4,446362063.4,0.0,3
