BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,2002-04-12,Индекс МосБиржи,Индекс МосБиржи,314.5,,,,,,,2,,RUB,
SNDX,MICEX10INDEX,2002-04-12,Индекс МосБиржи 10,Индекс МосБиржи 10,584.33,596.21,599.87,579.87,3734510226.0,,,2,,RUB,
SNDX,MICEXINDEXCF,2002-04-12,Индекс МосБиржи (архив),Индекс МосБиржи (архив),314.5,,,,,,,2,,RUB,
SNDX,MOEX10,2002-04-12,Индекс МосБиржи 10,Индекс МосБиржи 10,584.33,596.21,599.87,579.87,3734510226.0,,,2,,RUB,
RTSI,RTSI,2002-04-12,Индекс РТС,Индекс РТС,358.91,367.77,367.77,358.72,25188451.0,,,2,85015664020.9207,USD,
RTSI,RTSog,2002-04-12,Индекс РТС нефти и газа,Индекс РТС нефти и газа,72.92,72.92,72.92,72.92,0.0,,,2,43554814889.3039,USD,
RTSI,RTStl,2002-04-12,Индекс РТС телекоммуникаций,Индекс РТС телекоммуникаций ,61.18,61.18,61.18,61.18,0.0,,,2,2168016983.1131,USD,
RTSI,RTSUSDCUR,2002-04-12,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,31.1982,31.1982,31.1982,31.1982,,,,2,,RUB,
SNDX,TECHIND,2002-04-12,Технический индекс акций,Технический индекс акций,671.53,691.12,,,,,,2,,RUB,
