BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
SNDX,IMOEX,1998-06-19,Индекс МосБиржи,Индекс МосБиржи,40.93,,,,,,,2,,RUB,
SNDX,MICEX10INDEX,1998-06-19,Индекс МосБиржи 10,Индекс МосБиржи 10,43.14,43.3,43.76,41.25,95236656.0,,,2,,RUB,
SNDX,MICEXINDEXCF,1998-06-19,Индекс МосБиржи (архив),Индекс МосБиржи (архив),40.93,,,,,,,2,,RUB,
SNDX,MOEX10,1998-06-19,Индекс МосБиржи 10,Индекс МосБиржи 10,43.14,43.3,43.76,41.25,95236656.0,,,2,,RUB,
RTSI,RTSI,1998-06-19,Индекс РТС,Индекс РТС,174.6538,170.2331,176.5951,170.2331,41417878.0,,,2,32491461017.4902,USD,
RTSI,RTSUSDCUR,1998-06-19,RTSUSDCUR,Курс доллара США на момент закрытия Индекса РТС,6.1855,6.1855,6.1855,6.1855,,,,2,,RUB,
