BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
RTSI,BPSI,2008-07-10,Субиндекс облигаций,Индексы активов пенсионных накоплений - Субиндекс облигаций,1028.9294,1028.9294,1028.9294,1028.9294,0.0,,,2,377181569337.09,RUB,0.001
RTSI,EPSI,2008-07-10,Субиндекс акций,Индексы активов пенсионных накоплений - Субиндекс акций,800.1588,800.1588,800.1588,800.1588,0.0,,,2,160882990622.933,RUB,999999.999999
SNDX,IMOEX,2008-07-10,Индекс МосБиржи,Индекс МосБиржи,1659.57,1655.75,1671.71,1635.28,38902212699.82,,,2,,RUB,
RTSI,MCFTR,2008-07-10,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,1728.77,1728.77,1728.77,1728.77,0.0,,,2,0.0,,
RTSI,MCFTRN,2008-07-10,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),1718.22,1718.22,1718.22,1718.22,0.0,,,2,0.0,,
RTSI,MCFTRR,2008-07-10,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),1722.43,1722.43,1722.43,1722.43,0.0,,,2,0.0,,
SNDX,MICEX10INDEX,2008-07-10,Индекс МосБиржи 10,Индекс МосБиржи 10,2916.96,2920.09,2940.65,2872.02,36630684314.39,,,2,,RUB,
SNDX,MICEXBORR1W,2008-07-10,MCX BO 1W,ММВБ РЕПО обл 7 дней,4.68,,,,4911188740.15,,,2,,RUB,
SNDX,MICEXBORR2W,2008-07-10,MCX BO 2W,ММВБ РЕПО обл 14 дней,6.11,,,,1464833820.25,,,2,,RUB,
SNDX,MICEXBORRON,2008-07-10,MCX BO ON,ММВБ РЕПО обл 1 день,3.96,,,,31143713345.46,,,2,,RUB,
SNDX,MICEXCBICP,2008-07-10,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,98.6,98.6,98.65,98.57,2111835766.0,902,8.83,2,,RUB,
SNDX,MICEXCBICP3Y,2008-07-10,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,99.54,99.6,99.61,99.5,384562260.4,557,8.54,2,,RUB,
SNDX,MICEXCBICP5Y,2008-07-10,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,99.54,99.54,99.58,99.48,666459778.5,1120,9.23,2,,RUB,
SNDX,MICEXCBIGP,2008-07-10,ММВБ корп обл (вал),ММВБ корп обл (вал),100.5,100.48,100.55,100.48,2111835766.0,902,8.83,2,,RUB,
SNDX,MICEXCBIGP3Y,2008-07-10,ММВБ корп обл (вал) 1-3,ММВБ корп обл (вал) 1-3,101.61,101.67,101.68,101.57,384562260.4,557,8.54,2,,RUB,
SNDX,MICEXCBIGP5Y,2008-07-10,ММВБ корп обл (вал) 3-5,ММВБ корп обл (вал) 3-5,101.45,101.43,101.49,101.39,666459778.5,1120,9.23,2,,RUB,
SNDX,MICEXCBITR,2008-07-10,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,160.34,160.31,160.42,160.3,2111835766.0,902,8.83,2,,RUB,
SNDX,MICEXCBITR3Y,2008-07-10,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,159.4,159.5,159.52,159.34,384562260.4,557,8.54,2,,RUB,
SNDX,MICEXCBITR5Y,2008-07-10,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,158.24,158.2,158.3,158.14,666459778.5,1120,9.23,2,,RUB,
SNDX,MICEXCGS,2008-07-10,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,3081.04,3074.49,3087.74,3050.31,81571670.66,,,2,,RUB,
SNDX,MICEXCHM,2008-07-10,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,9415.48,9271.72,9464.58,9179.41,276521696.0,,,2,,RUB,
SNDX,MICEXEQRR1W,2008-07-10,MCX EQ 1W,ММВБ РЕПО акц 7 дней,3.98,,,,7195910175.09,,,2,,RUB,
SNDX,MICEXEQRR2W,2008-07-10,MCX EQ 2W,ММВБ РЕПО акц 14 дней,5.41,,,,1458872516.5,,,2,,RUB,
