BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2014-08-19,BYRRUB_TOD,BYRRUB_TOD,34.86,34.86,34.86,34.86,1.0,352086.0,34.86
CETS,2014-08-19,CNYRUB_TOD,CNY000000TOD,5.8818,5.8796,5.885,5.885,18.0,32501711.1,5.8827
CETS,2014-08-19,CNY_TODTOM,CNYRUBTODTOM,0.001,0.00093,0.00115,0.001149,8.0,604407202.4,0.001147
CNGD,2014-08-19,CNY_TODTOM,CNYRUBTODTOM,0.001,-0.000805,0.001772,0.001772,7.0,869542.94,
CETS,2014-08-19,CNYRUB_TOM,CNYRUB_TOM,5.88,5.8776,6.009,5.8867,1098.0,532776673.1,5.8878
CETS,2014-08-19,CNY_TOMSPT,CNYRUB_TOM1D,0.001149,0.0011,0.001149,0.0011,2.0,40567909.0,0.001107
CETS,2014-08-19,EUR_TODTOM,EUR000TODTOM,0.0106,0.0105,0.0113,0.011,440.0,106727087220.0,0.011
CNGD,2014-08-19,EUR_TODTOM,EUR000TODTOM,-0.0211,-0.0211,0.0211,0.0145,61.0,6630728930.71,
CETS,2014-08-19,EUR_TOM1W,EURRUB_TOM1W,0.078,0.0768,0.08,0.0768,10.0,1758057060.0,0.0776
CETS,2014-08-19,EURUSD_TOD,EURUSD000TOD,1.3355,1.3346,1.33555,1.33475,31.0,224283117.68,1.335
CNGD,2014-08-19,EURUSD_TOD,EURUSD000TOD,1.3345,1.3345,1.3345,1.3345,1.0,48081234.3,
CETS,2014-08-19,EURUSD_TOM,EURUSD000TOM,1.33545,1.3315,1.3357,1.33175,369.0,5763961363.81,1.33395
CETS,2014-08-19,EURUSDTDTM,EURUSDTODTOM,1e-05,4e-06,2.5e-05,2.5e-05,55.0,16164071951.42,1.6e-05
CETS,2014-08-19,EURRUB_TOD,EUR_RUB__TOD,48.11,48.11,48.32,48.3095,1648.0,11150624310.5,48.2362
CNGD,2014-08-19,EURRUB_TOD,EUR_RUB__TOD,48.193,48.193,48.193,48.193,1.0,481930.0,
CETS,2014-08-19,EURRUB_TOM,EUR_RUB__TOM,48.12,48.11,48.3445,48.191,1641.0,13206359338.5,48.2493
CNGD,2014-08-19,EURRUB_TOM,EUR_RUB__TOM,48.32,48.32,48.34,48.34,2.0,31411000.0,
CETS,2014-08-19,GLD_TODTOM,GLDRUBTODTOM,0.25,0.25,0.25,0.25,2.0,40668029.1,0.25
CETS,2014-08-19,KZTRUB_TOD,KZT000000TOM,19.84,19.84,19.84,19.84,2.0,132928.0,19.84
CETS,2014-08-19,UAHRUB_TOD,UAH000000TOM,27.6516,27.6516,27.6516,27.6516,1.0,118901.88,27.6516
CETS,2014-08-19,USDRUB_TOD,USD000000TOD,36.02,36.0115,36.2035,36.19,7589.0,44950160920.5,36.1361
CNGD,2014-08-19,USDRUB_TOD,USD000000TOD,36.1295,36.03,36.14,36.0405,13.0,6366641250.0,
CETS,2014-08-19,USD_TODTOM,USD000TODTOM,0.0078,0.0068,0.0085,0.0068,804.0,338133173890.0,0.0079
CNGD,2014-08-19,USD_TODTOM,USD000TODTOM,0.008,-0.0138,0.0158,0.0076,207.0,15568116961.84,
CETS,2014-08-19,USDRUB_TOM,USD000UTSTOM,36.01,36.009,36.2125,36.185,11856.0,110110974984.5,36.1489
CNGD,2014-08-19,USDRUB_TOM,USD000UTSTOM,36.114,36.0325,36.2,36.175,18.0,6222983012.5,
CETS,2014-08-19,USDRUB_SPT,USDRUB_SPT,36.1,36.0895,36.216,36.1885,229.0,1570297315.0,36.157
CETS,2014-08-19,USD_TOMSPT,USDRUB_TOM1D,0.008,0.008,0.008,0.008,2.0,1805270000.0,0.008
CETS,2014-08-19,USD_TOM1M,USDRUB_TOM1M,0.2665,0.2665,0.2665,0.2665,2.0,309093150.0,0.2665
CETS,2014-08-19,USD_TOM1W,USDRUB_TOM1W,0.056,0.056,0.0575,0.056,7.0,1254538810.0,0.0565
CNGD,2014-08-19,USD_TOM1W,USDRUB_TOM1W,0.0561,0.0561,0.0561,0.0561,3.0,114425827.5,
CETS,2014-08-19,USD_TOM2M,USDRUB_TOM2M,0.5136,0.5136,0.5136,0.5136,1.0,183055000.0,0.5136
CETS,2014-08-19,USD_TOM2W,USDRUB_TOM2W,0.1132,0.1132,0.1156,0.1152,6.0,1013939800.0,0.1147
CNGD,2014-08-19,USD_TOM2W,USDRUB_TOM2W,0.114,0.114,0.114,0.114,1.0,3624400000.0,
CETS,2014-08-19,USD_TOM3M,USDRUB_TOM3M,0.78,0.78,0.785,0.785,3.0,1475196000.0,0.7825
CNGD,2014-08-19,USD_TOM3M,USDRUB_TOM3M,0.79,0.79,0.79,0.79,1.0,1846350000.0,
