BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
SMAL,2012-06-01,РусАква ао,RSEA,1.0,75.72,75.72,75.72,75.72,75.72,75.72,75.72,1.0,,,,0.0,0.0,0.0,
EQBS,2012-06-01,ПИФИндРТС,RSTR,6.0,19139.4,1061.0,1058.9,1070.0,1070.0,1063.3,1070.0,18.0,1071.1,1071.1,1071.1,80294573.84,80294573.84,80294573.84,
EQBR,2012-06-01,Ростел -ао,RTKM,26060.0,771817264.7,106.2,105.22,108.6,106.71,106.81,106.99,7226180.0,106.81,106.81,106.81,771828536.13,771828536.13,771828536.13,
SMAL,2012-06-01,Ростел -ао,RTKM,35.0,11055.37,105.01,101.04,106.82,105.61,104.3,102.01,106.0,,,,0.0,0.0,0.0,
EQBR,2012-06-01,Ростел -ап,RTKMP,5640.0,165009002.0,75.78,69.5,77.5,71.42,72.94,71.49,2262400.0,72.94,72.94,72.94,165011947.47,165011947.47,165011947.47,
SMAL,2012-06-01,Ростел -ап,RTKMP,7.0,2945.47,74.0,65.01,74.0,67.34,68.5,66.67,43.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,ТНСэнРст,RTSB,5.0,57799.6,0.347,0.3331,0.347,0.3331,0.34,0.3331,170000.0,0.35488,0.35407,0.35488,1557908.0,1143638.1,1557908.0,
EQNE,2012-06-01,ТНСэнРст-п,RTSBP,5.0,37301.1,0.34001,0.3301,0.34001,0.3301,0.3391,0.3301,110000.0,,0.36013,,0.0,504247.88,0.0,
EQNE,2012-06-01,ПИФИнтрЭнр,RU0007896460,1.0,45486.0,3249.0,3249.0,3249.0,3249.0,3249.0,3249.0,14.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,ПИФСбер-КН,RU000A0ERGA7,3.0,34819.5,92.0,90.0,92.0,91.95,91.63,91.95,380.0,,92.36,,0.0,650684.38,0.0,
EQNL,2012-06-01,ПИФАрсЖС,RU000A0JC5V1,1.0,1410.2,1410.2,1410.2,1410.2,1410.2,1410.2,1410.2,1.0,,1744.3,,0.0,532000.3,0.0,
EQNL,2012-06-01,РодПростор,RU000A0JNFU5,1.0,138375.0,27675.0,27675.0,27675.0,27675.0,27675.0,27675.0,5.0,27381.0,27348.0,27381.0,1998848.0,1613513.0,1998848.0,
SMAL,2012-06-01,ЗПИФ КапВл,RU000A0JNUM1,1.0,227.0,113.5,113.5,113.5,113.5,113.5,113.5,2.0,,,,0.0,0.0,0.0,
EQBR,2012-06-01,iЗПИФФинИТ,RU000A0JNUN9,4.0,23720.1,555.03,555.03,619.0,618.99,593.0,618.99,40.0,,596.03,,0.0,3458747.42,0.0,
SMAL,2012-06-01,iЗПИФФинИТ,RU000A0JNUN9,3.0,1246.52,415.5,415.5,415.51,415.51,415.51,415.51,3.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,ПИФ РВМ,RU000A0JPLG7,3.0,707000.0,700.0,700.0,700.0,911.2,700.0,700.0,1010.0,,856.5,,0.0,3777200.0,0.0,
EQNE,2012-06-01,ПИФПанИнв,RU000A0JQVQ3,3.0,161770.0,983.0,983.0,990.0,987.9,986.4,986.0,164.0,956.8,967.4,956.8,2016916.0,672341.0,2016916.0,
EQNE,2012-06-01,ВАбхазии,RU000A0JR1E9,2.0,1496300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1151.0,,1291.1,,0.0,2092950.0,0.0,
EQNE,2012-06-01,СилвСерфер,RU000A0JR4W5,11.0,819497.0,978.0,960.0,978.0,966.0,960.7,966.0,853.0,960.7,960.7,960.7,819497.0,819497.0,819497.0,
EQNE,2012-06-01,ПИФМАМаунт,RU000A0JR5E0,9.0,44344.1,990.0,970.0,999.0,985.4,985.4,980.0,45.0,,984.3,,0.0,507894.0,0.0,
EQNE,2012-06-01,АтлантаАрт,RU000A0JRA16,1.0,2360000.0,590000.0,590000.0,590000.0,590000.0,590000.0,590000.0,4.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,ТринфЗенит,RU000A0JRCV1,2.0,2149000.0,1074.5,1074.5,1074.5,1074.5,1074.5,1074.5,2000.0,,1074.7,,0.0,11337875.0,0.0,
EQBR,2012-06-01,Русал рдр,RUALR,601.0,16296031.4,194.72,190.5,209.98,192.77,193.01,192.8,84430.0,193.02,193.02,193.02,21720735.8,21720735.8,21720735.8,
EQNE,2012-06-01,Русгрэйн,RUGR,5.0,9318.6,26.0,24.89,26.02,24.89,25.89,24.89,360.0,,27.72,,0.0,503380.3,0.0,
EQNE,2012-06-01,Русполимет,RUSP,2.0,12993.0,0.6496,0.6496,0.6497,0.6497,0.6497,0.6497,20000.0,,0.6055,,0.0,527896.0,0.0,
EQNE,2012-06-01,СамарЭн-ао,SAGO,3.0,28801.0,0.48,0.48,0.4801,0.48,0.48,0.48,60000.0,0.4832,0.4825,0.4832,585925.62,511572.46,585925.62,
EQNE,2012-06-01,СамарЭн-ап,SAGOP,6.0,71944.0,0.48,0.4703,0.4806,0.4703,0.4796,0.4703,150000.0,,0.4814,,0.0,503530.51,0.0,
EQNE,2012-06-01,СаратЭн-ао,SARE,11.0,11359.1,0.0775,0.06655,0.0775,0.07573,0.07573,0.06655,150000.0,,0.08006,,0.0,500241.15,0.0,
SMAL,2012-06-01,СаратЭн-ао,SARE,1.0,0.75,0.075,0.075,0.075,0.075,0.075,0.075,10.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,СаратЭн-ап,SAREP,12.0,10530.1,0.05715,0.05356,0.05903,0.05356,0.0585,0.05356,180000.0,,0.05717,,0.0,542473.92,0.0,
SMAL,2012-06-01,СаратЭн-ап,SAREP,4.0,507.91,0.055,0.0513,0.055,0.0513,0.0513,0.0513,9900.0,,,,0.0,0.0,0.0,
EQBR,2012-06-01,Сбербанк,SBER,105874.0,15611910702.2,81.6,77.95,82.15,78.75,79.94,78.86,195306920.0,79.91,79.91,79.91,20400742900.86,20400742900.86,20400742900.86,
SMAL,2012-06-01,Сбербанк,SBER,78.0,17991.82,78.37,77.58,79.68,78.54,78.57,78.61,229.0,,,,0.0,0.0,0.0,
EQBR,2012-06-01,Сбербанк-п,SBERP,25568.0,2980797688.0,60.85,55.18,61.33,56.36,58.05,56.32,51347200.0,58.05,58.05,58.05,3220764736.86,3220764736.86,3220764736.86,
SMAL,2012-06-01,Сбербанк-п,SBERP,70.0,100731.16,56.02,55.47,58.95,56.93,56.59,56.93,1780.0,,,,0.0,0.0,0.0,
EQNE,2012-06-01,7Континент,SCON,37.0,567495.3,97.5,97.0,98.5,97.97,97.51,97.97,5820.0,97.51,97.51,97.51,567495.3,567495.3,567495.3,
EQBR,2012-06-01,Селигдар,SELG,6.0,52176.6,11.999,10.608,11.999,11.85,11.858,11.85,4400.0,,11.448,,0.0,574686.0,0.0,
EQNE,2012-06-01,Селестра,SELL,7.0,76993.5,1073.7,1051.8,1073.7,1054.5,1054.7,1054.0,73.0,,1184.4,,0.0,660901.8,0.0,
EQNL,2012-06-01,СЭМЗ ао,SEMZ,11.0,43200.1,121.0,119.6,122.99,119.8,120.0,119.8,360.0,,124.65,,0.0,1080678.4,0.0,
EQNE,2012-06-01,Газпрнефть,SIBN,1737.0,44578481.9,131.6,127.89,132.7,128.3,130.35,128.29,341990.0,130.35,130.35,130.35,44579370.97,44579370.97,44579370.97,
SMAL,2012-06-01,Газпрнефть,SIBN,2.0,889.07,127.01,127.01,127.01,127.01,127.01,127.01,7.0,,,,0.0,0.0,0.0,
EQNL,2012-06-01,iСИТРОНИКС,SITR,5.0,31799.5,0.53,0.52999,0.53,0.52999,0.52999,0.52999,60000.0,,0.51645,,0.0,500960.44,0.0,
