BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2020-07-31,АбрауДюрсо,ABRD,96.0,429805.0,130.0,129.5,131.0,129.5,130.0,129.5,3300.0,,130.0,129.5,0.0,501290.0,0.0,0.0,3
TQPI,2020-07-31,АСКО ао,ACKO,57.0,478882.0,5.08,5.0,5.12,5.08,5.06,5.08,94600.0,,5.06,5.08,0.0,501896.0,0.0,0.0,3
SMAL,2020-07-31,Система ао,AFKS,7.0,2092.81,18.891,18.891,19.536,,19.636,19.536,109.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-07-31,Система ао,AFKS,16904.0,759624811.4,19.29,19.238,19.977,19.758,19.636,19.758,38685500.0,19.636,19.636,19.758,759624811.4,759624811.4,759624811.4,0.0,3
SMAL,2020-07-31,Аэрофлот,AFLT,36.0,3156.2,82.68,82.68,83.52,,83.08,83.52,38.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-07-31,Аэрофлот,AFLT,20371.0,981364027.4,82.54,82.18,83.54,82.54,83.08,83.2,11813360.0,83.08,83.08,82.54,913675831.2,913675831.2,913675831.2,0.0,3
TQBR,2020-07-31,AGRO-гдр,AGRO,2557.0,52965231.4,726.0,705.4,735.0,720.0,721.6,720.0,73406.0,721.6,721.6,720.0,52965231.4,52965231.4,52965231.4,0.0,3
TQTE,2020-07-31,AKEU ETF,AKEU,177.0,85997.45,9.81,9.64,9.86,9.7,9.85,9.69,8734.0,849.27,849.27,9.7,7417555.23,7417555.23,7417555.23,57880.93,3
TQTF,2020-07-31,ETF AKMB,AKMB,241.0,154460.39,1.035,1.0175,1.035,1.0196,1.0193,1.019,151427.0,,1.0189,1.0196,0.0,885342.76,0.0,3282608.46,3
TQTD,2020-07-31,AKNX ETF,AKNX,781.0,214679.96,15.68,15.58,15.9,15.71,15.79,15.7,13593.0,1158.66,1158.66,15.71,15749630.22,15749630.22,15749630.22,283550.53,3
TQBR,2020-07-31,Акрон,AKRN,687.0,30310170.0,5772.0,5728.0,5838.0,5816.0,5794.0,5816.0,5231.0,5794.0,5794.0,5816.0,30310170.0,30310170.0,30310170.0,0.0,3
TQTD,2020-07-31,AKSP ETF,AKSP,216.0,108789.29,11.2,11.15,11.28,11.15,11.21,11.15,9702.0,822.63,822.63,11.15,7981141.33,7981141.33,7981141.33,237232.64,3
TQBR,2020-07-31,БестЭфБ ао,ALBK,46.0,164645.0,52.5,51.5,53.5,53.5,53.0,53.5,3120.0,,52.5,53.5,0.0,502015.0,0.0,0.0,3
TQBR,2020-07-31,АЛРОСА-Нюр,ALNU,6.0,382200.0,54400.0,54400.0,54800.0,54600.0,54600.0,54600.0,7.0,54400.0,54600.0,54600.0,1197400.0,763000.0,1197400.0,0.0,3
SMAL,2020-07-31,АЛРОСА ао,ALRS,77.0,8735.71,66.1,66.1,69.86,,67.59,69.86,130.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-07-31,АЛРОСА ао,ALRS,26063.0,1663435121.5,66.7,66.23,68.64,68.31,67.59,68.27,24609170.0,67.58,67.58,68.31,1603873337.4,1603873337.4,1603873337.4,0.0,3
SMAL,2020-07-31,АшинскийМЗ,AMEZ,11.0,643.44,4.385,4.385,4.435,,4.39,4.435,146.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-07-31,АшинскийМЗ,AMEZ,657.0,5767235.5,4.39,4.31,4.455,4.36,4.39,4.36,1313100.0,4.39,4.39,4.36,5767235.5,5767235.5,5767235.5,0.0,3
TQBR,2020-07-31,Аптеки36и6,APTK,1964.0,9499593.36,13.554,13.152,13.606,13.396,13.394,13.396,709260.0,13.394,13.394,13.396,9499593.36,9499593.36,9499593.36,0.0,3
TQBR,2020-07-31,РусАква ао,AQUA,1503.0,39642395.0,201.5,197.5,205.0,200.5,201.0,200.5,197390.0,201.0,201.0,200.5,39642395.0,39642395.0,39642395.0,0.0,3
TQBR,2020-07-31,Арсагера,ARSA,10.0,42290.0,3.44,3.43,3.6,3.55,3.52,3.6,12000.0,,3.49,3.55,0.0,503230.0,0.0,0.0,3
SMAL,2020-07-31,АстрЭнСб,ASSB,1.0,7.47,0.747,0.747,0.747,,0.75,0.747,10.0,,,,0.0,0.0,0.0,0.0,3
TQBR,2020-07-31,АстрЭнСб,ASSB,76.0,141787.0,0.746,0.74,0.757,0.7495,0.75,0.7485,189000.0,,0.743,0.7495,0.0,520234.5,0.0,0.0,3
TQBR,2020-07-31,Авангрд-ао,AVAN,31.0,68140.0,710.0,710.0,740.0,725.0,725.0,725.0,94.0,,705.0,725.0,0.0,500670.0,0.0,0.0,3
TQBR,2020-07-31,Башнефт ао,BANE,565.0,5909512.5,1736.5,1727.0,1742.5,1733.0,1733.0,1733.0,3410.0,1733.0,1733.0,1733.0,5909512.5,5909512.5,5909512.5,0.0,3
