BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2015-08-11,BYRRUB_TOD,BYRRUB_TOD,40.3,40.3,40.3,40.3,1.0,16120.0,40.3
CETS,2015-08-11,CNYRUB_TOD,CNY000000TOD,9.9859,9.945,9.9934,9.9934,26.0,80727137.6,9.9737
CETS,2015-08-11,CNY_TODTOM,CNYRUBTODTOM,0.00265,0.002,0.00275,0.002,11.0,113771365.0,0.002651
CNGD,2015-08-11,CNY_TODTOM,CNYRUBTODTOM,0.005382,-0.004,0.0055,0.0055,21.0,8570487.51,
CETS,2015-08-11,CNYRUB_TOM,CNYRUB_TOM,9.9693,9.906,10.0764,10.0565,523.0,6678547787.2,9.9605
CETS,2015-08-11,CNY_TOMSPT,CNYRUB_TOM1D,0.002,0.002,0.002,0.002,3.0,494357160.0,0.002
CETS,2015-08-11,EUR_TODTOM,EUR000TODTOM,0.0195,0.0195,0.0204,0.02,418.0,118822897650.0,0.02
CNGD,2015-08-11,EUR_TODTOM,EUR000TODTOM,0.0,-0.0361,0.0437,0.0371,381.0,917602240.9,
CETS,2015-08-11,EUR_TOM1M,EURRUB_TOM1M,0.6909,0.6909,0.6909,0.6909,1.0,350587000.0,0.6909
CETS,2015-08-11,EUR_TOM1W,EURRUB_TOM1W,0.15,0.145,0.15,0.1465,4.0,2247185950.0,0.1458
CETS,2015-08-11,EUR_TOM2M,EURRUB_TOM2M,1.306,1.306,1.3073,1.3073,2.0,707331500.0,1.3067
CETS,2015-08-11,EUR_TOM6M,EURRUB_TOM6M,4.0115,4.0115,4.0115,4.0115,1.0,367190000.0,4.0115
CETS,2015-08-11,EURUSD_TOD,EURUSD000TOD,1.0964,1.0964,1.1048,1.1033,22.0,88081522.65,1.10135
CNGD,2015-08-11,EURUSD_TOD,EURUSD000TOD,1.0972,1.0972,1.1044,1.1041,3.0,72467809.78,
CETS,2015-08-11,EURUSD_TOM,EURUSD000TOM,1.09695,1.09695,1.1083,1.10435,141.0,2215644623.5,1.104
CNGD,2015-08-11,EURUSD_TOM,EURUSD000TOM,1.1045,1.104,1.1084,1.1084,3.0,96296356.05,
CETS,2015-08-11,EURUSDTDTM,EURUSDTODTOM,9e-06,8e-06,1.4e-05,1e-05,48.0,13218337690.06,1.2e-05
CNGD,2015-08-11,EURUSDTDTM,EURUSDTODTOM,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,10619984889.36,
CETS,2015-08-11,EURRUB_TOD,EUR_RUB__TOD,69.567,69.288,70.6,70.57,2515.0,14116856368.0,69.837
CNGD,2015-08-11,EURRUB_TOD,EUR_RUB__TOD,69.5,69.3,70.53,70.5,8.0,1970240350.0,
CETS,2015-08-11,EURRUB_TOM,EUR_RUB__TOM,69.485,69.312,71.309,71.054,5049.0,23145402550.0,70.3322
CNGD,2015-08-11,EURRUB_TOM,EUR_RUB__TOM,69.4,69.4,71.0,71.0,5.0,469108000.0,
CNGD,2015-08-11,GBP_TODTOM,GBPRUBTODTOM,0.0534,-0.0137,0.0534,0.0534,13.0,17120965.05,
CETS,2015-08-11,GBPRUB_TOD,GBPRUB_TOD,99.75,99.75,99.997,99.997,5.0,698991.0,99.8559
CNGD,2015-08-11,GBPRUB_TOD,GBPRUB_TOD,99.165,99.165,99.165,99.165,1.0,17948.87,
CETS,2015-08-11,GBPRUB_TOM,GBPRUB_TOM,98.425,98.425,100.334,100.334,20.0,33479497.0,98.7596
CETS,2015-08-11,GLDRUB_TOM,GLDRUB_TOM,2234.8,2234.8,2270.5,2270.5,6.0,41899542.0,2244.22
CETS,2015-08-11,HKDRUB_TOM,HKDRUB_TOM,8.16,8.145,8.2,8.2,4.0,12252500.0,8.1683
CETS,2015-08-11,SLVRUB_TOM,SLVRUB_TOM,31.7,31.7,31.7,31.7,1.0,415270.0,31.7
CETS,2015-08-11,USDRUB_TOD,USD000000TOD,63.341,63.03,64.427,64.3,22770.0,120625713105.0,63.4907
CNGD,2015-08-11,USDRUB_TOD,USD000000TOD,63.48,62.732,64.08,64.05,21.0,2704164525.23,
CETS,2015-08-11,USD_TODTOM,USD000TODTOM,0.0174,0.0174,0.019,0.0177,1180.0,726924211240.0,0.018
CNGD,2015-08-11,USD_TODTOM,USD000TODTOM,0.018,-0.0346,0.0343,0.018,2235.0,20104833328.43,
CETS,2015-08-11,USDRUB_TOM,USD000UTSTOM,63.312,63.04,64.52,64.28,55456.0,346601722797.0,63.7215
CNGD,2015-08-11,USDRUB_TOM,USD000UTSTOM,63.19,62.81,64.339,64.26,42.0,11844256060.0,
CETS,2015-08-11,USDRUB_SPT,USDRUB_SPT,63.303,63.107,64.385,64.235,24.0,155076731.0,63.7389
CNGD,2015-08-11,USD_TOMSPT,USDRUB_TOM1D,0.0182,0.0181,0.0182,0.0181,3.0,18652304500.0,
CETS,2015-08-11,USD_TOM1M,USDRUB_TOM1M,0.6155,0.596,0.62,0.61,5.0,146885900.0,0.6134
CETS,2015-08-11,USD_TOM1W,USDRUB_TOM1W,0.1323,0.1295,0.1325,0.1305,10.0,6141583440.0,0.1306
CNGD,2015-08-11,USD_TOM1W,USDRUB_TOM1W,0.1295,0.1295,0.1312,0.1312,5.0,83116116.0,
CETS,2015-08-11,USD_TOM2M,USDRUB_TOM2M,1.1325,1.1325,1.175,1.175,2.0,644037500.0,1.1538
CETS,2015-08-11,USD_TOM3M,USDRUB_TOM3M,1.7187,1.7187,1.7345,1.7345,2.0,12995320.0,1.7266
CETS,2015-08-11,USD_TOM6M,USDRUB_TOM6M,3.435,3.435,3.4603,3.4603,4.0,680334530.0,3.4495
