BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
EQOB,2017-09-26,ДОМ.РФ 8об,RU000A0JNPK5,1.0,1497.3,99.82,99.82,99.82,99.82,0.34,99.82,8.12,99.82,10.0,99.76,99.74,99.82,10023753.6,7778253.6,10023753.6,2018-06-15,257.0,8.12,,,,2.85,,2017-09-26,150.0,SUR,,,,,RUB
EQOB,2017-09-26,МГор48-об,RU000A0JNYN1,2.0,4651.0,93.02,93.02,93.02,93.02,17.59,93.02,7.95,93.02,5.0,93.46,93.47,93.02,706263370.7,519363370.7,706263370.7,2022-06-11,1487.0,7.95,,,,30.08,,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,РЖД-12обл,RU000A0JQ5Q5,2.0,5405.4,89.18,91.0,89.18,89.18,0.36,90.09,7.36,91.0,6.0,,88.52,89.18,0.0,526701.1,0.0,2019-05-16,596.0,6.7,,,,0.5,,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,Мечел  4об,RU000A0JQ8V9,1.0,4248.48,88.51,88.51,88.51,88.51,17.51,88.51,,88.51,6.0,,,88.51,0.0,0.0,0.0,2021-07-15,531.0,0.0,,,,23.44,,2017-09-26,800.0,SUR,,,,,RUB
EQOB,2017-09-26,ДОМ.РФ15об,RU000A0JQAM6,2.0,530055.0,110.3,110.45,110.3,110.3,3.47,110.43,-9.35,110.45,480.0,,110.68,110.3,0.0,8470003.4,0.0,2028-09-15,170.0,-9.58,,,,57.03,2018-03-15,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,Транснф 03,RU000A0JQCR1,1.0,7525.0,107.5,107.5,107.5,107.5,1.98,107.5,7.81,107.5,7.0,,106.63,107.5,0.0,366618814.8,0.0,2019-09-18,684.0,7.81,,,,120.17,,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,МГор66-об,RU000A0JQHM1,2.0,109445.0,103.25,103.25,103.25,103.25,9.97,103.25,7.97,103.25,106.0,103.13,103.11,103.25,37794885.5,32082293.0,37794885.5,2018-11-23,400.0,7.97,,,,26.99,,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,РСХБ 8,RU000A0JQK64,3.0,145863.5,101.45,102.8,101.45,101.45,39.12,102.0,8.66,101.7,143.0,,101.86,101.45,0.0,1033839.5,0.0,2019-11-14,224.0,7.74,,,,54.35,2018-05-17,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,РСХБ 9,RU000A0JQK72,1.0,3050.7,101.69,101.69,101.69,101.69,39.12,101.69,8.26,101.69,3.0,101.59,101.59,101.69,13244948.7,13244948.7,13244948.7,2019-11-14,224.0,8.26,,,,54.35,2018-05-17,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,РЖД-23 обл,RU000A0JQRD9,1.0,51450.0,102.9,102.9,102.9,102.9,19.64,103.1,8.2,102.9,50.0,103.41,103.55,102.9,2939909.0,833598.5,2939909.0,2025-01-16,293.0,7.94,,,,58.59,2018-07-26,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,РБК 04,RU000A0JQVD1,3.0,3468.19,98.5,98.5,98.5,98.5,,98.5,,98.5,3521.0,,98.0,98.5,0.0,1376131.83,0.0,2018-04-19,205.0,0.0,,,,,,2017-09-26,1.0,SUR,,,,,RUB
EQOB,2017-09-26,Мечел 14об,RU000A0JR0J0,19.0,2224466.48,99.44,99.69,99.59,99.59,8.59,99.59,15.52,99.69,2792.0,99.59,99.59,99.59,2224466.48,2224466.48,2224466.48,2020-02-25,154.0,15.52,,,,55.85,2018-02-27,2017-09-26,800.0,SUR,,,,,RUB
EQOB,2017-09-26,Мечел 13об,RU000A0JR0K8,51.0,1532234.56,99.14,99.84,99.6,99.6,8.59,99.55,15.49,99.8,1924.0,99.55,99.55,99.6,1532234.56,1532234.56,1532234.56,2020-02-25,154.0,15.63,,,,55.85,2018-02-27,2017-09-26,800.0,SUR,,,,,RUB
EQOB,2017-09-26,ФСК ЕЭС-10,RU000A0JR217,2.0,2150.7,107.53,107.54,107.54,107.54,1.49,107.54,5.05,107.53,2.0,,,107.54,0.0,0.0,0.0,2020-09-15,992.0,5.05,,,,38.64,,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,ТПлюс 01,RU000A0JR2S7,1.0,20000.0,100.0,100.0,100.0,100.0,44.77,100.0,9.5,100.0,20.0,,,100.0,0.0,0.0,0.0,2017-10-06,10.0,9.5,,,,47.37,,2017-09-26,1000.0,SUR,,,,,RUR
EQOB,2017-09-26,МТС 07,RU000A0JR4H6,17.0,590979.0,99.96,100.05,99.96,99.96,33.37,100.0,9.11,100.05,591.0,100.0,100.0,99.96,590979.0,590979.0,590979.0,2017-11-07,42.0,8.74,,,,43.38,,2017-09-26,1000.0,SUR,,,,,RUR
EQOB,2017-09-26,МТС 08,RU000A0JR4J2,1.0,1000.0,100.0,100.0,100.0,100.0,35.48,100.0,9.29,100.0,1.0,,100.06,100.0,0.0,50049207.5,0.0,2020-11-03,42.0,9.29,,,,46.12,2017-11-07,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,Газпрнеф10,RU000A0JR878,1.0,5007.5,100.15,100.15,100.15,100.15,13.65,100.15,8.6,100.15,5.0,100.18,100.2,100.15,95707261.1,20126375.9,95707261.1,2021-01-26,132.0,8.6,,,,44.38,2018-02-05,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,Мечел 16об,RU000A0JR8P0,3.0,8656.4,73.0,80.08,73.0,78.69,9.21,78.69,20.15,80.08,11.0,,,78.69,0.0,0.0,0.0,2021-02-09,1073.0,17.15,,,,39.89,,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,УВЗ 2об,RU000A0JR9E2,2.0,13925.8,99.47,99.47,99.47,99.47,8.63,99.47,10.6,99.47,14.0,,99.29,99.47,0.0,501431.8,0.0,2018-02-20,147.0,10.6,,,,44.88,,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,ВЭБ.РФ 09,RU000A0JRCX7,13.0,289901050.4,100.6,100.8,100.8,100.8,1.22,100.72,8.81,100.7,287899.0,100.7,100.7,100.8,289901050.4,289901050.4,289901050.4,2021-03-18,1118.0,8.84,,,,44.38,,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,ВЭБлизинг5,RU000A0JREZ8,1.0,1006.2,100.62,100.62,100.62,100.62,47.59,100.62,9.05,100.62,1.0,,99.8,100.62,0.0,82551430.9,0.0,2021-04-02,183.0,9.05,,,,50.36,2018-04-06,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,Мечел 17об,RU000A0JRJS2,1.0,36281.25,96.75,96.75,96.75,96.75,30.66,96.75,,96.75,50.0,96.57,96.61,96.75,917636.63,555761.63,917636.63,2021-05-27,617.0,0.0,,,,46.86,,2017-09-26,750.0,SUR,,,,,RUB
EQOB,2017-09-26,Мечел 18об,RU000A0JRJT0,8.0,229603.5,96.4,96.75,96.75,96.75,30.66,96.57,,96.5,317.0,96.76,96.71,96.75,678543.53,592579.13,678543.53,2021-05-27,617.0,0.0,,,,46.86,,2017-09-26,750.0,SUR,,,,,RUB
EQOB,2017-09-26,НефГазХол4,RU000A0JRJV6,13.0,612651.5,84.08,87.1,85.51,85.51,34.52,87.02,144.61,84.08,704.0,87.02,87.02,85.51,612651.5,612651.5,612651.5,2021-06-01,70.0,124.05,,,,56.1,2017-12-05,2017-09-26,1000.0,SUR,,,,,RUB
EQOB,2017-09-26,Мечел 19об,RU000A0JRJY0,8.0,185061.76,95.0,96.45,96.45,96.45,29.42,95.27,,95.35,259.0,,96.31,96.45,0.0,607505.05,0.0,2021-06-01,618.0,0.0,,,,46.86,,2017-09-26,750.0,SUR,,,,,RUB
