BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR
RTSI,BPSI,2009-07-06,Субиндекс облигаций,Индексы активов пенсионных накоплений - Субиндекс облигаций,1078.7529,1078.7529,1078.7529,1078.7529,0.0,,,2,387020938632.14,RUB,0.001
RTSI,EPSI,2009-07-06,Субиндекс акций,Индексы активов пенсионных накоплений - Субиндекс акций,419.222,419.222,419.222,419.222,0.0,,,2,113425705289.455,RUB,999999.999999
SNDX,IMOEX,2009-07-06,Индекс МосБиржи,Индекс МосБиржи,925.21,974.04,974.07,923.99,39946111077.36,,,2,,RUB,
RTSI,MCFTR,2009-07-06,MOEX Russia Total Return,Индекс МосБиржи полной доходности «брутто»,993.13,993.13,993.13,993.13,0.0,,,2,0.0,,
RTSI,MCFTRN,2009-07-06,MOEX Russia Net-TR-NR,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),982.66,982.66,982.66,982.66,0.0,,,2,0.0,,
RTSI,MCFTRR,2009-07-06,MOEX Russia Net-TR-Res,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),986.84,986.84,986.84,986.84,0.0,,,2,0.0,,
RTSI,MEBCTR,2009-07-06,MOEX Blue Chip Total Return,Индекс МосБиржи голубых фишек полной доходности «брутто»,6348.55,6348.55,6348.55,6348.55,0.0,,,2,0.0,RUB,
RTSI,MEBCTRN,2009-07-06,MOEX Blue Chip Net-TR-NR,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам иностр. орг.),6348.55,6348.55,6348.55,6348.55,0.0,,,2,0.0,RUB,
RTSI,MEBCTRR,2009-07-06,MOEX Blue Chip Net-TR-Res,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам росс. орг.),6348.55,6348.55,6348.55,6348.55,0.0,,,2,0.0,RUB,
SNDX,MICEX10INDEX,2009-07-06,Индекс МосБиржи 10,Индекс МосБиржи 10,1966.38,2068.59,2073.95,1961.95,38291260096.55,,,2,,RUB,
SNDX,MICEXBORR1W,2009-07-06,MCX BO 1W,ММВБ РЕПО обл 7 дней,7.5,,,,499999934.38,,,2,,RUB,
SNDX,MICEXBORR2W,2009-07-06,MCX BO 2W,ММВБ РЕПО обл 14 дней,9.02,,,,0.0,,,2,,RUB,
SNDX,MICEXBORRON,2009-07-06,MCX BO ON,ММВБ РЕПО обл 1 день,7.35,,,,20379878793.36,,,2,,RUB,
SNDX,MICEXCBICP,2009-07-06,Индекс Мосбиржи корп обл CBICP,Индекс Мосбиржи корпоративных облигаций ценовой,87.19,87.26,87.28,87.18,335474204.8,507,13.68,2,,RUB,
SNDX,MICEXCBICP3Y,2009-07-06,Индекс Мосбиржи корп обл CBICP 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1 - 3 ценовой,90.79,90.84,90.86,90.79,285457432.4,337,13.64,2,,RUB,
SNDX,MICEXCBICP5Y,2009-07-06,Индекс Мосбиржи корп обл CBICP 1-3,Индекс Мосбиржи корпоративных облигаций ценовой 3-5,93.44,93.81,93.81,93.39,50016772.4,930,14.03,2,,RUB,
SNDX,MICEXCBIGP,2009-07-06,ММВБ корп обл (вал),ММВБ корп обл (вал),89.64,89.71,89.72,89.63,335474204.8,507,13.68,2,,RUB,
SNDX,MICEXCBIGP3Y,2009-07-06,ММВБ корп обл (вал) 1-3,ММВБ корп обл (вал) 1-3,93.51,93.56,93.58,93.48,285457432.4,337,13.64,2,,RUB,
SNDX,MICEXCBIGP5Y,2009-07-06,ММВБ корп обл (вал) 3-5,ММВБ корп обл (вал) 3-5,95.71,96.08,96.08,95.66,50016772.4,930,14.03,2,,RUB,
SNDX,MICEXCBITR,2009-07-06,Индекс Мосбиржи корп обл CBITR,Индекс Мосбиржи корпоративных облигаций,154.32,154.43,154.46,154.3,335474204.8,507,13.68,2,,RUB,
SNDX,MICEXCBITR3Y,2009-07-06,Индекс Мосбиржи корп обл CBITR 3-5,Индекс Мосбиржи корпоративных облигаций MOEX 1-3,157.96,158.03,158.06,157.9,285457432.4,337,13.64,2,,RUB,
SNDX,MICEXCBITR5Y,2009-07-06,Индекс Мосбиржи корп обл CBITR 1-3,Индекс Мосбиржи корпоративных облигаций 3-5,163.05,163.68,163.68,162.96,50016772.4,930,14.03,2,,RUB,
SNDX,MICEXCGS,2009-07-06,Индекс потребительского сектора / Индекс потребит сектора,Индекс МосБиржи потребительского сектора,2201.29,2202.38,2202.8,2188.3,29333577.87,,,2,,RUB,
SNDX,MICEXCHM,2009-07-06,Индекс химии и нефтехимии,Индекс МосБиржи химии и нефтехимии,2865.05,2977.75,2977.75,2859.31,546309797.03,,,2,,RUB,
SNDX,MICEXEQRR1W,2009-07-06,MCX EQ 1W,ММВБ РЕПО акц 7 дней,5.35,,,,328446579.37,,,2,,RUB,
SNDX,MICEXEQRR2W,2009-07-06,MCX EQ 2W,ММВБ РЕПО акц 14 дней,15.0,,,,0.0,,,2,,RUB,
SNDX,MICEXEQRRON,2009-07-06,MCX EQ ON,ММВБ РЕПО акц 1 день,7.96,,,,32859829534.07,,,2,,RUB,
SNDX,MICEXFNL,2009-07-06,Индекс финансов,Индекс МосБиржи финансов,2872.34,2969.88,2970.14,2865.85,18990818636.22,,,2,,RUB,
SNDX,MICEXINDEXCF,2009-07-06,Индекс МосБиржи (архив),Индекс МосБиржи (архив),925.21,974.04,974.07,923.99,39946111077.36,,,2,,RUB,
SNDX,MICEXLC,2009-07-06,MICEX LC,ММВБ высокая кап,1492.93,1571.75,1571.8,1490.62,34570783065.61,,,2,,RUB,
SNDX,MICEXM&M,2009-07-06,Индекс металлов и добычи,Индекс МосБиржи металлов и добычи,2275.37,2409.2,2409.2,2273.48,2626289936.59,,,2,,RUB,
SNDX,MICEXMBICP,2009-07-06,Индекс Мосбиржи мун обл MOEX MBICP,Индекс Мосбиржи муниципальных облигаций ценовой,84.35,84.1,84.35,84.08,807764010.33,901,15.45,2,,RUB,
SNDX,MICEXMBIGP,2009-07-06,MICEXMBIGP,ММВБ муни обл (вал),85.32,85.06,85.32,85.01,807764010.33,901,15.45,2,,RUB,
SNDX,MICEXMBITR,2009-07-06,Индекс Мосбиржи мун обл MBITR,Индекс Мосбиржи муниципальных облигаций,109.28,108.95,109.28,108.88,807764010.33,901,15.45,2,,RUB,
SNDX,MICEXMC,2009-07-06,MICEX MC,ММВБ стандарт кап,1405.89,1450.87,1450.95,1404.24,2130437726.57,,,2,,RUB,
SNDX,MICEXMNF,2009-07-06,Машиностроение,Индекс машиностроения Московской Биржи,883.2,909.32,917.01,882.06,15594458.46,,,2,,RUB,
SNDX,MICEXO&G,2009-07-06,Индекс нефти и газа,Индекс МосБиржи нефти и газа,1812.36,1913.06,1914.32,1805.9,15884349018.38,,,2,,RUB,
SNDX,MICEXPWR,2009-07-06,Индекс электроэнергетики,Индекс МосБиржи электроэнергетики,1641.89,1702.64,1703.0,1639.92,1833499276.18,,,2,,RUB,
