BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2019-12-10,BYNRUB_TOD,BYNRUB_TOD,30.02,30.02,30.02,30.02,1.0,30020.0,30.02
CETS,2019-12-10,CHF_TODTOM,CHFRUBTODTOM,0.0084,0.0078,0.011,0.0078,4.0,45102600.0,0.0089
CNGD,2019-12-10,CHF_TODTOM,CHFRUBTODTOM,0.0256,0.0099,0.0296,0.0296,14.0,9160460.14,
CETS,2019-12-10,CHFRUB_TOD,CHFRUB_TOD,64.3025,64.3025,64.3025,64.3025,1.0,643025.0,64.3025
CETS,2019-12-10,CHFRUB_TOM,CHFRUB_TOM,64.39,64.35,64.5575,64.4925,14.0,22198647.5,64.531
CETS,2019-12-10,CNYRUB_TOD,CNY000000TOD,9.05,9.0321,9.05,9.0346,42.0,105329174.5,9.038
CETS,2019-12-10,CNY_TODTOM,CNYRUBTODTOM,0.000901,0.000701,0.001066,0.000817,41.0,3345604826.3,0.001013
CNGD,2019-12-10,CNY_TODTOM,CNYRUBTODTOM,0.003595,-0.00124,0.0042,0.003347,35.0,3167697.7,
CETS,2019-12-10,CNYRUB_TOM,CNYRUB_TOM,9.0499,9.0306,9.0499,9.0378,245.0,515044373.4,9.037
CETS,2019-12-10,CNY_TOMSPT,CNYRUB_TOM1D,0.001,0.001,0.001,0.001,2.0,67871250.0,0.001
CETS,2019-12-10,EUR_TODTOM,EUR000TODTOM,0.0126,0.0114,0.013,0.0116,316.0,116097867030.0,0.0126
CNGD,2019-12-10,EUR_TODTOM,EUR000TODTOM,0.0309,-0.0164,0.0363,0.0111,1693.0,9361001572.14,
SDBP,2019-12-10,EURRUB_TDB,EURRUB_TDB,70.365,70.365,70.365,70.365,1.0,70365000.0,70.365
CETS,2019-12-10,EURUSD_TOD,EURUSD000TOD,1.1067,1.1067,1.10825,1.10818,46.0,860430109.48,1.10739
CNGD,2019-12-10,EURUSD_TOD,EURUSD000TOD,1.12943,1.08486,1.13035,1.10818,103.0,8277624.96,
CETS,2019-12-10,EURUSD_TOM,EURUSD000TOM,1.1066,1.1066,1.10956,1.10955,231.0,3947015022.52,1.10809
CNGD,2019-12-10,EURUSD_TOM,EURUSD000TOM,1.12943,1.08486,1.13035,1.10818,103.0,8277624.96,
CETS,2019-12-10,EURUSDTDTM,EURUSDTODTOM,6.1e-05,6.1e-05,6.5e-05,6.1e-05,113.0,48623776855.45,6.2e-05
CNGD,2019-12-10,EURUSDTDTM,EURUSDTODTOM,6.4e-05,-0.000152,0.00044,5e-05,215.0,6810257450.86,
CETS,2019-12-10,EURRUB_TOD,EUR_RUB__TOD,70.3625,70.325,70.52,70.4675,4267.0,17770077337.5,70.4041
CNGD,2019-12-10,EURRUB_TOD,EUR_RUB__TOD,71.7927,68.97,71.8794,71.8769,549.0,406720380.77,
CETS,2019-12-10,EURRUB_TOM,EUR_RUB__TOM,70.43,70.315,70.53,70.46,5583.0,21266101347.5,70.4218
CNGD,2019-12-10,EURRUB_TOM,EUR_RUB__TOM,70.37,68.97,71.8794,70.46,2227.0,1688538122.05,
CETS,2019-12-10,GBP_TODTOM,GBPRUBTODTOM,0.0082,0.008,0.013,0.013,15.0,159195190.0,0.0094
CNGD,2019-12-10,GBP_TODTOM,GBPRUBTODTOM,-0.0195,-0.0195,0.0432,0.031,61.0,45655300.94,
CETS,2019-12-10,GBPRUB_TOD,GBPRUB_TOD,83.6325,83.52,83.865,83.8175,26.0,61284905.0,83.6083
CETS,2019-12-10,GBPRUB_TOM,GBPRUB_TOM,83.6275,83.49,83.9175,83.84,105.0,66091010.0,83.7655
CNGD,2019-12-10,GBPUSDTDTM,GBPUSDTODTOM,-0.00018,-0.00018,-0.00018,-0.00018,4.0,17953756.43,
CETS,2019-12-10,GLDRUB_TOM,GLDRUB_TOM,2999.5,2994.0,2999.5,2998.0,6.0,75294935.0,2996.22
CETS,2019-12-10,HKDRUB_TOD,HKDRUB_TOD,8.139,8.139,8.139,8.139,1.0,81390.0,8.139
CETS,2019-12-10,JPYRUB_TOD,JPYRUB_TOD,58.645,58.6,58.645,58.6,3.0,8326380.0,58.6365
CETS,2019-12-10,JPYRUB_TOM,JPYRUB_TOM,58.615,58.615,58.615,58.615,1.0,703380.0,58.615
CETS,2019-12-10,KZTRUB_TOD,KZTRUB_TOD,16.525,16.5,16.525,16.5,2.0,11747250.0,16.5105
CETS,2019-12-10,SLVRUB_TOM,SLVRUB_TOM,33.85,33.75,33.85,33.75,2.0,1417700.0,33.75
CETS,2019-12-10,TRYRUB_TOD,TRYRUB_TOD,11.0125,11.0125,11.0125,11.0125,1.0,1101250.0,11.0125
CETS,2019-12-10,USDRUB_TOD,USD000000TOD,63.6275,63.4725,63.655,63.5725,9136.0,29861401887.5,63.5868
CNGD,2019-12-10,USDRUB_TOD,USD000000TOD,63.595,62.3231,64.872,63.5725,4345.0,2064490263.44,
CETS,2019-12-10,USD_TODTOM,USD000TODTOM,0.0075,0.0065,0.0104,0.0104,808.0,574483744090.0,0.0077
CNGD,2019-12-10,USD_TODTOM,USD000TODTOM,0.0078,-0.0148,0.0375,0.0236,13806.0,100699505784.78,
CETS,2019-12-10,USDRUB_TOM,USD000UTSTOM,63.64,63.455,63.66,63.4925,19253.0,94798193940.0,63.5841
CNGD,2019-12-10,USDRUB_TOM,USD000UTSTOM,63.61,62.3231,64.872,63.5,14329.0,5482176847.1,
CNGD,2019-12-10,USDCNYTDTM,USDCNYTODTOM,0.000964,0.000964,0.000964,0.000964,2.0,6753.4,
FIXS,2019-12-10,USDRUBFIX0,USDRUB_FIX0,63.5977,63.5977,63.5977,63.5977,2.0,317988500.0,63.5977
SDBP,2019-12-10,USDRUB_TDB,USDRUB_TDB,63.55,63.475,63.61,63.475,7.0,511532875.0,63.5445
SDBP,2019-12-10,USDRUB_TMB,USDRUB_TMB,63.5775,63.465,63.6475,63.465,20.0,1271552500.0,63.5776
CETS,2019-12-10,USD_TOM1M,USDRUB_TOM1M,0.248,0.245,0.248,0.245,3.0,958966500.0,0.246
CNGD,2019-12-10,USD_TOM1W,USDRUB_TOM1W,0.057,0.057,0.057,0.057,2.0,25496840000.0,
WAPS,2019-12-10,USDRUBWAP0,USDRUB_WAP0,63.5788,63.5788,63.5788,63.5788,4.0,730520412.0,63.5788
